"","Zipcodes","Inquiry","Applied","Accepted","Enrolled"
"1","96701",54,22,2,2
"2","96704",8,0,0,0
"3","96705",1,1,1,1
"4","96706",37,11,0,0
"5","96707",46,26,3,3
"6","96708",3,2,0,0
"7","96709",0,0,0,0
"8","96710",0,0,0,0
"9","96712",1,0,0,0
"10","96713",0,0,0,0
"11","96714",3,1,0,0
"12","96716",7,1,0,0
"13","96717",7,0,0,0
"14","96718",1,0,0,0
"15","96720",59,21,2,2
"16","96721",3,1,0,0
"17","96722",3,1,0,0
"18","96725",2,1,0,0
"19","96726",1,0,0,0
"20","96727",10,0,0,0
"21","96729",4,4,0,0
"22","96730",3,1,0,0
"23","96731",4,0,0,0
"24","96732",17,7,1,1
"25","96733",7,1,0,0
"26","96734",47,15,0,0
"27","96738",1,0,0,0
"28","96739",1,0,0,0
"29","96740",12,1,0,0
"30","96741",5,1,0,0
"31","96743",33,7,0,0
"32","96744",61,17,1,1
"33","96745",3,0,0,0
"34","96746",17,6,0,0
"35","96747",2,0,0,0
"36","96749",14,4,0,0
"37","96750",6,1,0,0
"38","96751",0,0,0,0
"39","96752",3,0,0,0
"40","96753",20,4,1,1
"41","96754",6,0,0,0
"42","96755",6,2,0,0
"43","96756",6,2,0,0
"44","96757",0,0,0,0
"45","96760",8,2,1,1
"46","96761",21,5,0,0
"47","96762",7,5,0,0
"48","96763",0,0,0,0
"49","96764",1,0,0,0
"50","96765",4,1,0,0
"51","96766",19,5,0,0
"52","96767",0,0,0,0
"53","96768",12,6,1,1
"54","96770",2,0,0,0
"55","96771",7,0,0,0
"56","96772",2,1,0,0
"57","96776",3,0,0,0
"58","96777",1,0,0,0
"59","96778",4,1,0,0
"60","96779",2,1,0,0
"61","96780",0,0,0,0
"62","96781",2,0,0,0
"63","96782",22,6,0,0
"64","96783",3,0,0,0
"65","96785",2,0,0,0
"66","96786",19,5,0,0
"67","96788",2,0,0,0
"68","96789",59,24,2,2
"69","96790",9,5,1,1
"70","96791",1,0,0,0
"71","96792",16,2,0,0
"72","96793",42,21,1,1
"73","96795",6,3,1,1
"74","96796",5,2,0,0
"75","96797",53,17,1,1
"76","96801",1,0,0,0
"77","96813",16,6,1,1
"78","96814",8,3,0,0
"79","96815",16,5,0,0
"80","96816",43,20,1,1
"81","96817",47,16,1,1
"82","96818",26,9,0,0
"83","96819",25,11,2,2
"84","96820",2,0,0,0
"85","96821",22,6,0,0
"86","96822",30,11,0,0
"87","96823",1,0,0,0
"88","96825",43,17,0,0
"89","96826",10,2,0,0
"90","96828",1,0,0,0
"91","96830",1,0,0,0
