"","Zipcodes","Inquiry","Applied","Accepted","Enrolled"
"1","66002",0,0,0,0
"2","66007",0,0,0,0
"3","66012",0,0,0,0
"4","66016",0,0,0,0
"5","66020",0,0,0,0
"6","66025",0,0,0,0
"7","66040",0,0,0,0
"8","66043",0,0,0,0
"9","66044",0,0,0,0
"10","66046",1,0,0,0
"11","66047",0,0,0,0
"12","66048",0,0,0,0
"13","66049",0,0,0,0
"14","66052",0,0,0,0
"15","66053",0,0,0,0
"16","66062",0,0,0,0
"17","66067",0,0,0,0
"18","66071",0,0,0,0
"19","66076",0,0,0,0
"20","66078",0,0,0,0
"21","66085",0,0,0,0
"22","66086",0,0,0,0
"23","66101",0,0,0,0
"24","66102",0,0,0,0
"25","66103",0,0,0,0
"26","66104",0,0,0,0
"27","66106",0,0,0,0
"28","66109",0,0,0,0
"29","66202",0,0,0,0
"30","66204",1,1,0,0
"31","66206",0,0,0,0
"32","66207",0,0,0,0
"33","66208",0,0,0,0
"34","66213",0,0,0,0
"35","66214",0,0,0,0
"36","66215",0,0,0,0
"37","66216",0,0,0,0
"38","66219",0,0,0,0
"39","66221",1,0,0,0
"40","66226",0,0,0,0
"41","66502",0,0,0,0
"42","66506",0,0,0,0
"43","66608",0,0,0,0
"44","66610",1,1,0,0
"45","67031",0,0,0,0
"46","67104",0,0,0,0
"47","67207",0,0,0,0
"48","67210",0,0,0,0
"49","67212",0,0,0,0
"50","67228",1,1,0,0
"51","67357",1,1,0,0
"52","67601",0,0,0,0
"53","67642",0,0,0,0
"54","67671",0,0,0,0
"55","67756",0,0,0,0
