"","Zipcodes","Inquiry","Applied","Accepted","Enrolled"
"1","55001",0,0,0,0
"2","55019",0,0,0,0
"3","55025",0,0,0,0
"4","55033",2,2,1,1
"5","55043",0,0,0,0
"6","55044",0,0,0,0
"7","55045",0,0,0,0
"8","55053",0,0,0,0
"9","55057",0,0,0,0
"10","55060",0,0,0,0
"11","55065",0,0,0,0
"12","55075",0,0,0,0
"13","55082",0,0,0,0
"14","55092",0,0,0,0
"15","55102",0,0,0,0
"16","55104",0,0,0,0
"17","55105",0,0,0,0
"18","55108",0,0,0,0
"19","55109",1,1,0,0
"20","55110",0,0,0,0
"21","55112",0,0,0,0
"22","55113",1,1,0,0
"23","55115",0,0,0,0
"24","55116",0,0,0,0
"25","55117",1,1,0,0
"26","55118",1,1,0,0
"27","55119",0,0,0,0
"28","55120",1,1,0,0
"29","55123",1,1,0,0
"30","55124",0,0,0,0
"31","55126",1,1,0,0
"32","55127",1,1,1,1
"33","55129",0,0,0,0
"34","55302",0,0,0,0
"35","55303",1,1,0,0
"36","55305",0,0,0,0
"37","55306",0,0,0,0
"38","55309",0,0,0,0
"39","55311",0,0,0,0
"40","55315",0,0,0,0
"41","55316",0,0,0,0
"42","55317",0,0,0,0
"43","55331",0,0,0,0
"44","55337",2,2,0,0
"45","55340",0,0,0,0
"46","55343",0,0,0,0
"47","55344",0,0,0,0
"48","55345",0,0,0,0
"49","55346",0,0,0,0
"50","55347",2,2,0,0
"51","55355",0,0,0,0
"52","55362",0,0,0,0
"53","55364",0,0,0,0
"54","55376",0,0,0,0
"55","55379",0,0,0,0
"56","55384",0,0,0,0
"57","55386",0,0,0,0
"58","55387",0,0,0,0
"59","55391",0,0,0,0
"60","55401",0,0,0,0
"61","55402",0,0,0,0
"62","55403",0,0,0,0
"63","55404",0,0,0,0
"64","55406",1,1,1,1
"65","55408",0,0,0,0
"66","55409",0,0,0,0
"67","55410",0,0,0,0
"68","55414",0,0,0,0
"69","55416",0,0,0,0
"70","55418",0,0,0,0
"71","55419",0,0,0,0
"72","55420",0,0,0,0
"73","55421",0,0,0,0
"74","55422",0,0,0,0
"75","55423",0,0,0,0
"76","55424",0,0,0,0
"77","55425",0,0,0,0
"78","55427",0,0,0,0
"79","55428",0,0,0,0
"80","55431",0,0,0,0
"81","55434",0,0,0,0
"82","55436",1,1,0,0
"83","55437",0,0,0,0
"84","55438",0,0,0,0
"85","55439",0,0,0,0
"86","55441",0,0,0,0
"87","55442",0,0,0,0
"88","55443",0,0,0,0
"89","55446",0,0,0,0
"90","55447",1,1,0,0
"91","55454",0,0,0,0
"92","55733",0,0,0,0
"93","55802",0,0,0,0
"94","55803",0,0,0,0
"95","55804",0,0,0,0
"96","55807",0,0,0,0
"97","55811",0,0,0,0
"98","55812",0,0,0,0
"99","55904",0,0,0,0
"100","55906",0,0,0,0
"101","55919",0,0,0,0
"102","55920",0,0,0,0
"103","56001",0,0,0,0
"104","56044",0,0,0,0
"105","56082",0,0,0,0
"106","56301",0,0,0,0
"107","56303",1,1,0,0
"108","56330",1,1,0,0
"109","56345",2,2,0,0
"110","56368",0,0,0,0
"111","56377",0,0,0,0
"112","56378",0,0,0,0
"113","56578",0,0,0,0
"114","56750",0,0,0,0
