"","Zipcodes","Inquiry","Applied","Accepted","Enrolled"
"1","7002",0,0,0,0
"2","7005",0,0,0,0
"3","7011",0,0,0,0
"4","7039",0,0,0,0
"5","7044",0,0,0,0
"6","7058",0,0,0,0
"7","7059",0,0,0,0
"8","7203",1,1,0,0
"9","7432",0,0,0,0
"10","7724",0,0,0,0
"11","7728",0,0,0,0
"12","7733",0,0,0,0
"13","7760",0,0,0,0
"14","7860",0,0,0,0
"15","7871",0,0,0,0
"16","8002",0,0,0,0
"17","8003",0,0,0,0
"18","8051",0,0,0,0
"19","8055",0,0,0,0
"20","8081",0,0,0,0
"21","8109",0,0,0,0
"22","8204",0,0,0,0
"23","8540",0,0,0,0
"24","8638",0,0,0,0
"25","8742",0,0,0,0
"26","8753",0,0,0,0
"27","8807",0,0,0,0
"28","8852",0,0,0,0
"29","8854",0,0,0,0
"30","8865",0,0,0,0
"31","8876",0,0,0,0
