"","Zipcodes","Inquiry","Applied","Accepted","Enrolled"
"1","7002",1,0,0,0
"2","7005",1,0,0,0
"3","7011",1,0,0,0
"4","7039",1,0,0,0
"5","7044",1,0,0,0
"6","7058",1,1,0,0
"7","7059",1,0,0,0
"8","7203",1,1,0,0
"9","7432",1,0,0,0
"10","7724",1,0,0,0
"11","7728",1,1,0,0
"12","7733",1,0,0,0
"13","7760",1,0,0,0
"14","7860",1,0,0,0
"15","7871",1,0,0,0
"16","8002",1,0,0,0
"17","8003",1,0,0,0
"18","8051",1,0,0,0
"19","8055",1,1,0,0
"20","8081",1,0,0,0
"21","8109",1,0,0,0
"22","8204",1,0,0,0
"23","8540",2,0,0,0
"24","8638",1,0,0,0
"25","8742",1,1,0,0
"26","8753",1,0,0,0
"27","8807",1,0,0,0
"28","8852",1,0,0,0
"29","8854",2,0,0,0
"30","8865",1,1,0,0
"31","8876",1,0,0,0
