"","Zipcodes","Inquiry","Applied","Accepted","Enrolled"
"1","43004",0,0,0,0
"2","43017",0,0,0,0
"3","43140",0,0,0,0
"4","43201",0,0,0,0
"5","43209",0,0,0,0
"6","43221",0,0,0,0
"7","43227",0,0,0,0
"8","43228",1,1,0,0
"9","43311",0,0,0,0
"10","43402",0,0,0,0
"11","43460",0,0,0,0
"12","43515",0,0,0,0
"13","43560",0,0,0,0
"14","43571",0,0,0,0
"15","43606",0,0,0,0
"16","43614",0,0,0,0
"17","43906",0,0,0,0
"18","44004",0,0,0,0
"19","44011",0,0,0,0
"20","44012",0,0,0,0
"21","44017",0,0,0,0
"22","44022",0,0,0,0
"23","44023",0,0,0,0
"24","44024",0,0,0,0
"25","44026",1,1,0,0
"26","44035",0,0,0,0
"27","44039",0,0,0,0
"28","44040",0,0,0,0
"29","44047",0,0,0,0
"30","44053",0,0,0,0
"31","44055",0,0,0,0
"32","44057",0,0,0,0
"33","44060",0,0,0,0
"34","44067",0,0,0,0
"35","44084",0,0,0,0
"36","44087",0,0,0,0
"37","44094",0,0,0,0
"38","44095",0,0,0,0
"39","44102",1,1,0,0
"40","44107",0,0,0,0
"41","44109",0,0,0,0
"42","44111",0,0,0,0
"43","44113",0,0,0,0
"44","44116",0,0,0,0
"45","44118",0,0,0,0
"46","44119",0,0,0,0
"47","44120",0,0,0,0
"48","44121",0,0,0,0
"49","44122",0,0,0,0
"50","44123",0,0,0,0
"51","44125",0,0,0,0
"52","44126",0,0,0,0
"53","44129",0,0,0,0
"54","44130",0,0,0,0
"55","44131",2,2,0,0
"56","44132",0,0,0,0
"57","44133",0,0,0,0
"58","44134",0,0,0,0
"59","44135",0,0,0,0
"60","44136",0,0,0,0
"61","44138",0,0,0,0
"62","44139",0,0,0,0
"63","44140",1,1,0,0
"64","44143",0,0,0,0
"65","44144",0,0,0,0
"66","44145",1,1,0,0
"67","44147",0,0,0,0
"68","44149",0,0,0,0
"69","44202",1,1,0,0
"70","44231",0,0,0,0
"71","44233",0,0,0,0
"72","44240",0,0,0,0
"73","44286",0,0,0,0
"74","44301",0,0,0,0
"75","44306",0,0,0,0
"76","44321",0,0,0,0
"77","44614",0,0,0,0
"78","44615",0,0,0,0
"79","44663",1,1,0,0
"80","44709",1,1,0,0
"81","44720",0,0,0,0
"82","44857",0,0,0,0
"83","44864",0,0,0,0
"84","45011",0,0,0,0
"85","45014",0,0,0,0
"86","45039",0,0,0,0
"87","45066",2,2,0,0
"88","45069",0,0,0,0
"89","45102",0,0,0,0
"90","45103",0,0,0,0
"91","45140",0,0,0,0
"92","45205",0,0,0,0
"93","45211",0,0,0,0
"94","45215",0,0,0,0
"95","45218",0,0,0,0
"96","45220",1,1,0,0
"97","45228",0,0,0,0
"98","45229",0,0,0,0
"99","45231",0,0,0,0
"100","45233",0,0,0,0
"101","45236",0,0,0,0
"102","45238",0,0,0,0
"103","45239",0,0,0,0
"104","45240",0,0,0,0
"105","45241",0,0,0,0
"106","45242",0,0,0,0
"107","45243",0,0,0,0
"108","45244",0,0,0,0
"109","45246",0,0,0,0
"110","45247",0,0,0,0
"111","45248",1,1,0,0
"112","45249",0,0,0,0
"113","45252",0,0,0,0
"114","45255",0,0,0,0
"115","45335",0,0,0,0
"116","45377",0,0,0,0
"117","45385",0,0,0,0
"118","45405",0,0,0,0
"119","45418",0,0,0,0
"120","45432",0,0,0,0
"121","45433",1,1,0,0
"122","45458",0,0,0,0
"123","45503",0,0,0,0
"124","45780",0,0,0,0
"125","45885",0,0,0,0
