"","Zipcodes","Inquiry","Applied","Accepted","Enrolled"
"1","43004",1,0,0,0
"2","43017",1,1,0,0
"3","43140",1,0,0,0
"4","43201",3,0,0,0
"5","43209",1,0,0,0
"6","43221",3,0,0,0
"7","43227",1,0,0,0
"8","43228",1,1,0,0
"9","43311",1,0,0,0
"10","43402",1,0,0,0
"11","43460",1,0,0,0
"12","43515",1,0,0,0
"13","43560",1,0,0,0
"14","43571",1,0,0,0
"15","43606",1,0,0,0
"16","43614",1,0,0,0
"17","43906",1,0,0,0
"18","44004",1,0,0,0
"19","44011",3,0,0,0
"20","44012",4,0,0,0
"21","44017",1,0,0,0
"22","44022",5,1,0,0
"23","44023",5,0,0,0
"24","44024",2,0,0,0
"25","44026",2,1,0,0
"26","44035",2,0,0,0
"27","44039",2,0,0,0
"28","44040",3,0,0,0
"29","44047",2,0,0,0
"30","44053",1,0,0,0
"31","44055",1,0,0,0
"32","44057",1,0,0,0
"33","44060",3,0,0,0
"34","44067",1,0,0,0
"35","44084",1,0,0,0
"36","44087",1,0,0,0
"37","44094",4,0,0,0
"38","44095",2,0,0,0
"39","44102",1,1,0,0
"40","44107",3,0,0,0
"41","44109",1,0,0,0
"42","44111",1,0,0,0
"43","44113",1,0,0,0
"44","44116",2,0,0,0
"45","44118",1,0,0,0
"46","44119",1,0,0,0
"47","44120",1,0,0,0
"48","44121",3,0,0,0
"49","44122",1,1,0,0
"50","44123",1,0,0,0
"51","44125",2,0,0,0
"52","44126",2,0,0,0
"53","44129",1,0,0,0
"54","44130",3,0,0,0
"55","44131",4,2,0,0
"56","44132",1,0,0,0
"57","44133",1,0,0,0
"58","44134",1,0,0,0
"59","44135",3,0,0,0
"60","44136",2,0,0,0
"61","44138",3,0,0,0
"62","44139",2,0,0,0
"63","44140",4,1,0,0
"64","44143",1,0,0,0
"65","44144",3,1,0,0
"66","44145",5,1,0,0
"67","44147",2,0,0,0
"68","44149",3,0,0,0
"69","44202",3,1,0,0
"70","44231",1,0,0,0
"71","44233",1,1,0,0
"72","44240",1,0,0,0
"73","44286",1,0,0,0
"74","44301",1,0,0,0
"75","44306",1,0,0,0
"76","44321",1,0,0,0
"77","44614",1,0,0,0
"78","44615",1,0,0,0
"79","44663",1,1,0,0
"80","44709",2,1,0,0
"81","44720",1,0,0,0
"82","44857",1,0,0,0
"83","44864",1,0,0,0
"84","45011",2,1,1,1
"85","45014",2,0,0,0
"86","45039",1,0,0,0
"87","45066",2,2,0,0
"88","45069",1,0,0,0
"89","45102",1,0,0,0
"90","45103",1,0,0,0
"91","45140",1,0,0,0
"92","45205",1,0,0,0
"93","45211",2,0,0,0
"94","45215",3,0,0,0
"95","45218",1,0,0,0
"96","45220",1,1,0,0
"97","45228",1,0,0,0
"98","45229",1,0,0,0
"99","45231",4,0,0,0
"100","45233",5,0,0,0
"101","45236",1,0,0,0
"102","45238",3,0,0,0
"103","45239",2,0,0,0
"104","45240",1,0,0,0
"105","45241",2,0,0,0
"106","45242",2,0,0,0
"107","45243",6,1,0,0
"108","45244",1,0,0,0
"109","45246",1,0,0,0
"110","45247",1,0,0,0
"111","45248",7,1,0,0
"112","45249",1,0,0,0
"113","45252",1,0,0,0
"114","45255",3,1,0,0
"115","45335",1,0,0,0
"116","45377",1,0,0,0
"117","45385",1,1,0,0
"118","45405",1,1,0,0
"119","45418",1,0,0,0
"120","45432",1,0,0,0
"121","45433",1,1,0,0
"122","45458",1,1,0,0
"123","45503",1,0,0,0
"124","45780",1,0,0,0
"125","45885",1,0,0,0
