"","Zipcodes","Inquiry","Applied","Accepted","Enrolled"
"1","98001",18,6,0,0
"2","98002",1,0,0,0
"3","98003",13,8,0,0
"4","98004",20,10,2,2
"5","98005",10,7,1,1
"6","98006",22,10,0,0
"7","98007",4,1,0,0
"8","98008",5,4,0,0
"9","98009",0,0,0,0
"10","98010",2,0,0,0
"11","98011",13,6,3,3
"12","98012",10,6,0,0
"13","98014",0,0,0,0
"14","98015",2,0,0,0
"15","98019",4,1,0,0
"16","98020",13,9,0,0
"17","98021",10,7,1,1
"18","98022",5,2,0,0
"19","98023",29,17,1,1
"20","98024",3,2,0,0
"21","98026",10,6,3,3
"22","98027",17,7,0,0
"23","98028",17,5,0,0
"24","98029",6,4,1,1
"25","98030",13,6,2,2
"26","98031",11,5,1,1
"27","98032",7,4,0,0
"28","98033",11,7,1,1
"29","98034",12,6,0,0
"30","98036",9,4,0,0
"31","98037",6,3,0,0
"32","98038",8,1,0,0
"33","98039",2,2,1,1
"34","98040",21,12,1,1
"35","98041",1,1,0,0
"36","98042",19,4,1,1
"37","98043",6,3,0,0
"38","98045",2,0,0,0
"39","98047",0,0,0,0
"40","98051",1,1,1,1
"41","98052",30,10,0,0
"42","98053",8,6,1,1
"43","98055",5,2,1,1
"44","98056",11,5,0,0
"45","98057",1,0,0,0
"46","98058",15,6,0,0
"47","98059",16,6,0,0
"48","98065",2,0,0,0
"49","98068",1,0,0,0
"50","98070",3,0,0,0
"51","98071",0,0,0,0
"52","98072",17,7,0,0
"53","98074",18,11,1,1
"54","98075",22,12,1,1
"55","98077",8,6,0,0
"56","98082",0,0,0,0
"57","98083",1,1,0,0
"58","98087",7,5,0,0
"59","98089",0,0,0,0
"60","98092",13,7,0,0
"61","98093",0,0,0,0
"62","98101",1,0,0,0
"63","98102",6,2,1,1
"64","98103",11,4,0,0
"65","98104",2,1,0,0
"66","98105",14,9,0,0
"67","98106",4,2,1,1
"68","98107",3,1,0,0
"69","98108",2,1,0,0
"70","98109",6,2,0,0
"71","98110",20,6,0,0
"72","98111",0,0,0,0
"73","98112",10,5,0,0
"74","98115",32,16,0,0
"75","98116",10,4,0,0
"76","98117",5,3,1,1
"77","98118",16,5,0,0
"78","98119",4,2,1,1
"79","98121",0,0,0,0
"80","98122",0,0,0,0
"81","98125",8,3,0,0
"82","98126",8,6,3,3
"83","98133",14,4,0,0
"84","98136",7,4,1,1
"85","98144",7,2,0,0
"86","98145",1,1,0,0
"87","98146",7,3,2,2
"88","98148",3,0,0,0
"89","98155",10,5,0,0
"90","98166",12,7,1,1
"91","98168",6,1,0,0
"92","98177",18,10,0,0
"93","98178",6,3,0,0
"94","98188",1,1,0,0
"95","98198",11,5,0,0
"96","98199",6,1,0,0
"97","98201",6,4,1,1
"98","98203",6,4,0,0
"99","98204",2,1,0,0
"100","98205",2,0,0,0
"101","98206",0,0,0,0
"102","98208",9,1,0,0
"103","98220",1,0,0,0
"104","98221",8,7,1,1
"105","98223",6,3,0,0
"106","98225",13,5,0,0
"107","98226",13,4,0,0
"108","98227",0,0,0,0
"109","98229",11,3,0,0
"110","98230",2,0,0,0
"111","98231",1,0,0,0
"112","98232",1,0,0,0
"113","98233",2,2,0,0
"114","98236",1,1,0,0
"115","98237",0,0,0,0
"116","98241",0,0,0,0
"117","98244",0,0,0,0
"118","98245",0,0,0,0
"119","98247",3,3,0,0
"120","98248",4,2,0,0
"121","98249",3,0,0,0
"122","98250",3,2,0,0
"123","98251",1,1,0,0
"124","98252",0,0,0,0
"125","98253",1,0,0,0
"126","98257",2,2,1,1
"127","98258",2,1,0,0
"128","98260",1,1,0,0
"129","98261",0,0,0,0
"130","98263",1,1,0,0
"131","98264",5,5,0,0
"132","98266",1,0,0,0
"133","98270",7,5,1,1
"134","98271",3,0,0,0
"135","98272",3,2,0,0
"136","98273",3,0,0,0
"137","98274",1,0,0,0
"138","98275",13,6,0,0
"139","98276",0,0,0,0
"140","98277",6,2,0,0
"141","98281",1,0,0,0
"142","98282",2,0,0,0
"143","98284",1,1,0,0
"144","98290",7,4,2,2
"145","98291",0,0,0,0
"146","98292",8,1,0,0
"147","98294",3,1,0,0
"148","98295",0,0,0,0
"149","98296",11,5,0,0
"150","98310",2,0,0,0
"151","98311",6,1,0,0
"152","98312",5,0,0,0
"153","98315",0,0,0,0
"154","98320",1,1,1,1
"155","98321",1,0,0,0
"156","98323",1,0,0,0
"157","98324",0,0,0,0
"158","98325",1,1,1,1
"159","98327",2,1,0,0
"160","98328",4,0,0,0
"161","98329",2,1,0,0
"162","98332",10,6,2,2
"163","98333",4,4,0,0
"164","98335",11,1,0,0
"165","98336",0,0,0,0
"166","98337",1,0,0,0
"167","98338",6,2,0,0
"168","98339",0,0,0,0
"169","98340",0,0,0,0
"170","98346",2,1,0,0
"171","98349",0,0,0,0
"172","98351",0,0,0,0
"173","98353",1,0,0,0
"174","98354",1,0,0,0
"175","98356",1,1,0,0
"176","98357",0,0,0,0
"177","98358",1,0,0,0
"178","98359",1,0,0,0
"179","98360",2,1,0,0
"180","98362",4,4,1,1
"181","98363",3,0,0,0
"182","98365",0,0,0,0
"183","98366",9,3,0,0
