"","Zipcodes","Inquiry","Applied","Accepted","Enrolled"
"1","98001",49,18,1,1
"2","98002",5,1,0,0
"3","98003",43,18,0,0
"4","98004",43,22,2,2
"5","98005",19,10,1,1
"6","98006",54,24,2,2
"7","98007",9,3,0,0
"8","98008",21,10,1,1
"9","98009",4,3,0,0
"10","98010",7,2,0,0
"11","98011",37,17,3,3
"12","98012",32,16,0,0
"13","98014",9,5,1,1
"14","98015",2,0,0,0
"15","98019",8,2,0,0
"16","98020",27,13,0,0
"17","98021",25,16,3,3
"18","98022",13,5,0,0
"19","98023",92,39,2,2
"20","98024",9,6,0,0
"21","98026",29,16,3,3
"22","98027",37,14,0,0
"23","98028",29,10,0,0
"24","98029",24,11,1,1
"25","98030",32,15,3,3
"26","98031",32,9,1,2
"27","98032",17,7,1,1
"28","98033",31,17,1,1
"29","98034",36,18,1,1
"30","98036",23,8,0,0
"31","98037",21,6,0,0
"32","98038",33,10,2,2
"33","98039",7,3,1,1
"34","98040",50,27,2,2
"35","98041",1,1,0,0
"36","98042",53,14,2,2
"37","98043",15,5,0,0
"38","98045",9,1,0,0
"39","98047",4,1,0,0
"40","98051",3,3,1,1
"41","98052",62,24,3,3
"42","98053",18,8,1,1
"43","98055",11,3,1,1
"44","98056",24,11,0,0
"45","98057",2,0,0,0
"46","98058",43,16,0,0
"47","98059",33,11,0,0
"48","98065",4,0,0,0
"49","98068",1,0,0,0
"50","98070",16,2,0,0
"51","98071",1,1,0,0
"52","98072",35,16,1,1
"53","98074",48,22,1,1
"54","98075",51,25,3,3
"55","98077",25,13,1,1
"56","98082",1,0,0,0
"57","98083",2,2,0,0
"58","98087",18,6,1,1
"59","98089",1,1,0,0
"60","98092",40,17,0,0
"61","98093",1,1,0,0
"62","98101",3,0,0,0
"63","98102",16,6,2,2
"64","98103",22,6,1,1
"65","98104",4,2,0,0
"66","98105",34,17,0,0
"67","98106",15,7,1,1
"68","98107",11,1,0,0
"69","98108",9,6,1,1
"70","98109",10,5,0,0
"71","98110",54,23,2,2
"72","98111",1,1,0,0
"73","98112",29,16,1,1
"74","98115",77,37,1,1
"75","98116",29,11,0,0
"76","98117",27,12,1,1
"77","98118",27,10,0,0
"78","98119",13,4,1,1
"79","98121",5,2,1,1
"80","98122",11,6,1,1
"81","98125",27,14,1,1
"82","98126",16,10,3,3
"83","98133",28,10,1,1
"84","98136",17,11,3,3
"85","98144",15,4,0,0
"86","98145",2,2,0,0
"87","98146",18,6,2,2
"88","98148",6,2,0,0
"89","98155",27,13,2,2
"90","98166",26,14,1,1
"91","98168",19,3,0,0
"92","98177",38,22,3,3
"93","98178",19,6,0,0
"94","98188",12,4,0,0
"95","98198",33,13,0,0
"96","98199",31,14,2,2
"97","98201",18,8,1,1
"98","98203",16,6,0,0
"99","98204",11,6,1,1
"100","98205",4,1,0,0
"101","98206",1,0,0,0
"102","98208",18,4,0,0
"103","98220",2,1,0,0
"104","98221",17,10,2,2
"105","98223",24,6,0,0
"106","98225",36,13,1,1
"107","98226",27,8,0,0
"108","98227",2,1,0,0
"109","98229",33,13,0,0
"110","98230",11,3,1,1
"111","98231",3,0,0,0
"112","98232",3,1,0,0
"113","98233",11,6,0,0
"114","98236",5,2,0,0
"115","98237",1,0,0,0
"116","98241",2,1,0,0
"117","98244",2,0,0,0
"118","98245",7,3,1,1
"119","98247",7,6,0,0
"120","98248",10,4,0,0
"121","98249",4,1,0,0
"122","98250",7,4,0,0
"123","98251",3,2,0,0
"124","98252",3,0,0,0
"125","98253",1,0,0,0
"126","98257",7,3,1,1
"127","98258",16,3,0,0
"128","98260",5,4,0,0
"129","98261",10,5,0,0
"130","98263",1,1,0,0
"131","98264",21,11,0,0
"132","98266",1,0,0,0
"133","98270",23,12,1,1
"134","98271",10,2,0,0
"135","98272",9,2,0,0
"136","98273",11,2,0,0
"137","98274",9,4,1,1
"138","98275",26,13,1,1
"139","98276",1,0,0,0
"140","98277",20,3,0,0
"141","98281",1,0,0,0
"142","98282",7,2,0,0
"143","98284",13,3,0,0
"144","98290",26,11,4,4
"145","98291",1,0,0,0
"146","98292",21,6,3,3
"147","98294",7,2,0,0
"148","98295",2,1,0,0
"149","98296",27,9,1,1
"150","98310",8,0,0,0
"151","98311",22,7,2,2
"152","98312",21,2,0,0
"153","98315",2,0,0,0
"154","98320",1,1,1,1
"155","98321",4,0,0,0
"156","98323",1,0,0,0
"157","98324",1,1,0,0
"158","98325",1,1,1,1
"159","98327",7,2,0,0
"160","98328",8,2,0,0
"161","98329",7,2,0,0
"162","98332",28,17,2,2
"163","98333",4,4,0,0
"164","98335",41,14,0,0
"165","98336",1,0,0,0
"166","98337",2,0,0,0
"167","98338",26,6,0,0
"168","98339",1,1,0,0
"169","98340",1,1,0,0
"170","98346",7,2,0,0
"171","98349",1,0,0,0
"172","98351",1,0,0,0
"173","98353",1,0,0,0
"174","98354",6,1,0,0
"175","98356",2,2,0,0
"176","98357",1,0,0,0
"177","98358",1,0,0,0
"178","98359",3,2,0,0
"179","98360",9,1,0,0
"180","98362",16,9,2,2
"181","98363",6,1,0,0
"182","98365",1,0,0,0
"183","98366",21,6,0,0
"184","98367",15,6,1,1
"185","98368",13,5,2,2
"186","98370",23,9,2,2
"187","98371",20,11,0,0
"188","98372",18,8,2,2
"189","98373",21,11,2,1
"190","98374",48,23,2,2
"191","98375",20,8,0,0
"192","98376",1,1,1,1
"193","98377",1,0,0,0
"194","98380",4,0,0,0
"195","98382",14,7,3,3
"196","98383",16,6,1,1
"197","98385",1,0,0,0
"198","98387",40,9,0,0
"199","98388",10,2,0,0
"200","98390",9,3,0,0
"201","98391",41,16,0,0
"202","98392",4,3,0,0
"203","98393",1,0,0,0
"204","98394",1,0,0,0
"205","98402",3,1,1,1
"206","98403",17,2,0,0
"207","98404",10,5,0,0
"208","98405",15,9,0,0
"209","98406",23,11,0,0
"210","98407",27,15,0,0
"211","98408",11,3,0,0
"212","98409",12,6,1,1
"213","98417",2,2,0,0
"214","98418",7,2,0,0
"215","98422",44,18,1,1
"216","98424",1,0,0,0
"217","98433",3,0,0,0
"218","98439",1,1,0,0
"219","98443",4,1,0,0
"220","98444",30,9,1,1
"221","98445",25,9,1,1
"222","98446",8,5,0,0
"223","98465",8,4,1,1
"224","98466",42,16,1,1
"225","98467",22,12,0,0
"226","98496",1,0,0,0
"227","98498",32,10,1,1
"228","98499",19,11,2,2
"229","98501",60,27,8,8
"230","98502",51,27,4,4
"231","98503",22,11,1,1
"232","98506",15,7,1,1
"233","98507",3,1,1,1
"234","98512",37,14,3,3
"235","98513",18,9,2,2
"236","98516",21,9,1,1
"237","98520",11,2,2,2
"238","98524",3,2,0,0
"239","98528",11,2,1,1
"240","98531",19,7,0,0
"241","98532",21,5,1,1
"242","98537",3,1,0,0
"243","98540",2,1,0,0
"244","98541",2,1,0,0
"245","98546",2,0,0,0
"246","98547",2,0,0,0
"247","98550",6,2,0,0
"248","98554",2,1,0,0
"249","98557",3,0,0,0
"250","98563",7,1,0,0
"251","98564",2,2,0,0
"252","98569",2,1,0,0
"253","98570",1,0,0,0
"254","98576",5,3,0,0
"255","98577",2,1,0,0
"256","98579",2,0,0,0
"257","98580",9,1,0,0
"258","98584",14,4,0,0
"259","98586",2,0,0,0
"260","98589",4,2,0,0
"261","98591",5,0,0,0
"262","98593",1,0,0,0
"263","98596",2,0,0,0
"264","98597",14,4,0,0
"265","98601",1,0,0,0
"266","98604",41,19,5,5
"267","98605",1,0,0,0
"268","98606",16,10,1,1
"269","98607",43,13,1,1
"270","98610",3,2,0,0
"271","98611",7,0,0,0
"272","98617",1,1,1,1
"273","98620",2,2,0,0
"274","98625",2,0,0,0
"275","98626",14,2,0,0
"276","98629",7,4,1,1
"277","98631",3,2,0,0
"278","98632",35,9,0,0
"279","98639",1,0,0,0
"280","98640",2,0,0,0
"281","98642",17,5,1,1
"282","98643",2,0,0,0
"283","98648",4,2,0,0
"284","98649",1,0,0,0
"285","98650",2,0,0,0
"286","98651",1,1,0,0
"287","98660",5,1,0,0
"288","98661",25,8,1,1
"289","98662",26,11,2,2
"290","98663",15,6,1,1
"291","98664",19,7,1,1
"292","98665",21,8,4,4
"293","98666",1,0,0,0
"294","98668",1,0,0,0
"295","98671",37,4,2,2
"296","98672",6,2,0,0
"297","98673",1,0,0,0
"298","98674",11,4,1,1
"299","98675",5,1,0,0
"300","98682",46,12,2,3
"301","98683",34,16,3,2
"302","98684",33,11,2,2
"303","98685",42,15,1,1
"304","98686",27,12,2,2
"305","98687",4,2,1,1
"306","98801",29,7,0,0
"307","98802",14,0,0,0
"308","98812",3,0,0,0
"309","98813",3,0,0,0
"310","98814",2,0,0,0
"311","98815",4,1,0,0
"312","98816",4,1,0,0
"313","98823",6,1,0,0
"314","98824",1,0,0,0
"315","98826",2,1,0,0
"316","98828",1,0,0,0
"317","98830",1,0,0,0
"318","98831",3,1,0,0
"319","98832",2,0,0,0
"320","98836",1,0,0,0
"321","98837",24,6,1,1
"322","98840",1,0,0,0
"323","98841",7,1,0,0
"324","98843",1,1,0,0
"325","98844",1,0,0,0
"326","98846",2,0,0,0
"327","98847",1,1,0,0
"328","98848",5,1,0,0
"329","98851",1,0,0,0
"330","98856",4,2,0,0
"331","98857",1,1,0,0
"332","98858",1,1,0,0
"333","98860",1,1,0,0
"334","98862",3,2,1,1
"335","98901",23,6,1,1
"336","98902",28,8,0,0
"337","98903",10,2,0,0
"338","98904",1,0,0,0
"339","98907",1,0,0,0
"340","98908",45,19,1,1
"341","98909",1,0,0,0
"342","98921",1,0,0,0
"343","98922",2,1,0,0
"344","98923",2,0,0,0
"345","98926",29,11,0,0
"346","98930",6,0,0,0
"347","98932",2,0,0,0
"348","98933",1,0,0,0
"349","98935",7,2,0,0
"350","98936",8,2,0,0
"351","98937",3,0,0,0
"352","98940",2,0,0,0
"353","98942",24,6,0,0
"354","98944",8,2,0,0
"355","98947",1,0,0,0
"356","98948",15,3,0,0
"357","98951",10,3,0,0
"358","98952",1,0,0,0
"359","98953",4,2,1,1
"360","99001",2,1,1,1
"361","99003",2,2,0,0
"362","99004",16,2,0,0
"363","99005",8,2,0,0
"364","99006",10,2,0,0
"365","99009",2,1,0,0
"366","99011",1,0,0,0
"367","99016",9,2,0,0
"368","99019",10,2,1,1
"369","99021",15,5,1,1
"370","99022",14,1,0,0
"371","99023",1,1,0,0
"372","99025",7,0,0,0
"373","99026",13,4,0,0
"374","99027",4,0,0,0
"375","99029",2,0,0,0
"376","99031",2,0,0,0
"377","99032",1,1,1,1
"378","99033",1,0,0,0
"379","99036",2,1,0,0
"380","99037",10,3,1,1
"381","99103",1,0,0,0
"382","99109",5,0,0,0
"383","99111",1,1,0,0
"384","99113",1,1,0,0
"385","99114",6,5,0,0
