"","Zipcodes","Inquiry","Applied","Accepted","Enrolled"
"1","71602",0,0,0,0
"2","71603",0,0,0,0
"3","71730",0,0,0,0
"4","71749",0,0,0,0
"5","71860",0,0,0,0
"6","71901",0,0,0,0
"7","72023",0,0,0,0
"8","72025",0,0,0,0
"9","72032",0,0,0,0
"10","72034",0,0,0,0
"11","72069",0,0,0,0
"12","72076",0,0,0,0
"13","72116",0,0,0,0
"14","72173",0,0,0,0
"15","72364",0,0,0,0
"16","72401",0,0,0,0
"17","72501",0,0,0,0
"18","72601",0,0,0,0
"19","72631",0,0,0,0
"20","72701",0,0,0,0
"21","72704",0,0,0,0
"22","72712",1,0,0,0
"23","72719",0,0,0,0
"24","72758",0,0,0,0
"25","72801",0,0,0,0
"26","72903",0,0,0,0
"27","72916",0,0,0,0
"28","72956",0,0,0,0
