"","Zipcodes","Inquiry","Applied","Accepted","Enrolled"
"1","71602",1,0,0,0
"2","71603",1,0,0,0
"3","71730",1,0,0,0
"4","71749",1,0,0,0
"5","71860",1,0,0,0
"6","71901",1,0,0,0
"7","72023",1,0,0,0
"8","72025",1,0,0,0
"9","72032",2,0,0,0
"10","72034",2,0,0,0
"11","72069",1,0,0,0
"12","72076",2,0,0,0
"13","72116",1,0,0,0
"14","72173",4,0,0,0
"15","72364",1,0,0,0
"16","72401",3,0,0,0
"17","72501",1,0,0,0
"18","72601",1,0,0,0
"19","72631",1,0,0,0
"20","72701",3,0,0,0
"21","72704",1,0,0,0
"22","72712",1,0,0,0
"23","72719",1,1,0,0
"24","72758",1,0,0,0
"25","72801",1,0,0,0
"26","72903",1,0,0,0
"27","72916",1,0,0,0
"28","72956",1,1,0,0
