"","Zipcodes","Inquiry","Applied","Accepted","Enrolled"
"1","90001",0,0,0,0
"2","90002",0,0,0,0
"3","90003",0,0,0,0
"4","90004",0,0,0,0
"5","90005",0,0,0,0
"6","90006",0,0,0,0
"7","90007",0,0,0,0
"8","90008",0,0,0,0
"9","90011",0,0,0,0
"10","90015",0,0,0,0
"11","90016",0,0,0,0
"12","90017",0,0,0,0
"13","90018",0,0,0,0
"14","90019",0,0,0,0
"15","90020",0,0,0,0
"16","90022",0,0,0,0
"17","90023",0,0,0,0
"18","90024",0,0,0,0
"19","90025",0,0,0,0
"20","90026",0,0,0,0
"21","90027",1,1,0,0
"22","90028",0,0,0,0
"23","90029",0,0,0,0
"24","90031",0,0,0,0
"25","90032",0,0,0,0
"26","90033",0,0,0,0
"27","90034",0,0,0,0
"28","90035",0,0,0,0
"29","90036",0,0,0,0
"30","90037",0,0,0,0
"31","90038",0,0,0,0
"32","90039",0,0,0,0
"33","90040",0,0,0,0
"34","90041",0,0,0,0
"35","90042",0,0,0,0
"36","90043",0,0,0,0
"37","90044",0,0,0,0
"38","90045",3,3,0,0
"39","90046",0,0,0,0
"40","90047",1,0,0,0
"41","90048",0,0,0,0
"42","90049",0,0,0,0
"43","90057",0,0,0,0
"44","90059",0,0,0,0
"45","90061",0,0,0,0
"46","90062",0,0,0,0
"47","90063",0,0,0,0
"48","90064",0,0,0,0
"49","90065",0,0,0,0
"50","90066",0,0,0,0
"51","90068",0,0,0,0
"52","90069",0,0,0,0
"53","90076",0,0,0,0
"54","90077",0,0,0,0
"55","90089",1,1,0,0
"56","90201",0,0,0,0
"57","90210",0,0,0,0
"58","90211",0,0,0,0
"59","90212",0,0,0,0
"60","90220",0,0,0,0
"61","90221",0,0,0,0
"62","90222",0,0,0,0
"63","90230",0,0,0,0
"64","90232",0,0,0,0
"65","90240",0,0,0,0
"66","90241",0,0,0,0
"67","90242",0,0,0,0
"68","90245",0,0,0,0
"69","90247",0,0,0,0
"70","90248",0,0,0,0
"71","90249",0,0,0,0
"72","90250",0,0,0,0
"73","90254",0,0,0,0
"74","90255",0,0,0,0
"75","90260",0,0,0,0
"76","90262",0,0,0,0
"77","90263",0,0,0,0
"78","90265",0,0,0,0
"79","90266",1,0,0,0
"80","90267",0,0,0,0
"81","90270",0,0,0,0
"82","90272",2,1,1,1
"83","90274",3,2,0,0
"84","90275",1,0,0,0
"85","90277",0,0,0,0
"86","90278",0,0,0,0
"87","90280",0,0,0,0
"88","90290",0,0,0,0
"89","90291",0,0,0,0
"90","90292",0,0,0,0
"91","90293",0,0,0,0
"92","90301",0,0,0,0
"93","90302",0,0,0,0
"94","90303",0,0,0,0
"95","90304",0,0,0,0
"96","90305",0,0,0,0
"97","90402",0,0,0,0
"98","90403",0,0,0,0
"99","90404",0,0,0,0
"100","90405",0,0,0,0
"101","90501",0,0,0,0
"102","90502",0,0,0,0
"103","90503",0,0,0,0
"104","90504",0,0,0,0
"105","90505",0,0,0,0
"106","90601",0,0,0,0
"107","90602",0,0,0,0
"108","90603",0,0,0,0
"109","90604",0,0,0,0
"110","90605",0,0,0,0
"111","90606",0,0,0,0
"112","90620",0,0,0,0
"113","90621",0,0,0,0
"114","90623",1,0,0,0
"115","90630",0,0,0,0
"116","90631",0,0,0,0
"117","90638",0,0,0,0
"118","90640",0,0,0,0
"119","90650",0,0,0,0
"120","90660",0,0,0,0
"121","90670",0,0,0,0
"122","90701",0,0,0,0
"123","90703",0,0,0,0
"124","90706",0,0,0,0
"125","90710",0,0,0,0
"126","90712",0,0,0,0
"127","90713",0,0,0,0
"128","90715",0,0,0,0
"129","90716",0,0,0,0
"130","90717",0,0,0,0
"131","90720",1,1,0,0
"132","90723",0,0,0,0
"133","90731",0,0,0,0
"134","90732",0,0,0,0
"135","90740",0,0,0,0
"136","90744",0,0,0,0
"137","90745",0,0,0,0
"138","90746",0,0,0,0
"139","90802",0,0,0,0
"140","90803",0,0,0,0
"141","90804",0,0,0,0
"142","90805",0,0,0,0
"143","90806",0,0,0,0
"144","90807",0,0,0,0
"145","90808",0,0,0,0
"146","90810",0,0,0,0
"147","90813",0,0,0,0
"148","90814",0,0,0,0
"149","90815",0,0,0,0
"150","91001",2,2,1,1
"151","91006",1,1,0,0
"152","91007",0,0,0,0
"153","91010",0,0,0,0
"154","91011",0,0,0,0
"155","91016",0,0,0,0
"156","91020",0,0,0,0
"157","91024",2,1,1,1
"158","91030",0,0,0,0
"159","91040",0,0,0,0
"160","91042",0,0,0,0
"161","91101",0,0,0,0
"162","91103",0,0,0,0
"163","91104",0,0,0,0
