"","Zipcodes","Inquiry","Applied","Accepted","Enrolled"
"1","6033",1,1,0,0
"2","6066",1,0,0,0
"3","6069",1,0,0,0
"4","6111",1,1,0,0
"5","6117",1,0,0,0
"6","6359",1,0,0,0
"7","6410",1,0,0,0
"8","6417",1,0,0,0
"9","6422",1,0,0,0
"10","6424",2,0,0,0
"11","6457",2,0,0,0
"12","6460",2,0,0,0
"13","6468",2,0,0,0
"14","6470",3,0,0,0
"15","6472",1,0,0,0
"16","6475",1,0,0,0
"17","6478",1,0,0,0
"18","6482",3,0,0,0
"19","6484",1,0,0,0
"20","6492",1,0,0,0
"21","6520",1,0,0,0
"22","6607",1,0,0,0
"23","6611",2,0,0,0
"24","6612",1,1,0,0
"25","6614",2,0,0,0
"26","6716",5,0,0,0
"27","6751",2,0,0,0
"28","6755",1,0,0,0
"29","6757",3,2,0,0
"30","6762",1,0,0,0
"31","6778",1,0,0,0
"32","6784",1,0,0,0
"33","6787",1,0,0,0
"34","6790",4,0,0,0
"35","6801",1,0,0,0
"36","6807",2,1,0,0
"37","6811",1,0,0,0
"38","6812",2,0,0,0
"39","6820",1,0,0,0
"40","6824",3,1,0,0
"41","6825",1,0,0,0
"42","6840",1,0,0,0
"43","6851",4,0,0,0
"44","6877",4,0,0,0
"45","6880",1,0,0,0
"46","6883",1,0,0,0
"47","6902",1,0,0,0
