"","Zipcodes","Inquiry","Applied","Accepted","Enrolled"
"1","48001",1,0,0,0
"2","48067",2,1,0,0
"3","48098",1,0,0,0
"4","48101",1,0,0,0
"5","48103",3,1,0,0
"6","48104",1,0,0,0
"7","48105",1,0,0,0
"8","48111",1,0,0,0
"9","48114",2,2,0,0
"10","48116",2,0,0,0
"11","48124",4,0,0,0
"12","48127",2,0,0,0
"13","48130",1,1,0,0
"14","48146",1,0,0,0
"15","48150",1,0,0,0
"16","48154",1,0,0,0
"17","48159",1,0,0,0
"18","48168",3,0,0,0
"19","48170",2,0,0,0
"20","48178",1,0,0,0
"21","48182",2,0,0,0
"22","48185",2,1,1,1
"23","48186",1,0,0,0
"24","48188",1,0,0,0
"25","48192",1,0,0,0
"26","48193",1,0,0,0
"27","48197",2,0,0,0
"28","48198",1,0,0,0
"29","48201",1,0,0,0
"30","48202",1,0,0,0
"31","48205",1,0,0,0
"32","48212",1,0,0,0
"33","48214",2,0,0,0
"34","48215",1,0,0,0
"35","48221",1,0,0,0
"36","48223",1,0,0,0
"37","48225",1,0,0,0
"38","48228",2,1,0,0
"39","48239",2,0,0,0
"40","48301",1,0,0,0
"41","48306",3,0,0,0
"42","48307",1,0,0,0
"43","48310",2,0,0,0
"44","48313",3,0,0,0
"45","48315",1,0,0,0
"46","48322",2,0,0,0
"47","48327",1,0,0,0
"48","48329",1,0,0,0
"49","48331",1,0,0,0
"50","48335",1,0,0,0
"51","48342",1,0,0,0
"52","48371",1,0,0,0
"53","48375",1,0,0,0
"54","48393",2,0,0,0
"55","48421",1,0,0,0
"56","48433",1,0,0,0
"57","48614",1,0,0,0
"58","48626",1,0,0,0
"59","48642",1,0,0,0
"60","48708",1,0,0,0
"61","48734",1,0,0,0
"62","48804",1,1,0,0
"63","48813",1,0,0,0
"64","48829",1,0,0,0
"65","48840",1,0,0,0
"66","48843",1,0,0,0
"67","48875",1,0,0,0
"68","48917",1,0,0,0
"69","49002",1,0,0,0
"70","49004",1,0,0,0
"71","49010",1,0,0,0
"72","49048",2,0,0,0
"73","49085",2,2,0,0
"74","49103",1,0,0,0
"75","49112",1,1,0,0
"76","49120",1,0,0,0
"77","49230",1,0,0,0
"78","49240",1,0,0,0
"79","49256",1,0,0,0
"80","49269",1,0,0,0
"81","49315",1,0,0,0
"82","49318",1,0,0,0
"83","49341",1,0,0,0
"84","49401",1,1,0,0
"85","49415",1,0,0,0
"86","49423",1,0,0,0
"87","49428",1,0,0,0
"88","49460",1,0,0,0
"89","49505",1,0,0,0
"90","49509",1,0,0,0
"91","49546",1,0,0,0
"92","49623",1,0,0,0
"93","49660",1,0,0,0
"94","49670",1,0,0,0
"95","49677",1,0,0,0
"96","49684",1,0,0,0
"97","49707",1,0,0,0
"98","49738",1,0,0,0
"99","49783",2,0,0,0
"100","49796",1,0,0,0
"101","49821",1,0,0,0
"102","49833",1,0,0,0
"103","49855",1,0,0,0
"104","49930",1,0,0,0
"105","49931",1,0,0,0
