"","Zipcodes","Inquiry","Applied","Accepted","Enrolled"
"1","27012",0,0,0,0
"2","27048",0,0,0,0
"3","27106",0,0,0,0
"4","27243",1,1,0,0
"5","27263",0,0,0,0
"6","27265",0,0,0,0
"7","27302",0,0,0,0
"8","27406",0,0,0,0
"9","27410",0,0,0,0
"10","27514",0,0,0,0
"11","27516",0,0,0,0
"12","27518",0,0,0,0
"13","27519",1,1,0,0
"14","27520",0,0,0,0
"15","27522",0,0,0,0
"16","27534",0,0,0,0
"17","27549",0,0,0,0
"18","27607",0,0,0,0
"19","27608",0,0,0,0
"20","27613",0,0,0,0
"21","27704",0,0,0,0
"22","27806",0,0,0,0
"23","27810",0,0,0,0
"24","27889",0,0,0,0
"25","27948",1,1,0,0
"26","28001",0,0,0,0
"27","28018",0,0,0,0
"28","28072",0,0,0,0
"29","28079",0,0,0,0
"30","28105",0,0,0,0
"31","28174",0,0,0,0
"32","28211",0,0,0,0
"33","28269",0,0,0,0
"34","28304",0,0,0,0
"35","28305",1,1,0,0
"36","28306",0,0,0,0
"37","28314",0,0,0,0
"38","28326",0,0,0,0
"39","28356",0,0,0,0
"40","28372",0,0,0,0
"41","28411",0,0,0,0
"42","28480",0,0,0,0
"43","28532",0,0,0,0
"44","28540",1,1,0,0
"45","28546",0,0,0,0
"46","28607",0,0,0,0
"47","28613",0,0,0,0
"48","28677",0,0,0,0
"49","28698",0,0,0,0
"50","28704",0,0,0,0
"51","28730",1,0,0,0
"52","28786",1,0,0,0
"53","28806",0,0,0,0
