"","Zipcodes","Inquiry","Applied","Accepted","Enrolled"
"1","89002",5,2,1,1
"2","89003",1,1,0,0
"3","89005",2,0,0,0
"4","89011",1,0,0,0
"5","89014",7,3,0,0
"6","89015",4,1,0,0
"7","89020",1,0,0,0
"8","89021",1,0,0,0
"9","89027",2,0,0,0
"10","89030",4,0,0,0
"11","89031",6,0,0,0
"12","89032",8,3,0,0
"13","89044",2,1,0,0
"14","89045",1,0,0,0
"15","89048",1,0,0,0
"16","89052",11,3,0,0
"17","89060",4,0,0,0
"18","89061",1,0,0,0
"19","89074",13,2,0,0
"20","89081",1,0,0,0
"21","89084",5,1,0,0
"22","89101",1,0,0,0
"23","89102",5,1,0,0
"24","89103",2,1,0,0
"25","89104",4,0,0,0
"26","89106",2,0,0,0
"27","89107",8,1,0,0
"28","89108",10,2,0,0
"29","89110",9,1,1,1
"30","89113",2,1,0,0
"31","89115",1,0,0,0
"32","89117",16,3,0,0
"33","89120",2,0,0,0
"34","89121",3,0,0,0
"35","89122",1,1,0,0
"36","89123",7,3,0,0
"37","89128",7,1,0,0
"38","89129",8,0,0,0
"39","89130",5,2,0,0
"40","89131",13,4,0,0
"41","89133",1,0,0,0
"42","89134",6,2,0,0
"43","89135",9,4,0,0
"44","89138",3,0,0,0
"45","89139",1,1,0,0
"46","89141",3,1,0,0
"47","89142",5,1,0,0
"48","89143",2,0,0,0
"49","89144",6,1,0,0
"50","89145",2,0,0,0
"51","89146",5,2,0,0
"52","89147",9,2,0,0
"53","89148",5,0,0,0
"54","89149",2,0,0,0
"55","89156",2,0,0,0
"56","89166",2,1,0,0
"57","89178",2,1,0,0
"58","89179",2,0,0,0
"59","89183",1,1,0,0
"60","89317",1,0,0,0
"61","89403",4,1,0,0
"62","89404",1,0,0,0
"63","89406",5,1,0,0
"64","89408",2,0,0,0
"65","89410",2,1,0,0
"66","89412",1,1,0,0
"67","89415",2,0,0,0
"68","89419",4,0,0,0
"69","89423",8,4,0,0
"70","89425",1,0,0,0
"71","89431",5,1,0,0
"72","89433",2,0,0,0
"73","89434",6,3,0,0
"74","89435",1,0,0,0
"75","89436",7,1,0,0
"76","89441",1,0,0,0
"77","89445",4,2,0,0
"78","89446",1,0,0,0
"79","89447",1,0,0,0
"80","89448",2,0,0,0
"81","89450",1,0,0,0
"82","89451",1,1,0,0
"83","89460",5,2,1,1
"84","89502",6,1,0,0
"85","89503",2,0,0,0
"86","89506",8,3,0,0
"87","89507",2,0,0,0
"88","89508",3,1,0,0
"89","89509",15,5,0,0
"90","89511",24,7,1,1
"91","89512",3,0,0,0
"92","89515",1,0,0,0
"93","89519",3,2,0,0
"94","89521",7,2,1,1
"95","89523",7,0,0,0
"96","89533",2,1,0,0
"97","89701",4,2,0,0
"98","89702",1,0,0,0
"99","89703",8,1,1,1
"100","89704",3,3,0,0
"101","89706",5,4,0,0
"102","89801",4,0,0,0
"103","89815",1,0,0,0
"104","89820",1,0,0,0
