"","Zipcodes","Inquiry","Applied","Accepted","Enrolled"
"1","10025",0,0,0,0
"2","10028",0,0,0,0
"3","10128",0,0,0,0
"4","10452",0,0,0,0
"5","10456",0,0,0,0
"6","10461",0,0,0,0
"7","10466",0,0,0,0
"8","10467",0,0,0,0
"9","10472",0,0,0,0
"10","10504",1,1,0,0
"11","10528",1,0,0,0
"12","10533",1,1,0,0
"13","10562",0,0,0,0
"14","10703",2,0,0,0
"15","10706",0,0,0,0
"16","10708",0,0,0,0
"17","10970",1,0,0,0
"18","10977",1,0,0,0
"19","10993",1,0,0,0
"20","11030",1,0,0,0
"21","11050",0,0,0,0
"22","11106",0,0,0,0
"23","11206",0,0,0,0
"24","11207",0,0,0,0
"25","11212",0,0,0,0
"26","11216",0,0,0,0
"27","11229",0,0,0,0
"28","11234",0,0,0,0
"29","11372",0,0,0,0
"30","11373",1,0,0,0
"31","11377",1,0,0,0
"32","11418",1,0,0,0
"33","11520",0,0,0,0
"34","11560",1,1,0,0
"35","11566",0,0,0,0
"36","11580",1,0,0,0
"37","11703",0,0,0,0
"38","11704",1,0,0,0
"39","11706",0,0,0,0
"40","11727",0,0,0,0
"41","11733",0,0,0,0
"42","11746",1,0,0,0
"43","11771",0,0,0,0
"44","11777",1,0,0,0
"45","11779",0,0,0,0
"46","11786",0,0,0,0
"47","11787",0,0,0,0
"48","11790",0,0,0,0
"49","11801",0,0,0,0
"50","11804",0,0,0,0
"51","11951",0,0,0,0
"52","11952",1,0,0,0
"53","12054",0,0,0,0
"54","12057",1,1,0,0
"55","12065",1,0,0,0
"56","12083",1,0,0,0
"57","12095",1,0,0,0
"58","12143",0,0,0,0
"59","12202",1,0,0,0
"60","12208",0,0,0,0
"61","12477",0,0,0,0
"62","12514",1,0,0,0
"63","12533",0,0,0,0
"64","12571",0,0,0,0
"65","12575",0,0,0,0
"66","12866",0,0,0,0
"67","13066",1,0,0,0
"68","13090",1,0,0,0
"69","13126",0,0,0,0
"70","13164",1,0,0,0
"71","13210",0,0,0,0
"72","13215",1,0,0,0
"73","13601",1,0,0,0
"74","13619",0,0,0,0
"75","13694",1,0,0,0
"76","13743",1,0,0,0
"77","14051",0,0,0,0
"78","14052",0,0,0,0
"79","14092",0,0,0,0
"80","14094",0,0,0,0
"81","14201",0,0,0,0
"82","14219",1,0,0,0
"83","14226",0,0,0,0
"84","14450",0,0,0,0
"85","14526",1,0,0,0
"86","14534",1,0,0,0
"87","14564",0,0,0,0
"88","14580",0,0,0,0
"89","14606",0,0,0,0
"90","14612",0,0,0,0
"91","14615",0,0,0,0
"92","14617",0,0,0,0
"93","14618",1,0,0,0
"94","14624",1,0,0,0
"95","14625",1,0,0,0
"96","14817",0,0,0,0
"97","14840",1,0,0,0
"98","14850",1,0,0,0
