"","Zipcodes","Inquiry","Applied","Accepted","Enrolled"
"1","97002",1,0,0,0
"2","97004",0,0,0,0
"3","97005",2,2,1,1
"4","97006",22,10,2,2
"5","97007",31,21,5,5
"6","97008",13,6,0,0
"7","97009",0,0,0,0
"8","97013",3,0,0,0
"9","97014",0,0,0,0
"10","97015",10,5,3,3
"11","97016",0,0,0,0
"12","97017",0,0,0,0
"13","97019",0,0,0,0
"14","97020",0,0,0,0
"15","97022",0,0,0,0
"16","97023",0,0,0,0
"17","97024",2,0,0,0
"18","97026",0,0,0,0
"19","97027",2,1,0,0
"20","97029",0,0,0,0
"21","97030",0,0,0,0
"22","97031",4,3,2,2
"23","97032",0,0,0,0
"24","97034",7,5,2,2
"25","97035",6,6,2,2
"26","97037",0,0,0,0
"27","97038",5,4,2,2
"28","97040",0,0,0,0
"29","97041",0,0,0,0
"30","97042",1,0,0,0
"31","97045",10,9,2,2
"32","97048",1,0,0,0
"33","97049",0,0,0,0
"34","97051",2,1,0,0
"35","97053",1,1,1,1
"36","97054",0,0,0,0
"37","97055",4,3,2,2
"38","97056",11,8,7,7
"39","97058",3,3,1,1
"40","97060",5,3,0,0
"41","97062",22,6,1,1
"42","97064",1,0,0,0
"43","97065",0,0,0,0
"44","97067",1,1,1,1
"45","97068",11,10,6,6
"46","97070",9,6,0,0
"47","97071",3,2,1,1
"48","97075",0,0,0,0
"49","97076",0,0,0,0
"50","97080",17,11,3,3
"51","97086",20,16,3,3
"52","97089",6,6,1,1
"53","97101",1,0,0,0
"54","97103",2,1,1,1
"55","97106",1,1,0,0
"56","97107",0,0,0,0
"57","97108",0,0,0,0
"58","97109",0,0,0,0
"59","97110",1,1,1,1
"60","97111",2,1,1,1
"61","97113",6,3,0,0
"62","97114",1,1,0,0
"63","97115",0,0,0,0
"64","97116",8,5,0,0
"65","97119",0,0,0,0
"66","97121",0,0,0,0
"67","97123",18,5,2,2
"68","97124",21,8,1,1
"69","97127",0,0,0,0
"70","97128",5,5,2,2
"71","97132",2,2,0,0
"72","97133",3,1,0,0
"73","97135",0,0,0,0
"74","97136",0,0,0,0
"75","97137",1,1,1,1
"76","97138",2,2,1,1
"77","97140",3,2,0,0
"78","97141",0,0,0,0
"79","97143",0,0,0,0
"80","97146",0,0,0,0
"81","97148",1,0,0,0
"82","97149",0,0,0,0
"83","97201",5,3,0,0
"84","97202",6,5,0,0
"85","97203",12,9,8,8
"86","97204",0,0,0,0
"87","97205",2,1,0,0
"88","97206",10,9,1,1
"89","97208",0,0,0,0
"90","97209",1,0,0,0
"91","97210",1,1,0,0
"92","97211",1,1,0,0
"93","97212",4,2,1,1
"94","97213",10,5,3,3
"95","97214",3,3,1,1
"96","97215",2,1,1,1
"97","97216",8,5,2,2
"98","97217",7,3,0,0
"99","97218",3,2,0,0
"100","97219",9,2,2,2
"101","97220",5,5,0,0
"102","97221",3,3,1,1
"103","97222",11,9,2,2
"104","97223",15,7,2,2
"105","97224",14,4,0,0
"106","97225",10,6,2,2
"107","97227",0,0,0,0
"108","97229",29,20,4,4
"109","97230",9,3,1,1
"110","97231",2,1,0,0
"111","97232",1,1,0,0
"112","97233",3,3,1,1
"113","97236",2,1,0,0
"114","97239",2,1,0,0
"115","97266",10,3,1,1
"116","97267",8,6,0,0
"117","97269",1,1,0,0
"118","97280",0,0,0,0
"119","97281",1,1,0,0
"120","97282",0,0,0,0
"121","97286",0,0,0,0
"122","97290",1,0,0,0
"123","97292",0,0,0,0
"124","97293",0,0,0,0
"125","97294",1,1,0,0
"126","97298",0,0,0,0
"127","97301",2,2,0,0
"128","97302",6,4,2,2
"129","97303",9,4,1,1
"130","97304",2,1,1,1
"131","97305",10,6,3,3
"132","97306",4,4,1,1
"133","97308",0,0,0,0
"134","97309",0,0,0,0
"135","97317",4,3,2,2
"136","97321",4,2,0,0
"137","97322",1,0,0,0
"138","97325",1,0,0,0
"139","97326",0,0,0,0
"140","97327",0,0,0,0
"141","97330",10,5,2,2
"142","97331",0,0,0,0
"143","97333",2,0,0,0
"144","97336",0,0,0,0
"145","97338",0,0,0,0
"146","97339",0,0,0,0
"147","97343",0,0,0,0
"148","97347",0,0,0,0
"149","97348",0,0,0,0
"150","97351",0,0,0,0
"151","97352",0,0,0,0
"152","97355",3,1,0,0
"153","97358",0,0,0,0
"154","97360",0,0,0,0
"155","97361",1,1,0,0
"156","97362",1,0,0,0
"157","97364",0,0,0,0
"158","97365",2,1,0,0
"159","97366",1,1,0,0
"160","97367",0,0,0,0
"161","97368",0,0,0,0
"162","97370",5,5,1,1
"163","97371",0,0,0,0
"164","97374",0,0,0,0
"165","97375",0,0,0,0
"166","97376",0,0,0,0
"167","97378",0,0,0,0
"168","97380",0,0,0,0
