"","Zipcodes","Inquiry","Applied","Accepted","Enrolled"
"1","37013",0,0,0,0
"2","37027",0,0,0,0
"3","37040",0,0,0,0
"4","37042",0,0,0,0
"5","37066",0,0,0,0
"6","37073",0,0,0,0
"7","37130",0,0,0,0
"8","37138",1,0,0,0
"9","37167",1,0,0,0
"10","37189",0,0,0,0
"11","37202",0,0,0,0
"12","37205",0,0,0,0
"13","37212",0,0,0,0
"14","37215",0,0,0,0
"15","37218",0,0,0,0
"16","37312",0,0,0,0
"17","37371",0,0,0,0
"18","37398",0,0,0,0
"19","37421",1,1,0,0
"20","37620",0,0,0,0
"21","37659",1,1,0,0
"22","37772",0,0,0,0
"23","38002",0,0,0,0
"24","38017",0,0,0,0
"25","38105",0,0,0,0
"26","38108",0,0,0,0
"27","38109",0,0,0,0
"28","38114",0,0,0,0
"29","38117",1,1,1,1
"30","38119",0,0,0,0
"31","38128",0,0,0,0
"32","38134",0,0,0,0
"33","38135",0,0,0,0
"34","38183",0,0,0,0
"35","38358",0,0,0,0
"36","38391",0,0,0,0
"37","38449",0,0,0,0
"38","38506",0,0,0,0
