"","Zipcodes","InquiryMale","InquiryFemale","InquiryTotal","InquiryMalePercentage","InquiryFemalePercentage","AppliedMale","AppliedFemale","AppliedTotal","AppliedMalePercentage","AppliedFemalePercentage","AcceptedMale","AcceptedFemale","AcceptedTotal","AcceptedMalePercentage","AcceptedFemalePercentage","EnrolledMale","EnrolledFemale","EnrolledTotal","EnrolledMalePercentage","EnrolledFemalePercentage"
"1","92882",3,5,8,0.375,0.625,1,1,2,0.5,0.5,0,0,0,NA,NA,0,0,0,NA,NA
"2","93021",5,13,18,0.277777777777778,0.722222222222222,2,3,5,0.6,0.4,0,0,0,NA,NA,0,0,0,NA,NA
"3","98001",19,36,55,0.345454545454545,0.654545454545455,5,14,19,0.736842105263158,0.263157894736842,0,0,0,NA,NA,0,0,0,NA,NA
"4","98002",4,5,9,0.444444444444444,0.555555555555556,0,1,1,1,0,0,0,0,NA,NA,0,0,0,NA,NA
"5","98003",21,28,49,0.428571428571429,0.571428571428571,7,9,16,0.5625,0.4375,2,0,2,1,0,2,2,4,0.5,0.5
"6","98004",26,22,48,0.541666666666667,0.458333333333333,12,7,19,0.368421052631579,0.631578947368421,0,1,1,0,1,0,0,0,NA,NA
"7","98005",8,17,25,0.32,0.68,3,7,10,0.7,0.3,0,0,0,NA,NA,0,0,0,NA,NA
"8","98006",46,64,110,0.418181818181818,0.581818181818182,18,15,33,0.454545454545455,0.545454545454545,3,1,4,0.75,0.25,3,3,6,0.5,0.5
"9","98007",11,7,18,0.611111111111111,0.388888888888889,4,1,5,0.2,0.8,0,0,0,NA,NA,0,0,0,NA,NA
"10","98008",15,24,39,0.384615384615385,0.615384615384615,5,5,10,0.5,0.5,1,0,1,1,0,1,1,2,0.5,0.5
"11","98009",0,1,1,0,1,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA
"12","98010",5,4,9,0.555555555555556,0.444444444444444,2,0,2,0,1,0,0,0,NA,NA,0,0,0,NA,NA
"13","98011",17,18,35,0.485714285714286,0.514285714285714,5,10,15,0.666666666666667,0.333333333333333,0,2,2,0,1,0,0,0,NA,NA
"14","98012",25,38,63,0.396825396825397,0.603174603174603,16,13,29,0.448275862068966,0.551724137931034,1,1,2,0.5,0.5,1,1,2,0.5,0.5
"15","98014",6,4,10,0.6,0.4,2,1,3,0.333333333333333,0.666666666666667,0,0,0,NA,NA,0,0,0,NA,NA
"16","98015",1,0,1,1,0,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA
"17","98019",6,7,13,0.461538461538462,0.538461538461538,1,1,2,0.5,0.5,1,0,1,1,0,1,1,2,0.5,0.5
"18","98020",11,19,30,0.366666666666667,0.633333333333333,5,3,8,0.375,0.625,0,1,1,0,1,0,0,0,NA,NA
