"","Zipcodes","Inquiry","Applied","Accepted","Enrolled"
"1","92882",0,0,0,0
"2","93021",0,0,0,0
"3","98001",8,7,0,0
"4","98002",1,1,0,0
"5","98003",8,8,2,2
"6","98004",8,8,0,0
"7","98005",1,1,0,0
"8","98006",15,14,3,3
"9","98007",2,1,0,0
"10","98008",7,6,1,1
"11","98009",0,0,0,0
"12","98010",3,2,0,0
"13","98011",6,5,0,0
"14","98012",10,10,2,2
"15","98014",0,0,0,0
"16","98015",0,0,0,0
"17","98019",0,0,0,0
"18","98020",2,2,0,0
"19","98021",8,8,2,2
"20","98022",2,2,0,0
"21","98023",8,8,2,2
"22","98024",2,2,0,0
"23","98025",0,0,0,0
"24","98026",5,5,0,0
"25","98027",5,3,2,2
"26","98028",7,7,0,0
"27","98029",8,8,1,1
"28","98030",4,2,0,0
"29","98031",9,8,1,1
"30","98032",4,4,1,1
"31","98033",5,5,1,1
"32","98034",5,5,1,1
"33","98035",0,0,0,0
"34","98036",5,4,0,0
"35","98037",6,6,0,0
"36","98038",5,5,0,0
"37","98039",1,1,0,0
"38","98040",13,12,0,0
"39","98041",0,0,0,0
"40","98042",6,6,0,0
"41","98043",1,1,0,0
"42","98045",1,1,0,0
"43","98046",0,0,0,0
"44","98047",1,1,0,0
"45","98050",0,0,0,0
"46","98051",1,0,0,0
"47","98052",13,12,1,1
"48","98053",3,3,0,0
"49","98055",1,1,0,0
"50","98056",4,3,0,0
"51","98057",0,0,0,0
"52","98058",7,4,1,1
"53","98059",7,6,0,0
"54","98062",0,0,0,0
"55","98064",0,0,0,0
"56","98065",1,1,0,0
"57","98070",0,0,0,0
"58","98071",0,0,0,0
"59","98072",12,12,2,2
"60","98073",0,0,0,0
"61","98074",9,8,0,0
"62","98075",9,9,0,0
"63","98077",10,10,0,0
"64","98082",1,1,0,0
"65","98083",1,1,0,0
"66","98087",2,2,0,0
"67","98092",3,3,0,0
"68","98093",1,1,0,0
"69","98101",0,0,0,0
"70","98102",2,2,0,0
"71","98103",3,2,1,1
"72","98104",0,0,0,0
"73","98105",4,4,1,1
"74","98106",0,0,0,0
"75","98107",4,4,0,0
"76","98108",2,2,1,1
"77","98109",3,3,0,0
"78","98110",11,9,1,1
"79","98112",6,6,0,0
"80","98114",0,0,0,0
"81","98115",19,16,0,0
"82","98116",4,4,0,0
"83","98117",6,5,1,1
"84","98118",2,2,0,0
"85","98119",2,2,0,0
"86","98121",1,0,0,0
"87","98122",3,3,0,0
"88","98124",0,0,0,0
"89","98125",5,4,0,0
"90","98126",3,2,1,1
"91","98127",0,0,0,0
"92","98133",3,3,1,1
"93","98136",5,5,2,2
"94","98144",3,3,0,0
"95","98145",0,0,0,0
"96","98146",2,2,0,0
"97","98148",1,1,0,0
"98","98155",2,2,0,0
"99","98166",9,9,1,1
"100","98168",0,0,0,0
"101","98175",0,0,0,0
"102","98177",5,3,2,2
"103","98178",3,3,0,0
"104","98188",2,2,1,1
"105","98198",3,3,0,0
"106","98199",6,6,2,2
"107","98201",4,3,1,1
"108","98203",2,2,0,0
"109","98204",1,1,0,0
"110","98205",2,1,0,0
"111","98206",0,0,0,0
"112","98208",5,5,2,2
"113","98213",0,0,0,0
"114","98221",3,3,0,0
"115","98223",3,3,1,1
"116","98225",1,1,0,0
"117","98226",1,1,1,1
"118","98229",9,7,2,2
"119","98230",0,0,0,0
"120","98231",0,0,0,0
"121","98232",0,0,0,0
"122","98233",2,2,0,0
"123","98236",1,1,0,0
"124","98237",0,0,0,0
"125","98239",0,0,0,0
"126","98243",0,0,0,0
"127","98244",1,0,0,0
"128","98245",1,1,0,0
"129","98247",1,1,0,0
"130","98248",0,0,0,0
"131","98249",1,1,0,0
"132","98250",0,0,0,0
"133","98251",1,0,0,0
"134","98252",0,0,0,0
"135","98253",0,0,0,0
"136","98257",0,0,0,0
"137","98258",2,2,0,0
"138","98260",1,0,0,0
"139","98261",0,0,0,0
"140","98262",0,0,0,0
"141","98263",0,0,0,0
"142","98264",1,1,0,0
"143","98267",0,0,0,0
"144","98270",2,2,0,0
"145","98271",0,0,0,0
"146","98272",2,2,0,0
"147","98273",0,0,0,0
"148","98274",2,1,0,1
"149","98275",4,4,0,0
"150","98276",0,0,0,0
"151","98277",0,0,0,0
"152","98278",0,0,0,0
"153","98279",0,0,0,0
"154","98282",2,2,0,0
"155","98284",0,0,0,0
"156","98287",0,0,0,0
"157","98290",7,7,1,1
"158","98291",0,0,0,0
"159","98292",1,1,0,0
"160","98294",1,1,0,0
"161","98296",4,3,0,0
"162","98310",3,2,0,0
"163","98311",9,7,1,1
"164","98312",5,4,0,0
"165","98315",0,0,0,0
"166","98320",0,0,0,0
"167","98321",0,0,0,0
"168","98322",0,0,0,0
"169","98325",0,0,0,0
"170","98327",1,1,0,0
"171","98328",1,1,0,0
"172","98329",0,0,0,0
"173","98330",0,0,0,0
"174","98331",0,0,0,0
"175","98332",4,4,1,1
"176","98333",1,1,0,0
"177","98335",10,7,0,0
"178","98336",0,0,0,0
"179","98337",0,0,0,0
"180","98338",1,0,0,0
"181","98340",0,0,0,0
"182","98342",0,0,0,0
"183","98346",0,0,0,0
"184","98349",0,0,0,0
"185","98353",0,0,0,0
"186","98354",4,4,0,0
"187","98356",0,0,0,0
"188","98357",0,0,0,0
"189","98359",0,0,0,0
"190","98360",0,0,0,0
"191","98361",0,0,0,0
"192","98362",1,1,0,0
"193","98363",0,0,0,0
"194","98364",0,0,0,0
"195","98365",1,1,0,0
"196","98366",0,0,0,0
"197","98367",2,2,0,0
"198","98368",4,4,0,0
"199","98370",6,6,0,0
"200","98371",1,1,0,0
"201","98372",7,7,1,1
"202","98373",3,2,0,0
"203","98374",7,5,0,0
"204","98375",1,1,0,0
"205","98376",0,0,0,0
"206","98377",0,0,0,0
"207","98380",1,1,0,0
"208","98382",4,4,0,0
"209","98383",4,3,0,0
"210","98385",0,0,0,0
"211","98387",3,2,0,0
"212","98388",1,1,0,0
"213","98390",2,2,0,0
"214","98391",6,6,3,3
"215","98392",0,0,0,0
"216","98394",0,0,0,0
"217","98395",0,0,0,0
"218","98396",0,0,0,0
"219","98402",0,0,0,0
"220","98403",2,2,0,0
"221","98404",3,2,1,1
"222","98405",1,1,0,0
"223","98406",4,4,0,0
"224","98407",4,4,0,0
"225","98408",1,1,0,0
"226","98409",0,0,0,0
"227","98412",0,0,0,0
"228","98417",0,0,0,0
"229","98418",0,0,0,0
"230","98422",3,2,0,0
"231","98424",2,1,0,0
"232","98433",0,0,0,0
"233","98439",0,0,0,0
"234","98443",0,0,0,0
"235","98444",0,0,0,0
"236","98445",0,0,0,0
"237","98446",0,0,0,0
"238","98464",1,1,0,0
"239","98465",0,0,0,0
"240","98466",3,3,0,0
"241","98467",1,1,0,0
"242","98496",0,0,0,0
"243","98498",2,1,0,0
"244","98499",2,2,0,0
"245","98501",14,14,2,2
"246","98502",7,7,1,1
"247","98503",2,2,0,0
"248","98506",2,2,0,0
"249","98507",0,0,0,0
"250","98508",0,0,0,0
"251","98509",0,0,0,0
"252","98512",11,8,1,1
"253","98513",3,2,0,0
"254","98516",3,3,0,0
"255","98520",1,1,0,0
"256","98522",0,0,0,0
"257","98524",0,0,0,0
"258","98527",0,0,0,0
"259","98528",0,0,0,0
"260","98531",1,1,0,0
"261","98532",0,0,0,0
"262","98533",0,0,0,0
"263","98537",0,0,0,0
"264","98540",0,0,0,0
"265","98541",1,1,0,0
"266","98546",0,0,0,0
"267","98550",0,0,0,0
"268","98552",0,0,0,0
"269","98554",0,0,0,0
"270","98557",2,2,0,0
"271","98558",0,0,0,0
"272","98563",0,0,0,0
"273","98564",0,0,0,0
"274","98565",0,0,0,0
"275","98568",0,0,0,0
"276","98569",0,0,0,0
"277","98570",0,0,0,0
"278","98576",0,0,0,0
"279","98577",0,0,0,0
"280","98579",1,1,0,0
"281","98580",0,0,0,0
"282","98584",1,0,0,0
"283","98586",0,0,0,0
"284","98587",0,0,0,0
"285","98588",1,1,0,0
"286","98589",2,2,0,0
"287","98591",0,0,0,0
"288","98593",0,0,0,0
"289","98595",0,0,0,0
"290","98596",1,0,0,0
"291","98597",3,3,1,1
"292","98602",0,0,0,0
"293","98603",0,0,0,0
"294","98604",4,2,0,0
"295","98605",0,0,0,0
"296","98606",4,2,0,0
"297","98607",9,8,6,6
"298","98610",0,0,0,0
"299","98611",0,0,0,0
"300","98612",0,0,0,0
"301","98617",0,0,0,0
"302","98619",0,0,0,0
"303","98620",0,0,0,0
"304","98622",0,0,0,0
"305","98624",0,0,0,0
"306","98625",1,1,0,0
"307","98626",1,0,0,0
"308","98629",0,0,0,0
"309","98631",1,0,0,0
"310","98632",4,3,0,0
"311","98635",0,0,0,0
"312","98642",2,1,0,0
"313","98645",0,0,0,0
"314","98647",0,0,0,0
"315","98648",1,1,0,0
"316","98649",0,0,0,0
"317","98650",0,0,0,0
"318","98651",0,0,0,0
"319","98660",1,0,0,0
"320","98661",1,1,0,0
"321","98662",6,4,2,2
"322","98663",3,3,0,0
"323","98664",3,3,1,1
"324","98665",0,0,0,0
"325","98668",0,0,0,0
"326","98671",2,2,0,0
"327","98672",2,2,1,1
"328","98673",0,0,0,0
"329","98674",2,1,0,0
"330","98675",0,0,0,0
"331","98682",9,7,1,1
"332","98683",11,9,0,0
"333","98684",3,3,0,0
"334","98685",6,5,0,0
"335","98686",4,4,0,0
"336","98687",0,0,0,0
"337","98801",3,3,1,1
"338","98802",0,0,0,0
"339","98812",0,0,0,0
"340","98813",0,0,0,0
"341","98815",0,0,0,0
"342","98816",0,0,0,0
"343","98821",0,0,0,0
"344","98822",0,0,0,0
"345","98823",0,0,0,0
"346","98826",1,1,0,0
"347","98828",1,1,0,0
"348","98831",0,0,0,0
"349","98833",0,0,0,0
"350","98836",0,0,0,0
"351","98837",1,1,1,1
"352","98841",0,0,0,0
"353","98844",0,0,0,0
"354","98846",0,0,0,0
"355","98847",0,0,0,0
"356","98848",0,0,0,0
"357","98855",0,0,0,0
"358","98858",0,0,0,0
"359","98862",1,1,0,0
"360","98901",1,1,0,0
"361","98902",2,0,0,0
"362","98903",0,0,0,0
"363","98907",0,0,0,0
"364","98908",3,3,1,1
"365","98909",0,0,0,0
"366","98921",0,0,0,0
"367","98922",0,0,0,0
"368","98923",0,0,0,0
"369","98926",3,3,0,0
"370","98930",0,0,0,0
"371","98932",0,0,0,0
"372","98933",0,0,0,0
"373","98934",0,0,0,0
"374","98935",0,0,0,0
"375","98936",0,0,0,0
"376","98937",0,0,0,0
"377","98938",0,0,0,0
"378","98940",0,0,0,0
"379","98942",1,1,1,1
"380","98943",0,0,0,0
"381","98944",0,0,0,0
"382","98947",0,0,0,0
"383","98948",0,0,0,0
"384","98951",0,0,0,0
"385","98952",0,0,0,0
"386","98953",1,0,0,0
"387","99001",0,0,0,0
"388","99003",0,0,0,0
"389","99004",1,1,0,0
"390","99005",3,3,0,0
"391","99006",0,0,0,0
"392","99009",0,0,0,0
"393","99012",0,0,0,0
"394","99016",3,2,1,1
"395","99018",0,0,0,0
"396","99019",1,1,1,1
"397","99021",3,3,0,0
"398","99022",0,0,0,0
"399","99025",0,0,0,0
"400","99026",1,1,0,0
"401","99027",1,1,1,1
"402","99030",0,0,0,0
"403","99031",1,1,0,0
"404","99036",1,1,0,0
"405","99037",2,1,1,1
"406","99103",0,0,0,0
"407","99109",1,0,0,0
"408","99111",0,0,0,0
