"","Zipcodes","Inquiry","Applied","Accepted","Enrolled"
"1","60002",0,0,0,0
"2","60008",0,0,0,0
"3","60010",0,0,0,0
"4","60012",0,0,0,0
"5","60014",0,0,0,0
"6","60015",0,0,0,0
"7","60018",0,0,0,0
"8","60025",1,1,0,0
"9","60030",0,0,0,0
"10","60031",0,0,0,0
"11","60035",0,0,0,0
"12","60044",0,0,0,0
"13","60045",1,1,0,0
"14","60046",1,1,1,0
"15","60047",0,0,0,0
"16","60048",0,0,0,0
"17","60053",0,0,0,0
"18","60056",0,0,0,0
"19","60061",0,0,0,0
"20","60067",0,0,0,0
"21","60073",0,0,0,0
"22","60076",1,0,0,0
"23","60077",0,0,0,0
"24","60081",0,0,0,0
"25","60085",0,0,0,0
"26","60087",0,0,0,0
"27","60088",0,0,0,0
"28","60089",1,0,0,0
"29","60091",0,0,0,0
"30","60093",0,0,0,0
"31","60097",0,0,0,0
"32","60098",0,0,0,0
"33","60099",0,0,0,0
"34","60101",0,0,0,0
"35","60103",0,0,0,0
"36","60107",0,0,0,0
"37","60108",0,0,0,0
"38","60119",1,0,0,0
"39","60120",0,0,0,0
"40","60123",0,0,0,0
"41","60124",0,0,0,0
"42","60126",0,0,0,0
"43","60131",0,0,0,0
"44","60133",0,0,0,0
"45","60134",1,0,0,0
"46","60137",1,1,0,0
"47","60142",0,0,0,0
"48","60153",0,0,0,0
"49","60160",0,0,0,0
"50","60169",0,0,0,0
"51","60174",0,0,0,0
"52","60178",0,0,0,0
"53","60187",0,0,0,0
"54","60192",0,0,0,0
"55","60201",0,0,0,0
"56","60202",0,0,0,0
"57","60302",0,0,0,0
"58","60305",0,0,0,0
"59","60417",0,0,0,0
"60","60422",0,0,0,0
"61","60426",0,0,0,0
"62","60429",0,0,0,0
"63","60432",0,0,0,0
"64","60433",0,0,0,0
"65","60439",0,0,0,0
"66","60440",0,0,0,0
"67","60442",0,0,0,0
"68","60446",0,0,0,0
"69","60448",0,0,0,0
"70","60453",0,0,0,0
"71","60456",0,0,0,0
"72","60462",0,0,0,0
"73","60463",0,0,0,0
"74","60466",0,0,0,0
"75","60478",0,0,0,0
"76","60481",0,0,0,0
"77","60490",0,0,0,0
"78","60491",0,0,0,0
"79","60502",0,0,0,0
"80","60503",0,0,0,0
"81","60513",0,0,0,0
"82","60514",0,0,0,0
"83","60515",0,0,0,0
"84","60516",0,0,0,0
"85","60521",0,0,0,0
"86","60523",0,0,0,0
"87","60525",0,0,0,0
"88","60527",0,0,0,0
"89","60540",0,0,0,0
"90","60546",1,1,1,0
"91","60558",0,0,0,0
"92","60560",0,0,0,0
"93","60563",0,0,0,0
"94","60564",0,0,0,0
"95","60565",0,0,0,0
"96","60586",0,0,0,0
"97","60602",0,0,0,0
"98","60603",0,0,0,0
"99","60608",0,0,0,0
"100","60609",0,0,0,0
"101","60611",0,0,0,0
"102","60612",0,0,0,0
"103","60613",0,0,0,0
"104","60614",0,0,0,0
"105","60615",0,0,0,0
"106","60617",0,0,0,0
"107","60618",0,0,0,0
"108","60620",1,1,0,0
"109","60623",0,0,0,0
"110","60625",1,1,0,0
"111","60626",0,0,0,0
"112","60628",0,0,0,0
"113","60629",0,0,0,0
"114","60630",0,0,0,0
"115","60631",0,0,0,0
"116","60632",0,0,0,0
"117","60633",0,0,0,0
"118","60634",0,0,0,0
"119","60636",0,0,0,0
"120","60637",0,0,0,0
"121","60639",0,0,0,0
"122","60640",0,0,0,0
"123","60641",0,0,0,0
"124","60643",0,0,0,0
"125","60646",0,0,0,0
"126","60649",0,0,0,0
"127","60651",0,0,0,0
"128","60652",0,0,0,0
"129","60655",0,0,0,0
"130","60707",0,0,0,0
"131","60712",0,0,0,0
"132","60714",0,0,0,0
"133","60804",0,0,0,0
"134","60827",0,0,0,0
"135","60914",0,0,0,0
"136","60915",0,0,0,0
"137","60950",0,0,0,0
"138","61010",0,0,0,0
"139","61011",0,0,0,0
"140","61021",0,0,0,0
"141","61032",0,0,0,0
"142","61063",0,0,0,0
"143","61068",1,0,0,0
"144","61072",0,0,0,0
"145","61073",1,0,0,0
"146","61107",0,0,0,0
"147","61109",0,0,0,0
"148","61115",0,0,0,0
"149","61201",0,0,0,0
"150","61265",0,0,0,0
"151","61377",0,0,0,0
"152","61523",0,0,0,0
"153","61525",0,0,0,0
"154","61554",0,0,0,0
"155","61611",0,0,0,0
"156","61625",0,0,0,0
"157","61701",0,0,0,0
"158","61704",1,1,0,0
"159","61761",0,0,0,0
"160","61801",0,0,0,0
"161","61821",0,0,0,0
"162","61822",1,1,0,0
"163","61832",0,0,0,0
"164","61873",0,0,0,0
"165","61874",0,0,0,0
"166","61920",0,0,0,0
"167","62002",0,0,0,0
"168","62024",0,0,0,0
"169","62040",0,0,0,0
"170","62220",0,0,0,0
"171","62221",0,0,0,0
"172","62234",0,0,0,0
"173","62263",1,0,0,0
"174","62298",0,0,0,0
"175","62301",0,0,0,0
"176","62450",0,0,0,0
"177","62471",1,0,0,0
"178","62522",0,0,0,0
"179","62526",0,0,0,0
"180","62568",1,0,0,0
"181","62613",0,0,0,0
"182","62618",0,0,0,0
"183","62650",0,0,0,0
"184","62667",0,0,0,0
"185","62690",0,0,0,0
"186","62702",0,0,0,0
"187","62703",1,0,0,0
"188","62704",0,0,0,0
"189","62801",0,0,0,0
"190","62864",0,0,0,0
"191","62883",0,0,0,0
"192","62943",0,0,0,0
"193","62958",0,0,0,0
"194","62960",0,0,0,0
