"","Zipcodes","Inquiry","Applied","Accepted","Enrolled"
"1","40004",0,0,0,0
"2","40014",0,0,0,0
"3","40031",1,0,0,0
"4","40047",0,0,0,0
"5","40121",1,1,0,0
"6","40160",0,0,0,0
"7","40162",0,0,0,0
"8","40165",0,0,0,0
"9","40204",0,0,0,0
"10","40205",1,0,0,0
"11","40207",0,0,0,0
"12","40208",1,0,0,0
"13","40213",0,0,0,0
"14","40214",0,0,0,0
"15","40218",0,0,0,0
"16","40229",0,0,0,0
"17","40241",0,0,0,0
"18","40245",0,0,0,0
"19","40258",0,0,0,0
"20","40291",0,0,0,0
"21","40299",0,0,0,0
"22","40342",0,0,0,0
"23","40409",0,0,0,0
"24","40468",0,0,0,0
"25","40475",0,0,0,0
"26","40502",0,0,0,0
"27","40503",0,0,0,0
"28","40507",0,0,0,0
"29","40508",0,0,0,0
"30","40511",0,0,0,0
"31","40513",0,0,0,0
"32","40515",0,0,0,0
"33","40517",0,0,0,0
"34","40729",0,0,0,0
"35","41001",0,0,0,0
"36","41015",0,0,0,0
"37","41016",0,0,0,0
"38","41017",0,0,0,0
"39","41018",0,0,0,0
"40","41042",0,0,0,0
"41","41051",1,0,0,0
"42","41091",0,0,0,0
"43","41139",0,0,0,0
"44","41360",0,0,0,0
"45","41660",0,0,0,0
"46","42029",0,0,0,0
"47","42103",1,0,0,0
"48","42104",0,0,0,0
"49","42210",0,0,0,0
"50","42301",0,0,0,0
"51","42503",0,0,0,0
"52","42701",0,0,0,0
