"","Zipcodes","Inquiry","Applied","Accepted","Enrolled"
"1","68007",1,0,0,0
"2","68025",2,1,0,0
"3","68034",1,0,0,0
"4","68046",4,1,0,0
"5","68064",1,0,0,0
"6","68104",2,0,0,0
"7","68105",1,0,0,0
"8","68106",1,1,1,0
"9","68107",3,0,0,0
"10","68114",7,1,0,0
"11","68116",1,0,0,0
"12","68117",2,0,0,0
"13","68118",1,0,0,0
"14","68122",1,0,0,0
"15","68123",2,0,0,0
"16","68124",7,3,0,0
"17","68127",4,0,0,0
"18","68128",3,0,0,0
"19","68130",1,0,0,0
"20","68131",2,0,0,0
"21","68132",11,4,2,0
"22","68134",3,1,1,0
"23","68135",2,0,0,0
"24","68137",2,0,0,0
"25","68138",1,0,0,0
"26","68144",4,2,0,0
"27","68152",1,1,0,0
"28","68154",3,3,0,0
"29","68157",1,0,0,0
"30","68164",1,0,0,0
"31","68347",1,0,0,0
"32","68349",1,0,0,0
"33","68410",1,0,0,0
"34","68461",1,0,0,0
"35","68467",1,0,0,0
"36","68506",1,0,0,0
"37","68510",1,1,0,0
"38","68512",1,0,0,0
"39","68516",1,0,0,0
"40","68522",1,0,0,0
"41","68528",2,0,0,0
"42","68788",1,0,0,0
"43","68803",1,0,0,0
"44","69201",1,0,0,0
