"","Zipcodes","Inquiry","Applied","Accepted","Enrolled"
"1","87001",0,0,0,0
"2","87002",0,0,0,0
"3","87004",0,0,0,0
"4","87015",0,0,0,0
"5","87020",0,0,0,0
"6","87022",0,0,0,0
"7","87025",0,0,0,0
"8","87026",0,0,0,0
"9","87031",0,0,0,0
"10","87034",0,0,0,0
"11","87035",0,0,0,0
"12","87038",0,0,0,0
"13","87041",0,0,0,0
"14","87043",0,0,0,0
"15","87048",1,1,1,0
"16","87052",0,0,0,0
"17","87059",0,0,0,0
"18","87060",0,0,0,0
"19","87068",0,0,0,0
"20","87102",0,0,0,0
"21","87104",1,1,0,0
"22","87105",1,1,0,0
"23","87106",1,1,0,0
"24","87107",0,0,0,0
"25","87108",0,0,0,0
"26","87109",1,1,0,0
"27","87110",1,1,0,0
"28","87111",4,3,1,0
"29","87112",0,0,0,0
"30","87113",1,1,0,0
"31","87114",1,0,0,0
"32","87120",2,1,0,0
"33","87121",0,0,0,0
"34","87122",3,0,0,0
"35","87123",2,1,0,0
"36","87124",1,1,1,0
"37","87144",0,0,0,0
"38","87174",0,0,0,0
"39","87191",0,0,0,0
"40","87199",0,0,0,0
"41","87301",0,0,0,0
"42","87305",0,0,0,0
"43","87313",0,0,0,0
"44","87317",0,0,0,0
"45","87319",0,0,0,0
"46","87321",0,0,0,0
"47","87375",0,0,0,0
"48","87401",0,0,0,0
"49","87402",0,0,0,0
"50","87410",0,0,0,0
"51","87412",0,0,0,0
"52","87413",0,0,0,0
"53","87417",0,0,0,0
"54","87501",1,1,1,0
"55","87502",0,0,0,0
"56","87505",2,2,1,0
"57","87506",0,0,0,0
"58","87507",0,0,0,0
"59","87508",0,0,0,0
"60","87511",0,0,0,0
"61","87528",0,0,0,0
"62","87529",0,0,0,0
"63","87532",0,0,0,0
"64","87535",0,0,0,0
"65","87544",2,2,0,0
"66","87552",0,0,0,0
"67","87556",0,0,0,0
"68","87557",0,0,0,0
"69","87560",0,0,0,0
"70","87571",1,1,0,0
"71","87701",0,0,0,0
"72","87710",0,0,0,0
"73","87714",0,0,0,0
"74","87722",0,0,0,0
"75","87731",0,0,0,0
"76","87740",0,0,0,0
"77","87830",0,0,0,0
"78","88001",0,0,0,0
"79","88005",0,0,0,0
"80","88007",0,0,0,0
"81","88008",0,0,0,0
"82","88011",0,0,0,0
"83","88012",0,0,0,0
"84","88013",0,0,0,0
"85","88021",0,0,0,0
"86","88029",0,0,0,0
"87","88030",0,0,0,0
"88","88031",0,0,0,0
"89","88044",0,0,0,0
"90","88046",0,0,0,0
"91","88047",0,0,0,0
"92","88048",0,0,0,0
"93","88061",0,0,0,0
"94","88063",0,0,0,0
"95","88072",0,0,0,0
"96","88081",0,0,0,0
"97","88101",0,0,0,0
"98","88116",0,0,0,0
"99","88119",0,0,0,0
"100","88121",0,0,0,0
"101","88130",0,0,0,0
"102","88201",0,0,0,0
"103","88202",1,1,1,0
"104","88203",1,1,0,0
"105","88220",0,0,0,0
"106","88240",0,0,0,0
"107","88253",0,0,0,0
"108","88260",0,0,0,0
"109","88265",0,0,0,0
"110","88310",0,0,0,0
"111","88340",0,0,0,0
"112","88345",0,0,0,0
