"","Zipcodes","Inquiry","Applied","Accepted","Enrolled"
"1","97002",2,0,0,0
"2","97004",0,0,0,0
"3","97005",9,5,0,0
"4","97006",10,3,2,0
"5","97007",43,12,2,2
"6","97008",8,2,1,1
"7","97009",2,1,0,0
"8","97011",0,0,0,0
"9","97013",4,3,3,1
"10","97014",0,0,0,0
"11","97015",6,4,1,0
"12","97016",1,1,1,1
"13","97017",0,0,0,0
"14","97019",1,1,0,0
"15","97020",0,0,0,0
"16","97021",0,0,0,0
"17","97022",0,0,0,0
"18","97023",3,3,1,1
"19","97024",1,0,0,0
"20","97026",1,1,0,0
"21","97027",2,2,0,0
"22","97030",6,4,1,0
"23","97031",4,4,2,1
"24","97032",1,1,0,0
"25","97034",3,2,1,1
"26","97035",5,3,2,0
"27","97038",5,3,1,1
"28","97041",3,3,1,1
"29","97042",1,0,0,0
"30","97044",0,0,0,0
"31","97045",10,6,4,3
"32","97048",1,1,0,0
"33","97049",0,0,0,0
"34","97051",8,5,1,1
"35","97053",2,0,0,0
"36","97055",2,1,0,0
"37","97056",1,0,0,0
"38","97058",0,0,0,0
"39","97060",7,4,2,2
"40","97062",8,3,1,1
"41","97064",0,0,0,0
"42","97065",0,0,0,0
"43","97067",1,1,0,0
"44","97068",5,3,1,0
"45","97070",4,1,1,0
"46","97071",9,4,1,1
"47","97075",0,0,0,0
"48","97076",0,0,0,0
"49","97080",7,3,1,1
"50","97086",8,5,3,2
"51","97089",3,2,1,1
"52","97101",0,0,0,0
"53","97103",4,1,1,0
"54","97106",3,3,1,0
"55","97110",0,0,0,0
"56","97111",0,0,0,0
"57","97112",1,1,0,0
"58","97113",7,4,3,3
"59","97114",1,1,0,0
"60","97115",0,0,0,0
"61","97116",12,3,2,1
"62","97119",0,0,0,0
"63","97121",0,0,0,0
"64","97122",0,0,0,0
"65","97123",5,3,2,1
"66","97124",11,10,5,3
"67","97127",0,0,0,0
"68","97128",4,1,0,0
"69","97131",0,0,0,0
"70","97132",4,2,1,1
"71","97133",1,1,0,0
"72","97135",0,0,0,0
"73","97136",0,0,0,0
"74","97137",0,0,0,0
"75","97138",1,1,0,0
"76","97140",7,3,0,0
"77","97141",0,0,0,0
"78","97146",1,1,0,0
"79","97148",0,0,0,0
"80","97149",0,0,0,0
"81","97201",1,0,0,0
"82","97202",1,1,0,0
"83","97203",7,2,0,0
"84","97204",0,0,0,0
"85","97205",1,1,0,0
"86","97206",8,2,0,0
"87","97208",0,0,0,0
"88","97209",0,0,0,0
"89","97210",1,1,0,0
"90","97211",8,5,1,1
"91","97212",5,0,0,0
"92","97213",7,1,0,0
"93","97214",3,2,2,1
"94","97215",1,1,0,0
"95","97216",2,2,1,1
"96","97217",7,2,0,0
"97","97218",2,0,0,0
"98","97219",7,2,0,0
"99","97220",7,4,1,1
"100","97221",3,0,0,0
"101","97222",8,2,0,0
"102","97223",17,4,1,1
"103","97224",10,5,1,0
"104","97225",3,0,0,0
"105","97227",2,1,1,0
"106","97229",13,8,5,2
"107","97230",12,9,6,5
"108","97231",1,0,0,0
"109","97232",3,1,0,0
"110","97233",9,6,0,0
"111","97236",12,7,5,0
"112","97239",2,0,0,0
"113","97266",16,7,2,1
"114","97267",4,3,0,0
"115","97268",1,0,0,0
"116","97280",0,0,0,0
"117","97281",0,0,0,0
"118","97283",1,0,0,0
"119","97290",0,0,0,0
"120","97292",0,0,0,0
"121","97294",0,0,0,0
"122","97301",6,4,1,0
"123","97302",3,1,0,0
"124","97303",7,3,3,1
"125","97304",3,3,1,1
"126","97305",4,2,1,0
"127","97306",3,2,1,1
"128","97307",0,0,0,0
"129","97317",4,1,0,0
"130","97321",3,1,0,0
"131","97322",0,0,0,0
"132","97324",0,0,0,0
"133","97325",0,0,0,0
"134","97327",0,0,0,0
"135","97330",7,3,0,0
"136","97331",1,0,0,0
"137","97333",1,0,0,0
"138","97338",1,0,0,0
"139","97339",0,0,0,0
"140","97341",0,0,0,0
"141","97343",0,0,0,0
"142","97344",0,0,0,0
"143","97347",0,0,0,0
"144","97351",0,0,0,0
"145","97352",1,0,0,0
"146","97355",6,2,0,0
"147","97357",0,0,0,0
"148","97358",0,0,0,0
"149","97360",0,0,0,0
"150","97361",2,0,0,0
"151","97362",0,0,0,0
"152","97365",0,0,0,0
"153","97366",0,0,0,0
"154","97367",0,0,0,0
"155","97368",0,0,0,0
"156","97370",0,0,0,0
"157","97371",0,0,0,0
"158","97374",0,0,0,0
"159","97378",2,1,0,0
"160","97381",3,2,0,0
"161","97383",0,0,0,0
"162","97384",0,0,0,0
"163","97385",1,1,0,0
"164","97386",0,0,0,0
"165","97389",0,0,0,0
"166","97391",1,1,0,0
"167","97392",0,0,0,0
"168","97394",0,0,0,0
"169","97396",0,0,0,0
"170","97401",5,1,1,0
"171","97402",5,3,1,0
"172","97403",1,0,0,0
"173","97404",7,2,0,0
"174","97405",1,1,0,0
"175","97408",4,1,0,0
"176","97410",0,0,0,0
"177","97411",0,0,0,0
"178","97412",0,0,0,0
"179","97415",0,0,0,0
"180","97417",0,0,0,0
"181","97419",0,0,0,0
"182","97420",3,1,1,1
"183","97423",0,0,0,0
"184","97424",0,0,0,0
"185","97426",0,0,0,0
"186","97429",0,0,0,0
"187","97431",0,0,0,0
"188","97434",0,0,0,0
"189","97435",0,0,0,0
"190","97436",0,0,0,0
"191","97437",1,1,0,0
"192","97438",1,1,0,0
"193","97439",0,0,0,0
"194","97442",0,0,0,0
"195","97443",0,0,0,0
"196","97444",0,0,0,0
"197","97446",1,0,0,0
"198","97448",0,0,0,0
"199","97449",0,0,0,0
"200","97450",0,0,0,0
"201","97452",0,0,0,0
"202","97453",0,0,0,0
"203","97454",1,1,0,0
"204","97455",1,0,0,0
"205","97456",0,0,0,0
"206","97457",0,0,0,0
"207","97458",0,0,0,0
