"","Zipcodes","Inquiry","Applied","Accepted","Enrolled"
"1","98001",6,6,3,1
"2","98002",0,0,0,0
"3","98003",0,0,0,0
"4","98004",12,11,3,1
"5","98005",7,4,0,0
"6","98006",18,16,9,7
"7","98007",5,4,0,0
"8","98008",6,5,2,0
"9","98009",0,0,0,0
"10","98010",2,2,1,0
"11","98011",2,2,0,0
"12","98012",6,6,3,0
"13","98014",1,0,0,0
"14","98015",0,0,0,0
"15","98019",2,2,1,1
"16","98020",6,6,3,1
"17","98021",4,3,2,1
"18","98022",3,2,1,0
"19","98023",2,2,0,0
"20","98024",1,1,1,0
"21","98026",11,11,4,0
"22","98027",9,7,3,0
"23","98028",4,3,0,0
"24","98029",9,6,2,2
"25","98030",0,0,0,0
"26","98031",1,1,1,1
"27","98032",0,0,0,0
"28","98033",7,6,0,0
"29","98034",3,3,1,1
"30","98036",1,1,0,0
"31","98037",3,2,0,0
"32","98038",4,1,1,1
"33","98039",3,3,0,0
"34","98040",11,10,2,2
"35","98042",4,4,1,0
"36","98043",0,0,0,0
"37","98045",4,4,1,0
"38","98046",0,0,0,0
"39","98047",0,0,0,0
"40","98050",0,0,0,0
"41","98051",0,0,0,0
"42","98052",9,8,1,0
"43","98053",5,5,0,0
"44","98055",1,0,0,0
"45","98056",0,0,0,0
"46","98057",0,0,0,0
"47","98058",7,5,2,1
"48","98059",6,5,1,0
"49","98062",0,0,0,0
"50","98063",0,0,0,0
"51","98065",0,0,0,0
"52","98070",0,0,0,0
"53","98072",7,6,3,2
"54","98073",1,1,0,0
"55","98074",6,6,0,0
"56","98075",5,5,3,1
"57","98077",8,6,1,1
"58","98082",0,0,0,0
"59","98083",0,0,0,0
"60","98087",2,2,2,1
"61","98089",0,0,0,0
"62","98092",3,2,0,0
"63","98093",0,0,0,0
"64","98101",0,0,0,0
"65","98102",1,1,1,0
"66","98103",4,4,1,0
"67","98104",0,0,0,0
"68","98105",6,6,0,0
"69","98106",1,1,1,1
"70","98107",1,1,0,0
"71","98108",0,0,0,0
"72","98109",2,2,1,1
"73","98110",8,6,1,0
"74","98112",8,7,1,1
"75","98115",16,13,4,1
"76","98116",4,4,0,0
"77","98117",5,2,1,0
"78","98118",4,3,0,0
"79","98119",3,3,0,0
"80","98121",0,0,0,0
"81","98122",0,0,0,0
"82","98125",8,6,2,1
"83","98126",2,2,2,1
"84","98127",0,0,0,0
"85","98133",2,2,1,0
"86","98136",1,1,1,1
"87","98139",1,1,0,0
"88","98144",4,3,2,2
"89","98145",0,0,0,0
"90","98146",3,3,1,0
"91","98148",0,0,0,0
"92","98155",7,6,1,0
"93","98166",7,6,3,1
"94","98168",1,1,0,0
"95","98177",5,5,1,1
"96","98178",0,0,0,0
"97","98188",2,2,2,1
"98","98198",6,6,2,0
"99","98199",5,5,3,1
"100","98201",1,1,0,0
"101","98203",2,2,0,0
"102","98204",2,1,0,0
"103","98205",0,0,0,0
"104","98206",0,0,0,0
"105","98208",1,1,0,0
"106","98213",0,0,0,0
"107","98220",1,1,0,0
"108","98221",3,2,1,0
"109","98223",3,1,1,0
"110","98225",2,2,1,0
"111","98226",8,8,3,3
"112","98227",0,0,0,0
"113","98228",0,0,0,0
"114","98229",5,5,2,0
"115","98230",1,1,0,0
"116","98232",1,1,1,0
"117","98233",1,1,0,0
"118","98235",0,0,0,0
"119","98236",1,1,0,0
"120","98237",0,0,0,0
"121","98239",2,1,1,1
"122","98240",0,0,0,0
"123","98241",0,0,0,0
"124","98244",0,0,0,0
"125","98245",0,0,0,0
"126","98247",2,2,1,1
"127","98248",2,1,0,0
"128","98249",0,0,0,0
"129","98250",1,1,0,0
"130","98251",0,0,0,0
"131","98252",0,0,0,0
"132","98253",0,0,0,0
"133","98255",0,0,0,0
"134","98257",0,0,0,0
"135","98258",0,0,0,0
"136","98260",1,1,0,0
"137","98261",0,0,0,0
"138","98264",0,0,0,0
"139","98266",0,0,0,0
"140","98267",1,1,1,0
"141","98270",1,1,1,1
"142","98271",0,0,0,0
"143","98272",3,3,0,0
"144","98273",2,1,1,0
"145","98274",0,0,0,0
"146","98275",9,9,1,0
"147","98277",3,3,0,0
"148","98281",0,0,0,0
"149","98282",0,0,0,0
"150","98283",0,0,0,0
"151","98284",0,0,0,0
"152","98290",2,2,2,1
"153","98291",1,1,0,0
"154","98292",2,2,0,0
"155","98293",0,0,0,0
"156","98294",0,0,0,0
"157","98295",0,0,0,0
"158","98296",5,4,2,0
"159","98303",0,0,0,0
"160","98310",1,1,0,0
"161","98311",2,2,1,0
"162","98312",3,3,1,1
"163","98315",0,0,0,0
"164","98321",1,1,0,0
"165","98322",0,0,0,0
"166","98323",0,0,0,0
"167","98325",0,0,0,0
"168","98327",2,2,0,0
"169","98328",1,1,0,0
"170","98329",1,1,0,0
"171","98331",0,0,0,0
"172","98332",3,1,1,1
"173","98333",5,3,1,1
"174","98335",5,5,3,2
"175","98336",0,0,0,0
"176","98337",0,0,0,0
"177","98338",3,2,0,0
"178","98339",0,0,0,0
"179","98340",0,0,0,0
"180","98342",0,0,0,0
"181","98346",1,1,0,0
"182","98349",0,0,0,0
"183","98350",0,0,0,0
"184","98353",0,0,0,0
"185","98354",2,2,1,0
"186","98355",0,0,0,0
"187","98356",0,0,0,0
"188","98357",0,0,0,0
"189","98358",0,0,0,0
"190","98359",0,0,0,0
"191","98360",0,0,0,0
"192","98361",0,0,0,0
"193","98362",0,0,0,0
"194","98363",1,1,0,0
"195","98365",0,0,0,0
"196","98366",3,3,0,0
"197","98367",1,0,0,0
"198","98368",2,1,1,0
"199","98370",4,4,2,2
"200","98371",3,3,1,0
"201","98372",0,0,0,0
"202","98373",0,0,0,0
"203","98374",5,5,0,0
"204","98375",0,0,0,0
"205","98377",1,1,0,0
"206","98380",0,0,0,0
"207","98382",3,2,1,0
"208","98383",4,3,1,0
"209","98384",0,0,0,0
"210","98386",0,0,0,0
