"","Zipcodes","Inquiry","Applied","Accepted","Enrolled"
"1","99501",0,0,0,0
"2","99502",0,0,0,0
"3","99503",0,0,0,0
"4","99504",1,0,0,0
"5","99505",0,0,0,0
"6","99506",0,0,0,0
"7","99507",1,0,0,0
"8","99508",1,0,0,0
"9","99511",0,0,0,0
"10","99514",0,0,0,0
"11","99515",0,0,0,0
"12","99516",1,0,0,0
"13","99517",2,0,0,0
"14","99518",0,0,0,0
"15","99521",0,0,0,0
"16","99556",0,0,0,0
"17","99563",0,0,0,0
"18","99567",0,0,0,0
"19","99572",0,0,0,0
"20","99574",0,0,0,0
"21","99577",1,0,0,0
"22","99587",0,0,0,0
"23","99603",2,0,0,0
"24","99610",0,0,0,0
"25","99611",0,0,0,0
"26","99615",0,0,0,0
"27","99645",0,0,0,0
"28","99654",1,0,0,0
"29","99663",0,0,0,0
"30","99669",0,0,0,0
"31","99672",0,0,0,0
"32","99676",1,0,0,0
"33","99685",0,0,0,0
"34","99686",0,0,0,0
"35","99687",0,0,0,0
"36","99692",1,0,0,0
"37","99701",0,0,0,0
"38","99705",0,0,0,0
"39","99707",0,0,0,0
"40","99708",1,0,0,0
"41","99709",0,0,0,0
"42","99710",0,0,0,0
"43","99711",0,0,0,0
"44","99712",0,0,0,0
"45","99716",0,0,0,0
"46","99723",1,0,0,0
"47","99737",0,0,0,0
"48","99741",0,0,0,0
"49","99743",0,0,0,0
"50","99752",0,0,0,0
"51","99755",0,0,0,0
"52","99762",1,0,0,0
"53","99783",0,0,0,0
"54","99801",0,0,0,0
"55","99802",0,0,0,0
"56","99803",0,0,0,0
"57","99821",0,0,0,0
"58","99835",0,0,0,0
"59","99901",1,0,0,0
"60","99919",0,0,0,0
"61","99921",0,0,0,0
"62","99925",0,0,0,0
"63","99926",0,0,0,0
"64","99928",0,0,0,0
