"","Zipcodes","Inquiry","Applied","Accepted","Enrolled"
"1","90001",1,0,0,0
"2","90002",2,0,0,0
"3","90003",6,4,0,0
"4","90004",6,2,1,1
"5","90005",0,0,0,0
"6","90006",2,0,0,0
"7","90007",3,1,0,0
"8","90008",3,1,0,0
"9","90011",2,1,0,0
"10","90012",0,0,0,0
"11","90015",2,2,0,0
"12","90016",8,1,0,0
"13","90017",1,0,0,0
"14","90018",6,1,0,0
"15","90019",4,0,0,0
"16","90020",0,0,0,0
"17","90022",8,3,0,0
"18","90023",3,0,0,0
"19","90024",1,0,0,0
"20","90025",1,1,0,0
"21","90026",2,0,0,0
"22","90027",2,1,0,0
"23","90028",0,0,0,0
"24","90029",1,0,0,0
"25","90031",3,1,0,0
"26","90032",4,0,0,0
"27","90033",6,0,0,0
"28","90034",0,0,0,0
"29","90035",0,0,0,0
"30","90036",1,0,0,0
"31","90037",5,2,0,0
"32","90038",1,1,0,0
"33","90039",4,0,0,0
"34","90040",2,1,0,0
"35","90041",1,0,0,0
"36","90042",7,2,0,0
"37","90043",5,0,0,0
"38","90044",4,2,0,0
"39","90045",5,3,0,0
"40","90047",1,0,0,0
"41","90049",2,1,0,0
"42","90056",2,1,1,0
"43","90057",1,0,0,0
"44","90058",0,0,0,0
"45","90059",2,2,0,0
"46","90061",2,0,0,0
"47","90062",6,2,0,0
"48","90063",4,1,0,0
"49","90064",0,0,0,0
"50","90065",5,2,0,0
"51","90066",4,0,0,0
"52","90068",1,1,1,1
"53","90069",2,0,0,0
"54","90077",0,0,0,0
"55","90201",5,1,0,0
"56","90210",2,0,0,0
"57","90211",0,0,0,0
"58","90212",0,0,0,0
"59","90220",1,0,0,0
"60","90221",2,0,0,0
"61","90222",1,0,0,0
"62","90230",1,0,0,0
"63","90232",0,0,0,0
"64","90240",3,0,0,0
"65","90241",5,3,0,0
"66","90242",4,0,0,0
"67","90245",3,1,0,0
"68","90247",4,2,0,0
"69","90248",1,1,0,0
"70","90249",3,1,0,0
"71","90250",15,3,0,0
"72","90254",2,1,0,0
"73","90255",3,0,0,0
"74","90260",2,1,0,0
"75","90262",13,6,0,0
"76","90265",2,1,0,0
"77","90266",6,1,0,0
"78","90270",3,1,0,0
"79","90272",4,1,0,0
"80","90274",5,3,0,0
"81","90275",4,1,0,0
"82","90277",2,0,0,0
"83","90278",3,0,0,0
"84","90280",7,0,0,0
"85","90290",3,0,0,0
"86","90291",1,0,0,0
"87","90293",1,1,0,0
"88","90301",2,1,0,0
"89","90302",4,1,0,0
"90","90303",2,1,0,0
"91","90304",3,0,0,0
"92","90305",1,0,0,0
"93","90402",1,0,0,0
"94","90403",0,0,0,0
"95","90404",1,0,0,0
"96","90405",1,1,0,0
"97","90501",3,0,0,0
"98","90502",0,0,0,0
"99","90503",3,1,0,0
"100","90504",1,0,0,0
"101","90505",5,2,2,0
"102","90601",7,3,0,0
"103","90602",1,0,0,0
"104","90603",5,3,0,0
"105","90604",2,0,0,0
"106","90605",2,0,0,0
"107","90606",6,4,1,0
"108","90607",0,0,0,0
"109","90608",1,0,0,0
"110","90620",4,3,1,1
"111","90621",3,0,0,0
"112","90623",3,1,0,0
"113","90630",5,1,0,0
"114","90631",8,3,1,0
"115","90638",8,0,0,0
"116","90640",6,2,0,0
"117","90650",4,1,0,0
"118","90660",12,3,2,1
"119","90670",4,0,0,0
"120","90701",0,0,0,0
"121","90703",4,1,1,1
"122","90706",4,0,0,0
"123","90710",1,0,0,0
"124","90712",5,0,0,0
"125","90713",3,0,0,0
"126","90714",0,0,0,0
"127","90715",0,0,0,0
"128","90716",1,0,0,0
"129","90717",2,1,0,0
"130","90720",5,4,2,0
"131","90723",4,0,0,0
"132","90731",0,0,0,0
"133","90732",2,1,0,0
"134","90740",5,3,2,1
"135","90742",0,0,0,0
"136","90744",4,0,0,0
"137","90745",3,0,0,0
"138","90746",3,1,0,0
"139","90755",1,0,0,0
"140","90802",3,0,0,0
"141","90803",3,0,0,0
"142","90804",2,0,0,0
"143","90805",4,1,0,0
"144","90806",4,1,0,0
"145","90807",3,0,0,0
"146","90808",13,1,0,0
"147","90810",1,0,0,0
"148","90813",0,0,0,0
"149","90814",1,0,0,0
"150","90815",1,0,0,0
"151","91001",10,4,1,0
"152","91003",1,1,0,0
"153","91006",2,1,1,0
"154","91007",2,1,0,0
"155","91008",0,0,0,0
"156","91010",2,1,0,0
"157","91011",8,5,2,0
"158","91012",1,0,0,0
"159","91016",4,1,0,0
"160","91020",0,0,0,0
"161","91024",5,4,3,0
"162","91030",5,2,1,0
"163","91040",1,1,0,0
"164","91042",1,0,0,0
"165","91101",1,0,0,0
"166","91103",0,0,0,0
"167","91104",3,0,0,0
"168","91105",3,1,0,0
"169","91106",1,0,0,0
"170","91107",5,4,0,0
"171","91108",2,1,0,0
"172","91201",1,0,0,0
"173","91202",1,0,0,0
"174","91203",1,0,0,0
"175","91204",0,0,0,0
"176","91205",4,0,0,0
"177","91206",2,1,1,0
"178","91207",0,0,0,0
"179","91208",1,0,0,0
"180","91214",1,1,0,0
"181","91301",3,1,0,0
"182","91302",5,2,0,0
"183","91303",0,0,0,0
"184","91304",7,3,1,0
"185","91306",4,0,0,0
"186","91307",3,1,1,0
"187","91311",6,1,0,0
"188","91316",2,0,0,0
"189","91320",4,1,0,0
"190","91321",5,3,1,0
"191","91324",6,3,0,0
"192","91325",8,5,0,0
"193","91326",5,4,0,0
"194","91327",1,0,0,0
"195","91331",8,2,0,0
"196","91335",3,1,0,0
"197","91340",4,2,0,0
"198","91342",6,1,0,0
"199","91343",4,1,0,0
"200","91344",7,1,0,0
"201","91345",3,1,0,0
"202","91350",4,0,0,0
"203","91351",2,1,0,0
"204","91352",5,0,0,0
"205","91354",4,1,0,0
"206","91355",6,3,2,2
"207","91356",2,0,0,0
"208","91359",0,0,0,0
"209","91360",5,1,1,0
"210","91361",4,0,0,0
"211","91362",11,3,2,0
"212","91364",3,2,0,0
"213","91367",1,0,0,0
"214","91377",2,0,0,0
"215","91381",0,0,0,0
"216","91384",0,0,0,0
"217","91387",1,0,0,0
"218","91390",1,0,0,0
"219","91401",0,0,0,0
"220","91402",4,0,0,0
"221","91403",2,1,0,0
"222","91405",2,0,0,0
"223","91406",4,0,0,0
"224","91409",0,0,0,0
"225","91411",0,0,0,0
"226","91423",1,0,0,0
"227","91436",1,1,0,0
"228","91501",1,0,0,0
"229","91502",2,0,0,0
"230","91504",1,0,0,0
"231","91505",1,0,0,0
"232","91506",2,1,0,0
"233","91601",2,0,0,0
"234","91602",0,0,0,0
"235","91604",2,2,0,0
"236","91605",4,0,0,0
"237","91606",2,0,0,0
"238","91607",0,0,0,0
"239","91701",3,0,0,0
"240","91702",6,2,0,0
"241","91706",10,1,0,0
"242","91708",0,0,0,0
"243","91709",9,2,1,0
"244","91710",11,3,1,1
"245","91711",4,1,1,0
"246","91722",5,0,0,0
"247","91723",4,1,0,0
"248","91724",4,2,1,0
"249","91730",5,2,0,0
"250","91731",1,0,0,0
"251","91732",5,0,0,0
"252","91733",6,0,0,0
"253","91734",0,0,0,0
"254","91737",2,0,0,0
"255","91739",5,2,0,0
"256","91740",6,1,0,0
"257","91741",7,3,1,0
"258","91744",10,1,0,0
"259","91745",7,0,0,0
"260","91746",4,1,1,0
"261","91747",0,0,0,0
"262","91748",6,2,2,0
