"","Zipcodes","InquiryMale","InquiryFemale","InquiryTotal","InquiryMalePercentage","InquiryFemalePercentage","AppliedMale","AppliedFemale","AppliedTotal","AppliedMalePercentage","AppliedFemalePercentage","AcceptedMale","AcceptedFemale","AcceptedTotal","AcceptedMalePercentage","AcceptedFemalePercentage","EnrolledMale","EnrolledFemale","EnrolledTotal","EnrolledMalePercentage","EnrolledFemalePercentage"
"1","96701",37,51,88,0.420454545454545,0.579545454545455,21,18,39,0.461538461538462,0.538461538461538,3,11,14,0.214285714285714,0.785714285714286,1,1,2,0.5,0.5
"2","96703",0,3,3,0,1,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA
"3","96704",3,6,9,0.333333333333333,0.666666666666667,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA
"4","96705",1,5,6,0.166666666666667,0.833333333333333,0,1,1,1,0,0,0,0,NA,NA,0,0,0,NA,NA
"5","96706",55,81,136,0.404411764705882,0.595588235294118,19,29,48,0.604166666666667,0.395833333333333,8,3,11,0.727272727272727,0.272727272727273,2,2,4,0.5,0.5
"6","96707",19,39,58,0.327586206896552,0.672413793103448,8,14,22,0.636363636363636,0.363636363636364,0,2,2,0,1,0,0,0,NA,NA
"7","96708",5,9,14,0.357142857142857,0.642857142857143,1,6,7,0.857142857142857,0.142857142857143,0,2,2,0,1,0,0,0,NA,NA
"8","96709",1,2,3,0.333333333333333,0.666666666666667,1,0,1,0,1,1,0,1,1,0,0,0,0,NA,NA
"9","96710",0,2,2,0,1,0,1,1,1,0,0,0,0,NA,NA,0,0,0,NA,NA
"10","96712",3,8,11,0.272727272727273,0.727272727272727,1,1,2,0.5,0.5,0,0,0,NA,NA,0,0,0,NA,NA
"11","96713",0,1,1,0,1,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA
"12","96714",3,6,9,0.333333333333333,0.666666666666667,2,2,4,0.5,0.5,2,0,2,1,0,0,0,0,NA,NA
"13","96715",1,0,1,1,0,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA
"14","96716",2,0,2,1,0,2,0,2,0,1,0,0,0,NA,NA,0,0,0,NA,NA
"15","96717",1,7,8,0.125,0.875,0,1,1,1,0,0,0,0,NA,NA,0,0,0,NA,NA
"16","96720",40,94,134,0.298507462686567,0.701492537313433,18,35,53,0.660377358490566,0.339622641509434,7,8,15,0.466666666666667,0.533333333333333,3,3,6,0.5,0.5
"17","96721",4,2,6,0.666666666666667,0.333333333333333,0,2,2,1,0,0,0,0,NA,NA,0,0,0,NA,NA
"18","96722",1,1,2,0.5,0.5,1,0,1,0,1,0,0,0,NA,NA,0,0,0,NA,NA
"19","96725",1,2,3,0.333333333333333,0.666666666666667,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA
"20","96726",0,1,1,0,1,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA
"21","96727",7,7,14,0.5,0.5,0,3,3,1,0,0,1,1,0,1,0,0,0,NA,NA
"22","96728",0,2,2,0,1,0,1,1,1,0,0,1,1,0,1,0,0,0,NA,NA
"23","96729",1,4,5,0.2,0.8,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA
"24","96730",0,1,1,0,1,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA
"25","96731",1,8,9,0.111111111111111,0.888888888888889,0,1,1,1,0,0,0,0,NA,NA,0,0,0,NA,NA
"26","96732",17,37,54,0.314814814814815,0.685185185185185,2,8,10,0.8,0.2,0,1,1,0,1,0,0,0,NA,NA
"27","96733",3,3,6,0.5,0.5,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA
"28","96734",43,86,129,0.333333333333333,0.666666666666667,17,25,42,0.595238095238095,0.404761904761905,3,5,8,0.375,0.625,1,1,2,0.5,0.5
"29","96737",0,1,1,0,1,0,1,1,1,0,0,0,0,NA,NA,0,0,0,NA,NA
"30","96738",7,7,14,0.5,0.5,2,2,4,0.5,0.5,0,1,1,0,1,0,0,0,NA,NA
