"","Zipcodes","Inquiry","Applied","Accepted","Enrolled"
"1","83201",8,1,0,0
"2","83202",2,0,0,0
"3","83203",1,1,0,0
"4","83204",4,2,1,0
"5","83209",1,1,0,0
"6","83211",2,0,0,0
"7","83221",6,1,0,0
"8","83246",1,0,0,0
"9","83252",1,0,0,0
"10","83263",1,0,0,0
"11","83274",1,0,0,0
"12","83276",2,2,1,0
"13","83278",0,0,0,0
"14","83287",0,0,0,0
"15","83301",15,1,1,0
"16","83303",0,0,0,0
"17","83313",1,0,0,0
"18","83316",3,1,1,0
"19","83318",1,0,0,0
"20","83320",0,0,0,0
"21","83321",1,0,0,0
"22","83327",1,0,0,0
"23","83328",2,2,1,0
"24","83333",4,1,0,0
"25","83334",0,0,0,0
"26","83335",2,1,0,0
"27","83338",7,0,0,0
"28","83340",3,0,0,0
"29","83341",3,0,0,0
"30","83347",1,0,0,0
"31","83350",3,0,0,0
"32","83352",2,0,0,0
"33","83353",0,0,0,0
"34","83355",1,0,0,0
"35","83401",5,1,0,0
"36","83402",7,3,2,0
"37","83404",11,3,3,0
"38","83406",3,2,1,0
"39","83422",1,0,0,0
"40","83429",0,0,0,0
"41","83431",2,0,0,0
"42","83440",3,0,0,0
"43","83442",2,0,0,0
"44","83443",0,0,0,0
"45","83445",1,0,0,0
"46","83455",2,2,0,0
"47","83467",0,0,0,0
"48","83468",1,0,0,0
"49","83501",4,2,0,0
"50","83522",1,0,0,0
"51","83530",3,1,1,0
"52","83536",2,0,0,0
"53","83540",2,0,0,0
"54","83541",1,0,0,0
"55","83549",0,0,0,0
"56","83604",3,0,0,0
"57","83605",18,2,0,0
"58","83606",0,0,0,0
"59","83607",21,5,0,0
"60","83612",0,0,0,0
"61","83616",25,14,7,1
"62","83617",6,2,0,0
"63","83619",1,1,0,0
"64","83622",0,0,0,0
"65","83624",3,0,0,0
"66","83626",1,0,0,0
"67","83627",1,1,0,0
"68","83628",7,0,0,0
"69","83629",0,0,0,0
"70","83634",9,0,0,0
"71","83638",1,0,0,0
"72","83641",3,0,0,0
"73","83642",16,2,0,0
"74","83644",2,0,0,0
"75","83646",21,5,1,0
"76","83647",5,0,0,0
"77","83651",12,1,0,0
"78","83655",1,0,0,0
"79","83660",1,0,0,0
"80","83661",2,1,1,0
"81","83669",7,1,0,0
"82","83672",3,2,0,0
"83","83676",2,0,0,0
"84","83686",20,5,1,1
"85","83687",14,0,0,0
"86","83702",35,12,6,0
"87","83703",14,3,1,0
"88","83704",29,8,3,2
"89","83705",19,6,3,0
"90","83706",48,16,3,1
"91","83707",2,0,0,0
"92","83709",40,11,3,1
"93","83712",18,4,2,0
"94","83713",47,15,7,2
"95","83714",26,3,1,1
"96","83716",22,3,2,1
"97","83717",0,0,0,0
"98","83801",1,1,0,0
"99","83804",1,1,0,0
"100","83805",2,0,0,0
"101","83809",2,2,0,0
"102","83810",1,1,0,0
"103","83814",5,3,0,0
"104","83815",14,1,1,1
"105","83816",1,1,0,0
"106","83823",1,0,0,0
"107","83832",0,0,0,0
"108","83833",1,0,0,0
"109","83835",7,1,1,0
"110","83839",0,0,0,0
"111","83841",1,0,0,0
"112","83843",7,4,0,0
"113","83847",0,0,0,0
"114","83854",9,4,1,0
"115","83855",1,0,0,0
"116","83856",4,1,0,0
"117","83858",3,0,0,0
"118","83860",2,0,0,0
"119","83861",1,0,0,0
"120","83864",3,3,0,0
"121","83865",1,0,0,0
"122","83867",1,1,1,0
"123","83869",0,0,0,0
"124","83876",2,0,0,0
