"","Zipcodes","Inquiry","Applied","Accepted","Enrolled"
"1","40014",1,1,0,0
"2","40022",1,0,0,0
"3","40033",1,0,0,0
"4","40045",1,0,0,0
"5","40047",1,0,0,0
"6","40071",1,0,0,0
"7","40115",1,0,0,0
"8","40204",1,0,0,0
"9","40205",1,0,0,0
"10","40210",2,1,0,0
"11","40218",1,0,0,0
"12","40223",2,0,0,0
"13","40241",2,0,0,0
"14","40291",1,0,0,0
"15","40313",1,0,0,0
"16","40324",3,0,0,0
"17","40342",1,0,0,0
"18","40372",1,0,0,0
"19","40383",1,0,0,0
"20","40403",1,0,0,0
"21","40422",1,0,0,0
"22","40444",1,0,0,0
"23","40475",1,1,0,0
"24","40502",3,1,0,0
"25","40503",2,0,0,0
"26","40509",1,0,0,0
"27","40511",1,1,0,0
"28","40513",1,0,0,0
"29","40514",1,0,0,0
"30","40515",3,0,0,0
"31","40517",1,0,0,0
"32","40921",1,0,0,0
"33","41001",1,0,0,0
"34","41008",1,0,0,0
"35","41011",1,1,1,0
"36","41022",1,0,0,0
"37","41035",1,0,0,0
"38","41042",1,1,0,0
"39","41094",1,0,0,0
"40","41139",1,0,0,0
"41","41169",1,0,0,0
"42","41385",1,0,0,0
"43","41773",1,0,0,0
"44","42003",1,0,0,0
"45","42025",1,0,0,0
"46","42040",1,0,0,0
"47","42049",1,0,0,0
"48","42071",1,0,0,0
"49","42223",1,0,0,0
"50","42303",1,0,0,0
"51","42330",1,0,0,0
"52","42420",1,0,0,0
"53","42528",1,0,0,0
"54","42539",1,0,0,0
"55","42702",1,0,0,0
"56","42743",1,0,0,0
