"","Zipcodes","Inquiry","Applied","Accepted","Enrolled"
"1","20607",0,0,0,0
"2","20619",0,0,0,0
"3","20639",0,0,0,0
"4","20646",0,0,0,0
"5","20650",0,0,0,0
"6","20653",0,0,0,0
"7","20695",0,0,0,0
"8","20705",0,0,0,0
"9","20706",0,0,0,0
"10","20709",0,0,0,0
"11","20710",0,0,0,0
"12","20711",0,0,0,0
"13","20715",0,0,0,0
"14","20720",0,0,0,0
"15","20721",0,0,0,0
"16","20732",0,0,0,0
"17","20737",0,0,0,0
"18","20744",0,0,0,0
"19","20751",0,0,0,0
"20","20769",0,0,0,0
"21","20772",0,0,0,0
"22","20774",0,0,0,0
"23","20814",0,0,0,0
"24","20815",0,0,0,0
"25","20816",0,0,0,0
"26","20817",0,0,0,0
"27","20832",0,0,0,0
"28","20841",0,0,0,0
"29","20850",0,0,0,0
"30","20852",0,0,0,0
"31","20853",0,0,0,0
"32","20854",0,0,0,0
"33","20861",0,0,0,0
"34","20866",0,0,0,0
"35","20876",0,0,0,0
"36","20877",0,0,0,0
"37","20878",0,0,0,0
"38","20886",0,0,0,0
"39","20901",0,0,0,0
"40","20903",1,1,0,0
"41","20904",0,0,0,0
"42","20905",0,0,0,0
"43","20906",0,0,0,0
"44","21009",0,0,0,0
"45","21014",0,0,0,0
"46","21030",0,0,0,0
"47","21037",0,0,0,0
"48","21040",0,0,0,0
"49","21042",0,0,0,0
"50","21043",0,0,0,0
"51","21045",0,0,0,0
"52","21050",0,0,0,0
"53","21061",0,0,0,0
"54","21074",0,0,0,0
"55","21084",0,0,0,0
"56","21093",0,0,0,0
"57","21104",0,0,0,0
"58","21108",0,0,0,0
"59","21113",0,0,0,0
"60","21114",0,0,0,0
"61","21117",0,0,0,0
"62","21122",0,0,0,0
"63","21133",0,0,0,0
"64","21146",0,0,0,0
"65","21153",0,0,0,0
"66","21157",0,0,0,0
"67","21163",0,0,0,0
"68","21206",0,0,0,0
"69","21207",0,0,0,0
"70","21223",0,0,0,0
"71","21239",0,0,0,0
"72","21244",0,0,0,0
"73","21286",0,0,0,0
"74","21401",0,0,0,0
"75","21403",0,0,0,0
"76","21550",0,0,0,0
"77","21613",0,0,0,0
"78","21620",0,0,0,0
"79","21701",0,0,0,0
"80","21702",0,0,0,0
"81","21703",0,0,0,0
"82","21740",0,0,0,0
"83","21742",0,0,0,0
"84","21758",0,0,0,0
"85","21771",0,0,0,0
"86","21784",0,0,0,0
"87","21795",0,0,0,0
"88","21822",0,0,0,0
"89","21917",0,0,0,0
"90","21921",0,0,0,0
