"","Zipcodes","Inquiry","Applied","Accepted","Enrolled"
"1","59002",0,0,0,0
"2","59011",0,0,0,0
"3","59014",0,0,0,0
"4","59015",0,0,0,0
"5","59018",0,0,0,0
"6","59019",0,0,0,0
"7","59022",0,0,0,0
"8","59027",0,0,0,0
"9","59029",0,0,0,0
"10","59030",1,0,0,0
"11","59032",0,0,0,0
"12","59034",0,0,0,0
"13","59041",0,0,0,0
"14","59044",0,0,0,0
"15","59047",0,0,0,0
"16","59050",0,0,0,0
"17","59057",0,0,0,0
"18","59063",0,0,0,0
"19","59068",0,0,0,0
"20","59072",0,0,0,0
"21","59078",0,0,0,0
"22","59079",0,0,0,0
"23","59081",0,0,0,0
"24","59086",0,0,0,0
"25","59088",0,0,0,0
"26","59101",1,1,1,1
"27","59102",4,3,2,1
"28","59105",2,0,0,0
"29","59106",1,1,0,0
"30","59201",0,0,0,0
"31","59215",0,0,0,0
"32","59254",0,0,0,0
"33","59255",0,0,0,0
"34","59270",0,0,0,0
"35","59327",0,0,0,0
"36","59330",0,0,0,0
"37","59401",0,0,0,0
"38","59403",0,0,0,0
"39","59404",0,0,0,0
"40","59405",1,1,0,0
"41","59417",0,0,0,0
"42","59419",0,0,0,0
"43","59421",0,0,0,0
"44","59422",0,0,0,0
"45","59425",0,0,0,0
"46","59427",0,0,0,0
"47","59433",0,0,0,0
"48","59434",0,0,0,0
"49","59436",0,0,0,0
"50","59442",0,0,0,0
"51","59446",1,0,0,0
"52","59452",0,0,0,0
"53","59453",0,0,0,0
"54","59457",0,0,0,0
"55","59462",0,0,0,0
"56","59464",0,0,0,0
"57","59466",0,0,0,0
"58","59469",0,0,0,0
"59","59479",0,0,0,0
"60","59483",0,0,0,0
"61","59486",0,0,0,0
"62","59489",0,0,0,0
"63","59501",0,0,0,0
"64","59521",0,0,0,0
"65","59522",0,0,0,0
"66","59532",0,0,0,0
"67","59538",1,0,0,0
"68","59540",0,0,0,0
"69","59601",2,2,0,0
"70","59602",0,0,0,0
"71","59634",0,0,0,0
"72","59635",0,0,0,0
"73","59644",0,0,0,0
"74","59645",0,0,0,0
"75","59701",0,0,0,0
"76","59711",0,0,0,0
"77","59713",0,0,0,0
"78","59714",1,1,1,1
"79","59715",2,1,1,1
"80","59716",0,0,0,0
"81","59718",4,1,1,0
"82","59722",0,0,0,0
"83","59725",0,0,0,0
"84","59729",0,0,0,0
"85","59740",0,0,0,0
"86","59741",0,0,0,0
"87","59747",0,0,0,0
"88","59749",0,0,0,0
"89","59752",1,1,0,0
"90","59754",0,0,0,0
"91","59759",0,0,0,0
"92","59760",0,0,0,0
"93","59801",3,2,1,0
"94","59802",1,1,0,0
"95","59803",2,2,2,0
"96","59804",1,0,0,0
"97","59806",1,1,0,0
"98","59808",1,1,0,0
"99","59821",0,0,0,0
"100","59823",0,0,0,0
"101","59824",0,0,0,0
"102","59827",0,0,0,0
"103","59828",0,0,0,0
"104","59829",0,0,0,0
"105","59833",0,0,0,0
"106","59834",0,0,0,0
"107","59840",2,1,1,1
"108","59843",0,0,0,0
"109","59844",0,0,0,0
"110","59845",0,0,0,0
"111","59846",0,0,0,0
"112","59847",0,0,0,0
"113","59853",0,0,0,0
"114","59858",0,0,0,0
"115","59860",0,0,0,0
"116","59864",0,0,0,0
"117","59865",0,0,0,0
"118","59866",0,0,0,0
"119","59868",0,0,0,0
"120","59870",0,0,0,0
"121","59871",0,0,0,0
"122","59872",0,0,0,0
"123","59873",0,0,0,0
"124","59875",0,0,0,0
"125","59901",3,1,0,0
"126","59903",0,0,0,0
"127","59904",0,0,0,0
"128","59911",1,1,1,0
"129","59912",1,0,0,0
"130","59915",0,0,0,0
"131","59917",1,1,0,0
"132","59922",0,0,0,0
"133","59923",0,0,0,0
"134","59925",0,0,0,0
"135","59927",0,0,0,0
"136","59930",0,0,0,0
"137","59931",0,0,0,0
"138","59935",0,0,0,0
"139","59937",1,1,0,0
