"","Zipcodes","Inquiry","Applied","Accepted","Enrolled"
"1","7002",0,0,0,0
"2","7008",0,0,0,0
"3","7009",0,0,0,0
"4","7010",0,0,0,0
"5","7016",0,0,0,0
"6","7020",1,1,0,0
"7","7023",0,0,0,0
"8","7026",0,0,0,0
"9","7028",0,0,0,0
"10","7031",0,0,0,0
"11","7033",0,0,0,0
"12","7039",0,0,0,0
"13","7054",0,0,0,0
"14","7063",0,0,0,0
"15","7064",0,0,0,0
"16","7067",0,0,0,0
"17","7070",0,0,0,0
"18","7076",0,0,0,0
"19","7077",0,0,0,0
"20","7080",0,0,0,0
"21","7082",0,0,0,0
"22","7093",0,0,0,0
"23","7107",0,0,0,0
"24","7108",0,0,0,0
"25","7111",0,0,0,0
"26","7202",0,0,0,0
"27","7205",0,0,0,0
"28","7424",0,0,0,0
"29","7481",0,0,0,0
"30","7501",0,0,0,0
"31","7504",0,0,0,0
"32","7522",0,0,0,0
"33","7641",0,0,0,0
"34","7644",0,0,0,0
"35","7652",0,0,0,0
"36","7656",0,0,0,0
"37","7663",0,0,0,0
"38","7722",0,0,0,0
"39","7726",0,0,0,0
"40","7731",0,0,0,0
"41","7748",0,0,0,0
"42","7750",0,0,0,0
"43","7753",0,0,0,0
"44","7801",0,0,0,0
"45","7823",0,0,0,0
"46","7828",0,0,0,0
"47","7849",0,0,0,0
"48","7853",0,0,0,0
"49","7860",0,0,0,0
"50","7876",0,0,0,0
"51","7882",0,0,0,0
"52","7920",0,0,0,0
"53","7922",0,0,0,0
"54","7924",0,0,0,0
"55","7928",0,0,0,0
"56","7974",0,0,0,0
"57","7976",0,0,0,0
"58","8002",0,0,0,0
"59","8003",0,0,0,0
"60","8016",0,0,0,0
"61","8043",0,0,0,0
"62","8046",0,0,0,0
"63","8054",0,0,0,0
"64","8055",0,0,0,0
"65","8060",0,0,0,0
"66","8070",0,0,0,0
"67","8072",0,0,0,0
"68","8077",0,0,0,0
"69","8080",0,0,0,0
"70","8081",0,0,0,0
"71","8103",0,0,0,0
"72","8107",0,0,0,0
"73","8108",0,0,0,0
"74","8203",0,0,0,0
"75","8330",0,0,0,0
"76","8332",0,0,0,0
"77","8505",0,0,0,0
"78","8510",0,0,0,0
"79","8540",0,0,0,0
"80","8550",0,0,0,0
"81","8619",0,0,0,0
"82","8638",0,0,0,0
"83","8648",0,0,0,0
"84","8722",0,0,0,0
"85","8724",0,0,0,0
"86","8734",0,0,0,0
"87","8742",0,0,0,0
"88","8759",0,0,0,0
"89","8805",0,0,0,0
"90","8812",0,0,0,0
"91","8816",0,0,0,0
"92","8818",0,0,0,0
"93","8831",0,0,0,0
"94","8854",0,0,0,0
"95","8857",0,0,0,0
"96","8861",0,0,0,0
"97","8876",0,0,0,0
"98","8889",0,0,0,0
"99","8902",0,0,0,0
