"","Zipcodes","Inquiry","Applied","Accepted","Enrolled"
"1","13952",1,1,0,0
"2","97002",4,1,0,0
"3","97004",0,0,0,0
"4","97005",10,0,0,0
"5","97006",34,17,4,1
"6","97007",75,23,7,1
"7","97008",23,10,5,2
"8","97009",4,1,0,0
"9","97013",13,4,3,2
"10","97014",2,0,0,0
"11","97015",30,9,6,5
"12","97016",5,1,0,0
"13","97017",2,1,1,1
"14","97018",2,1,1,0
"15","97019",2,1,0,0
"16","97020",0,0,0,0
"17","97021",0,0,0,0
"18","97022",1,1,1,0
"19","97023",3,1,0,0
"20","97024",5,2,1,0
"21","97026",1,0,0,0
"22","97027",2,0,0,0
"23","97030",15,5,0,0
"24","97031",10,3,0,0
"25","97032",2,0,0,0
"26","97034",28,8,5,2
"27","97035",21,8,2,1
"28","97037",2,1,0,0
"29","97038",7,4,0,0
"30","97040",0,0,0,0
"31","97041",0,0,0,0
"32","97042",4,0,0,0
"33","97044",0,0,0,0
"34","97045",20,6,2,0
"35","97048",1,0,0,0
"36","97049",0,0,0,0
"37","97051",6,4,1,1
"38","97053",3,0,0,0
"39","97054",2,0,0,0
"40","97055",9,5,1,1
"41","97056",9,3,2,3
"42","97058",8,4,1,0
"43","97060",14,7,4,2
"44","97062",42,11,5,0
"45","97064",0,0,0,0
"46","97065",3,2,0,0
"47","97067",0,0,0,0
"48","97068",28,13,5,1
"49","97070",6,1,0,0
"50","97071",23,5,2,2
"51","97080",30,9,5,1
"52","97086",31,14,6,1
"53","97089",13,6,3,0
"54","97101",3,1,0,0
"55","97103",9,1,1,1
"56","97106",5,2,0,0
"57","97109",0,0,0,0
"58","97110",1,1,0,0
"59","97111",0,0,0,0
"60","97112",0,0,0,0
"61","97113",11,4,2,0
"62","97114",2,1,0,0
"63","97115",3,2,2,0
"64","97116",11,3,1,1
"65","97117",0,0,0,0
"66","97118",0,0,0,0
"67","97119",2,1,0,0
"68","97121",1,0,0,0
"69","97123",27,13,4,0
"70","97124",37,13,6,3
"71","97125",0,0,0,0
"72","97127",3,1,0,0
"73","97128",16,9,3,2
"74","97131",0,0,0,0
"75","97132",19,8,3,1
"76","97133",3,1,1,1
"77","97136",3,1,0,0
"78","97137",4,2,0,0
"79","97138",2,1,0,0
"80","97140",27,7,2,1
"81","97141",7,3,3,1
"82","97144",0,0,0,0
"83","97146",6,2,0,1
"84","97148",1,1,0,0
"85","97201",13,6,2,0
"86","97202",24,9,2,1
"87","97203",27,6,3,2
"88","97206",35,14,4,2
"89","97209",1,1,0,0
"90","97210",4,1,0,0
"91","97211",18,6,1,1
"92","97212",19,7,3,1
"93","97213",31,11,3,1
"94","97214",14,5,3,1
"95","97215",8,2,0,0
"96","97216",14,4,0,0
"97","97217",13,7,2,3
"98","97218",9,3,1,0
"99","97219",36,20,9,4
"100","97220",22,10,4,1
"101","97221",11,4,2,0
"102","97222",10,5,3,2
"103","97223",59,18,7,2
"104","97224",33,13,5,3
"105","97225",28,14,3,0
"106","97227",2,2,1,0
"107","97229",70,26,9,3
"108","97230",25,6,2,1
"109","97231",4,3,1,1
"110","97232",7,4,1,1
"111","97233",19,6,2,2
"112","97236",8,0,0,0
"113","97238",0,0,0,0
"114","97239",5,1,0,0
"115","97266",24,7,2,0
