"","Zipcodes","Inquiry","Applied","Accepted","Enrolled"
"1","20109",0,0,0,0
"2","20110",0,0,0,0
"3","20111",0,0,0,0
"4","20112",0,0,0,0
"5","20120",0,0,0,0
"6","20132",0,0,0,0
"7","20136",1,1,0,0
"8","20147",0,0,0,0
"9","20151",0,0,0,0
"10","20165",0,0,0,0
"11","20169",0,0,0,0
"12","20176",0,0,0,0
"13","20180",0,0,0,0
"14","20187",0,0,0,0
"15","20189",1,1,1,0
"16","20191",0,0,0,0
"17","22003",0,0,0,0
"18","22026",0,0,0,0
"19","22030",0,0,0,0
"20","22031",0,0,0,0
"21","22032",2,2,1,0
"22","22043",0,0,0,0
"23","22060",0,0,0,0
"24","22066",1,1,0,0
"25","22101",0,0,0,0
"26","22152",0,0,0,0
"27","22153",0,0,0,0
"28","22182",0,0,0,0
"29","22191",0,0,0,0
"30","22192",0,0,0,0
"31","22205",0,0,0,0
"32","22308",0,0,0,0
"33","22312",0,0,0,0
"34","22406",0,0,0,0
"35","22407",0,0,0,0
"36","22408",0,0,0,0
"37","22554",0,0,0,0
"38","22602",0,0,0,0
"39","22611",0,0,0,0
"40","22630",0,0,0,0
"41","22801",0,0,0,0
"42","22827",0,0,0,0
"43","22901",0,0,0,0
"44","22904",0,0,0,0
"45","22911",0,0,0,0
"46","22963",0,0,0,0
"47","22968",1,1,0,0
"48","23005",0,0,0,0
"49","23024",0,0,0,0
"50","23059",0,0,0,0
"51","23060",0,0,0,0
"52","23103",1,1,0,0
"53","23111",0,0,0,0
"54","23116",0,0,0,0
"55","23177",0,0,0,0
"56","23185",0,0,0,0
"57","23223",0,0,0,0
"58","23227",1,1,1,0
"59","23233",0,0,0,0
"60","23238",0,0,0,0
"61","23321",0,0,0,0
"62","23322",0,0,0,0
"63","23323",0,0,0,0
"64","23434",0,0,0,0
"65","23451",0,0,0,0
"66","23452",0,0,0,0
"67","23454",0,0,0,0
"68","23456",0,0,0,0
"69","23464",0,0,0,0
"70","23471",0,0,0,0
"71","23504",1,1,0,0
"72","23507",0,0,0,0
"73","23508",0,0,0,0
"74","23513",0,0,0,0
"75","23608",0,0,0,0
"76","23669",0,0,0,0
"77","23690",0,0,0,0
"78","23701",0,0,0,0
"79","23703",0,0,0,0
"80","23704",0,0,0,0
"81","23707",0,0,0,0
"82","23824",0,0,0,0
"83","23836",0,0,0,0
"84","23860",1,1,1,0
"85","23882",0,0,0,0
"86","23944",0,0,0,0
"87","24016",0,0,0,0
"88","24017",0,0,0,0
"89","24060",1,1,1,0
"90","24067",0,0,0,0
"91","24076",0,0,0,0
"92","24091",0,0,0,0
"93","24151",0,0,0,0
"94","24153",0,0,0,0
"95","24210",0,0,0,0
"96","24244",0,0,0,0
"97","24266",0,0,0,0
"98","24441",0,0,0,0
"99","24486",0,0,0,0
"100","24502",0,0,0,0
"101","24531",0,0,0,0
"102","24541",0,0,0,0
"103","24554",0,0,0,0
