"","Zipcodes","Inquiry","Applied","Accepted","Enrolled"
"1","20109",1,0,0,0
"2","20110",2,0,0,0
"3","20111",1,0,0,0
"4","20112",1,0,0,0
"5","20120",1,0,0,0
"6","20132",2,0,0,0
"7","20136",1,1,0,0
"8","20147",1,0,0,0
"9","20151",1,0,0,0
"10","20165",1,0,0,0
"11","20169",2,1,0,0
"12","20176",1,0,0,0
"13","20180",1,0,0,0
"14","20187",1,0,0,0
"15","20189",1,1,1,0
"16","20191",1,0,0,0
"17","22003",1,0,0,0
"18","22026",2,0,0,0
"19","22030",1,0,0,0
"20","22031",1,0,0,0
"21","22032",4,2,1,0
"22","22043",2,0,0,0
"23","22060",2,0,0,0
"24","22066",3,2,0,0
"25","22101",1,0,0,0
"26","22152",1,0,0,0
"27","22153",1,0,0,0
"28","22182",1,0,0,0
"29","22191",1,0,0,0
"30","22192",1,0,0,0
"31","22205",3,0,0,0
"32","22308",1,0,0,0
"33","22312",2,0,0,0
"34","22406",1,1,0,0
"35","22407",1,0,0,0
"36","22408",1,0,0,0
"37","22554",2,0,0,0
"38","22602",1,0,0,0
"39","22611",1,0,0,0
"40","22630",1,0,0,0
"41","22801",1,0,0,0
"42","22827",1,0,0,0
"43","22901",1,0,0,0
"44","22904",1,0,0,0
"45","22911",1,0,0,0
"46","22963",1,0,0,0
"47","22968",1,1,0,0
"48","23005",1,0,0,0
"49","23024",1,0,0,0
"50","23059",1,0,0,0
"51","23060",1,0,0,0
"52","23103",1,1,0,0
"53","23111",1,0,0,0
"54","23116",2,0,0,0
"55","23177",1,0,0,0
"56","23185",1,0,0,0
"57","23223",1,1,0,0
"58","23227",1,1,1,0
"59","23233",1,0,0,0
"60","23238",1,0,0,0
"61","23321",1,0,0,0
"62","23322",2,0,0,0
"63","23323",2,1,0,0
"64","23434",3,0,0,0
"65","23451",1,0,0,0
"66","23452",2,0,0,0
"67","23454",1,0,0,0
"68","23456",2,0,0,0
"69","23464",1,0,0,0
"70","23471",1,0,0,0
"71","23504",1,1,0,0
"72","23507",2,0,0,0
"73","23508",2,0,0,0
"74","23513",1,0,0,0
"75","23608",1,0,0,0
"76","23669",2,0,0,0
"77","23690",1,0,0,0
"78","23701",1,0,0,0
"79","23703",1,0,0,0
"80","23704",2,0,0,0
"81","23707",1,0,0,0
"82","23824",1,0,0,0
"83","23836",1,0,0,0
"84","23860",1,1,1,0
"85","23882",1,0,0,0
"86","23944",1,0,0,0
"87","24016",1,1,0,0
"88","24017",1,0,0,0
"89","24060",2,1,1,0
"90","24067",1,0,0,0
"91","24076",1,0,0,0
"92","24091",1,0,0,0
"93","24151",1,0,0,0
"94","24153",1,1,0,0
"95","24210",1,0,0,0
"96","24244",1,0,0,0
"97","24266",1,0,0,0
"98","24441",1,0,0,0
"99","24486",1,0,0,0
"100","24502",1,0,0,0
"101","24531",2,0,0,0
"102","24541",1,0,0,0
"103","24554",1,0,0,0
