LAT,LON
0.442859480000000E+02,-0.122745051000000E+03
0.442864480000000E+02,-0.122740493000000E+03
0.442857480000000E+02,-0.122736493000000E+03
0.442882020000000E+02,-0.122724538000000E+03
0.442877550000000E+02,-0.122723658000000E+03
0.442845080000000E+02,-0.122724849000000E+03
0.442831480000000E+02,-0.122723793000000E+03
0.442809480000000E+02,-0.122720693000000E+03
0.442793480000000E+02,-0.122709693000000E+03
0.442799480000000E+02,-0.122699393000000E+03
0.442786480000000E+02,-0.122695292000000E+03
0.442764480000000E+02,-0.122696392000000E+03
0.442756480000000E+02,-0.122695592000000E+03
0.442729490000000E+02,-0.122687392000000E+03
0.442734490000000E+02,-0.122685792000000E+03
0.442737490000000E+02,-0.122679592000000E+03
0.442689620000000E+02,-0.122668035000000E+03
0.442698970000000E+02,-0.122663284000000E+03
0.442712490000000E+02,-0.122659492000000E+03
0.442709490000000E+02,-0.122657492000000E+03
0.442665930000000E+02,-0.122647000000000E+03
0.442612130000000E+02,-0.122643987000000E+03
0.442602080000000E+02,-0.122644243000000E+03
0.442578150000000E+02,-0.122646493000000E+03
0.442572110000000E+02,-0.122646553000000E+03
0.442540450000000E+02,-0.122645969000000E+03
0.442518790000000E+02,-0.122644755000000E+03
0.442492750000000E+02,-0.122640191000000E+03
0.442491390000000E+02,-0.122632104000000E+03
0.442499360000000E+02,-0.122626588000000E+03
0.442498490000000E+02,-0.122623453000000E+03
0.442472270000000E+02,-0.122617169000000E+03
0.442459130000000E+02,-0.122609965000000E+03
0.442442690000000E+02,-0.122607415000000E+03
0.442437830000000E+02,-0.122605549000000E+03
0.442445490000000E+02,-0.122595090000000E+03
0.442422490000000E+02,-0.122592190000000E+03
0.442376490000000E+02,-0.122582990000000E+03
0.442364490000000E+02,-0.122577689000000E+03
0.442344490000000E+02,-0.122576089000000E+03
0.442327490000000E+02,-0.122575889000000E+03
0.442303340000000E+02,-0.122576300000000E+03
0.442290490000000E+02,-0.122577189000000E+03
0.442281490000000E+02,-0.122577089000000E+03
0.442278490000000E+02,-0.122575489000000E+03
0.442284490000000E+02,-0.122570189000000E+03
0.442308490000000E+02,-0.122555788000000E+03
0.442319490000000E+02,-0.122552589000000E+03
0.442344490000000E+02,-0.122550289000000E+03
0.442355490000000E+02,-0.122547789000000E+03
0.442341350000000E+02,-0.122534829000000E+03
0.442323490000000E+02,-0.122532588000000E+03
0.442293490000000E+02,-0.122533388000000E+03
0.442274490000000E+02,-0.122531688000000E+03
0.442267490000000E+02,-0.122529988000000E+03
0.442271490000000E+02,-0.122526088000000E+03
0.442287490000000E+02,-0.122522588000000E+03
0.442310490000000E+02,-0.122519188000000E+03
0.442312490000000E+02,-0.122514188000000E+03
0.442299490000000E+02,-0.122512688000000E+03
0.442290490000000E+02,-0.122512188000000E+03
0.442278670000000E+02,-0.122512282000000E+03
0.442260920000000E+02,-0.122510770000000E+03
0.442233000000000E+02,-0.122507084000000E+03
0.442219950000000E+02,-0.122503174000000E+03
0.442222690000000E+02,-0.122500690000000E+03
0.442222690000000E+02,-0.122500690000000E+03
0.442194100000000E+02,-0.122502317000000E+03
0.442196630000000E+02,-0.122505211000000E+03
0.442187970000000E+02,-0.122510617000000E+03
0.442157060000000E+02,-0.122502989000000E+03
0.442104230000000E+02,-0.122500809000000E+03
0.442056900000000E+02,-0.122500579000000E+03
0.442036550000000E+02,-0.122499528000000E+03
0.442016910000000E+02,-0.122495742000000E+03
0.441980100000000E+02,-0.122492878000000E+03
0.441944660000000E+02,-0.122491730000000E+03
0.441930940000000E+02,-0.122492110000000E+03
0.441860470000000E+02,-0.122499254000000E+03
0.441772680000000E+02,-0.122509443000000E+03
0.441760820000000E+02,-0.122515195000000E+03
0.441741850000000E+02,-0.122519264000000E+03
0.441705970000000E+02,-0.122524350000000E+03
0.441685160000000E+02,-0.122524319000000E+03
0.441650640000000E+02,-0.122527021000000E+03
0.441641060000000E+02,-0.122536934000000E+03
0.441646780000000E+02,-0.122539507000000E+03
0.441687730000000E+02,-0.122547671000000E+03
0.441721130000000E+02,-0.122551419000000E+03
0.441746290000000E+02,-0.122560093000000E+03
0.441757950000000E+02,-0.122562381000000E+03
0.441814910000000E+02,-0.122569119000000E+03
0.441783330000000E+02,-0.122570961000000E+03
0.441756800000000E+02,-0.122570261000000E+03
0.441750630000000E+02,-0.122575631000000E+03
0.441756340000000E+02,-0.122576648000000E+03
0.441820600000000E+02,-0.122579701000000E+03
0.441822420000000E+02,-0.122582084000000E+03
0.441815100000000E+02,-0.122585071000000E+03
0.441804120000000E+02,-0.122584944000000E+03
0.441799090000000E+02,-0.122585484000000E+03
0.441802970000000E+02,-0.122588725000000E+03
0.441837500000000E+02,-0.122590379000000E+03
0.441873630000000E+02,-0.122591367000000E+03
0.441885510000000E+02,-0.122594291000000E+03
0.441890880000000E+02,-0.122598921000000E+03
0.441846630000000E+02,-0.122596417000000E+03
0.441829020000000E+02,-0.122596511000000E+03
0.441804550000000E+02,-0.122597908000000E+03
0.441735030000000E+02,-0.122597841000000E+03
0.441663240000000E+02,-0.122593261000000E+03
0.441632830000000E+02,-0.122590782000000E+03
0.441607230000000E+02,-0.122586713000000E+03
0.441576590000000E+02,-0.122583155000000E+03
0.441499710000000E+02,-0.122581892000000E+03
0.441499710000000E+02,-0.122581892000000E+03
0.441544340000000E+02,-0.122583916000000E+03
0.441583210000000E+02,-0.122589000000000E+03
0.441577720000000E+02,-0.122591540000000E+03
0.441562390000000E+02,-0.122592810000000E+03
0.441558960000000E+02,-0.122594081000000E+03
0.441559630000000E+02,-0.122598782000000E+03
0.441583860000000E+02,-0.122601738000000E+03
0.441643760000000E+02,-0.122607460000000E+03
0.441673940000000E+02,-0.122608575000000E+03
0.441719190000000E+02,-0.122613916000000E+03
0.441690340000000E+02,-0.122622905000000E+03
