LAT,LON
0.458124814308789E+02,-0.119999501994156E+03
0.458043710000000E+02,-0.119999612000000E+03
0.458043710000000E+02,-0.119999612000000E+03
0.457764440000000E+02,-0.120000059000000E+03
0.457498530000000E+02,-0.119999244000000E+03
0.457040040000000E+02,-0.119998852000000E+03
0.457040040000000E+02,-0.119998852000000E+03
0.456248530000000E+02,-0.119998421000000E+03
0.455174310000000E+02,-0.119999243000000E+03
0.455173440000000E+02,-0.120004628000000E+03
0.452793040000000E+02,-0.120006376000000E+03
0.452793040000000E+02,-0.120006376000000E+03
0.452786770000000E+02,-0.120007526000000E+03
0.452792030000000E+02,-0.120008529000000E+03
0.452854210000000E+02,-0.120015353000000E+03
0.452892610000000E+02,-0.120018554000000E+03
0.452935120000000E+02,-0.120020946000000E+03
0.452961190000000E+02,-0.120026091000000E+03
0.453014640000000E+02,-0.120025957000000E+03
0.453037940000000E+02,-0.120024887000000E+03
0.453079760000000E+02,-0.120021970000000E+03
0.453113120000000E+02,-0.120025887000000E+03
0.453115210000000E+02,-0.120036669000000E+03
0.453148350000000E+02,-0.120039096000000E+03
0.453174860000000E+02,-0.120041751000000E+03
0.453177150000000E+02,-0.120045378000000E+03
0.453184230000000E+02,-0.120046835000000E+03
0.453211430000000E+02,-0.120048744000000E+03
0.453268560000000E+02,-0.120055610000000E+03
0.453314720000000E+02,-0.120060047000000E+03
0.453310830000000E+02,-0.120061570000000E+03
0.453278160000000E+02,-0.120062574000000E+03
0.453265370000000E+02,-0.120063578000000E+03
0.453267190000000E+02,-0.120064032000000E+03
0.453296670000000E+02,-0.120064517000000E+03
0.453327970000000E+02,-0.120064420000000E+03
0.453438330000000E+02,-0.120060985000000E+03
0.453483340000000E+02,-0.120060336000000E+03
0.453538630000000E+02,-0.120053465000000E+03
0.453581350000000E+02,-0.120051520000000E+03
0.453611970000000E+02,-0.120049477000000E+03
0.453617680000000E+02,-0.120048569000000E+03
0.453617670000000E+02,-0.120045977000000E+03
0.453632060000000E+02,-0.120044680000000E+03
0.453671590000000E+02,-0.120042992000000E+03
0.453695820000000E+02,-0.120046395000000E+03
0.453723700000000E+02,-0.120049181000000E+03
0.453765690000000E+02,-0.120046140000000E+03
0.453771400000000E+02,-0.120046140000000E+03
0.453788540000000E+02,-0.120049770000000E+03
0.453804770000000E+02,-0.120051715000000E+03
0.453832640000000E+02,-0.120052492000000E+03
0.453903700000000E+02,-0.120058069000000E+03
0.453953970000000E+02,-0.120060079000000E+03
0.453991220000000E+02,-0.120064068000000E+03
0.454009270000000E+02,-0.120067084000000E+03
0.454026400000000E+02,-0.120071430000000E+03
0.454118010000000E+02,-0.120083078000000E+03
0.454150910000000E+02,-0.120085123000000E+03
0.454177880000000E+02,-0.120084475000000E+03
0.454192040000000E+02,-0.120085449000000E+03
0.454299630000000E+02,-0.120094635000000E+03
0.454373860000000E+02,-0.120103695000000E+03
0.454317190000000E+02,-0.120106774000000E+03
0.454296850000000E+02,-0.120106772000000E+03
0.454261670000000E+02,-0.120105796000000E+03
0.454201360000000E+02,-0.120100828000000E+03
0.454148360000000E+02,-0.120097710000000E+03
0.454035500000000E+02,-0.120096892000000E+03
0.453977920000000E+02,-0.120097927000000E+03
0.453931970000000E+02,-0.120099837000000E+03
0.453882370000000E+02,-0.120106417000000E+03
0.453790020000000E+02,-0.120115682000000E+03
0.453765330000000E+02,-0.120117625000000E+03
0.453707600000000E+02,-0.120120304000000E+03
0.453683380000000E+02,-0.120120658000000E+03
0.453666010000000E+02,-0.120120267000000E+03
0.453642930000000E+02,-0.120121465000000E+03
0.453604720000000E+02,-0.120127062000000E+03
0.453590570000000E+02,-0.120130468000000E+03
0.453590150000000E+02,-0.120137209000000E+03
0.453540050000000E+02,-0.120140279000000E+03
0.453042280000000E+02,-0.120142884000000E+03
0.453038140000000E+02,-0.120146425000000E+03
0.453055290000000E+02,-0.120149273000000E+03
0.453060560000000E+02,-0.120152996000000E+03
0.453055780000000E+02,-0.120157628000000E+03
0.453058760000000E+02,-0.120160088000000E+03
0.453069040000000E+02,-0.120162387000000E+03
0.453081610000000E+02,-0.120163390000000E+03
0.453081620000000E+02,-0.120164102000000E+03
0.453024500000000E+02,-0.120170127000000E+03
0.453013540000000E+02,-0.120175858000000E+03
0.453011490000000E+02,-0.120181427000000E+03
0.453016290000000E+02,-0.120184600000000E+03
0.453040520000000E+02,-0.120189393000000E+03
0.453175790000000E+02,-0.120189490000000E+03
0.453205720000000E+02,-0.120188615000000E+03
0.453228570000000E+02,-0.120187060000000E+03
0.453249820000000E+02,-0.120187190000000E+03
0.453274730000000E+02,-0.120189910000000E+03
0.453291640000000E+02,-0.120197782000000E+03
0.453325210000000E+02,-0.120206367000000E+03
0.453309140000000E+02,-0.120210294000000E+03
0.453295500000000E+02,-0.120211064000000E+03
0.453288420000000E+02,-0.120212165000000E+03
0.453276530000000E+02,-0.120216376000000E+03
0.453269550000000E+02,-0.120223272000000E+03
0.453300480000000E+02,-0.120229497000000E+03
0.453314870000000E+02,-0.120231312000000E+03
0.453370170000000E+02,-0.120232968000000E+03
0.453410850000000E+02,-0.120230767000000E+03
0.453435060000000E+02,-0.120233167000000E+03
0.453489870000000E+02,-0.120241467000000E+03
0.453524120000000E+02,-0.120247725000000E+03
0.453535310000000E+02,-0.120248504000000E+03
0.453567070000000E+02,-0.120248183000000E+03
0.453572560000000E+02,-0.120248604000000E+03
0.453567960000000E+02,-0.120255146000000E+03
0.453543560000000E+02,-0.120265002000000E+03
0.453536780000000E+02,-0.120270274000000E+03
0.453536790000000E+02,-0.120275688000000E+03
0.453605340000000E+02,-0.120275529000000E+03
0.453619940000000E+02,-0.120276728000000E+03
0.453622690000000E+02,-0.120280099000000E+03
0.453656990000000E+02,-0.120288591000000E+03
0.453686030000000E+02,-0.120295105000000E+03
0.453714830000000E+02,-0.120298151000000E+03
0.453744810000000E+02,-0.120300570000000E+03
0.453744780000000E+02,-0.120291296000000E+03
0.453817680000000E+02,-0.120291296000000E+03
0.453817030000000E+02,-0.120306877000000E+03
0.453827770000000E+02,-0.120307590000000E+03
0.453940430000000E+02,-0.120308303000000E+03
0.453960310000000E+02,-0.120307297000000E+03
0.454014460000000E+02,-0.120309729000000E+03
0.454028390000000E+02,-0.120310836000000E+03
0.454077300000000E+02,-0.120310345000000E+03
0.454134200000000E+02,-0.120311740000000E+03
0.454208010000000E+02,-0.120315341000000E+03
0.454286160000000E+02,-0.120319885000000E+03
0.454309240000000E+02,-0.120319885000000E+03
0.454465020000000E+02,-0.120317314000000E+03
0.454550670000000E+02,-0.120315191000000E+03
