LAT,LON
0.649406503979962E+02,-0.161138422384202E+03
0.649415980000000E+02,-0.161137295000000E+03
0.649447840000000E+02,-0.161134182000000E+03
0.649473760000000E+02,-0.161133054000000E+03
0.649545040000000E+02,-0.161133642000000E+03
0.649567810000000E+02,-0.161134502000000E+03
0.649618610000000E+02,-0.161138953000000E+03
0.649657930000000E+02,-0.161143335000000E+03
0.649680790000000E+02,-0.161143517000000E+03
0.649715140000000E+02,-0.161143114000000E+03
0.649752640000000E+02,-0.161140744000000E+03
0.649801440000000E+02,-0.161139120000000E+03
0.649872620000000E+02,-0.161141046000000E+03
0.649912320000000E+02,-0.161143400000000E+03
0.649952310000000E+02,-0.161143063000000E+03
0.650006300000000E+02,-0.161140885000000E+03
0.650049020000000E+02,-0.161137280000000E+03
0.650098450000000E+02,-0.161138758000000E+03
0.650179540000000E+02,-0.161134101000000E+03
0.650309830000000E+02,-0.161123078000000E+03
0.650437040000000E+02,-0.161118628000000E+03
0.650588330000000E+02,-0.161121552000000E+03
0.650770140000000E+02,-0.161127000000000E+03
0.650880890000000E+02,-0.161129630000000E+03
0.650929880000000E+02,-0.161134875000000E+03
0.650987840000000E+02,-0.161140067000000E+03
0.651070430000000E+02,-0.161145055000000E+03
0.651101640000000E+02,-0.161146521000000E+03
0.651112110000000E+02,-0.161146243000000E+03
0.651111563874628E+02,-0.161145078338204E+03
0.651111563874628E+02,-0.161145078338204E+03
0.651108520000000E+02,-0.161138587000000E+03
0.651126310000000E+02,-0.161131155000000E+03
0.651211020000000E+02,-0.161121112000000E+03
0.651216110000000E+02,-0.161116492000000E+03
0.651205090000000E+02,-0.161114483000000E+03
0.651168670000000E+02,-0.161116090000000E+03
0.651116990000000E+02,-0.161126334000000E+03
0.651101740000000E+02,-0.161127138000000E+03
0.651069550000000E+02,-0.161125129000000E+03
0.651056850000000E+02,-0.161118501000000E+03
0.651061080000000E+02,-0.161081943000000E+03
0.651074640000000E+02,-0.161069691000000E+03
0.651179680000000E+02,-0.161050810000000E+03
0.651202550000000E+02,-0.161040967000000E+03
0.651161890000000E+02,-0.161020680000000E+03
0.651186460000000E+02,-0.161007624000000E+03
0.651136480000000E+02,-0.161006820000000E+03
0.651102590000000E+02,-0.161007825000000E+03
0.651017880000000E+02,-0.161034138000000E+03
0.650977220000000E+02,-0.161036147000000E+03
0.650953500000000E+02,-0.161029920000000E+03
0.650955280000000E+02,-0.161004332000000E+03
0.650928370000000E+02,-0.160996061000000E+03
0.650936640000000E+02,-0.160980519000000E+03
0.650929420000000E+02,-0.160974654000000E+03
0.650903640000000E+02,-0.160970674000000E+03
0.650868210000000E+02,-0.160971902000000E+03
0.650738430000000E+02,-0.160969772000000E+03
0.650667660000000E+02,-0.160969951000000E+03
0.650649770000000E+02,-0.160971583000000E+03
0.650619080000000E+02,-0.160970825000000E+03
0.650526700000000E+02,-0.160957304000000E+03
0.650488920000000E+02,-0.160953796000000E+03
0.650423710000000E+02,-0.160955508000000E+03
0.650372780000000E+02,-0.160952309000000E+03
0.650335640000000E+02,-0.160943924000000E+03
0.650312550000000E+02,-0.160933073000000E+03
0.650284690000000E+02,-0.160927754000000E+03
0.650225830000000E+02,-0.160924102000000E+03
0.650170270000000E+02,-0.160926143000000E+03
0.650138200000000E+02,-0.160931196000000E+03
0.650127560000000E+02,-0.160934367000000E+03
0.650134600000000E+02,-0.160937516000000E+03
0.650107870000000E+02,-0.160946384000000E+03
0.650079970000000E+02,-0.160950383000000E+03
0.650057800000000E+02,-0.160949691000000E+03
0.649986740000000E+02,-0.160935003000000E+03
0.649911530000000E+02,-0.160941838000000E+03
0.649801990000000E+02,-0.160928219000000E+03
0.649744260000000E+02,-0.160931830000000E+03
0.649700340000000E+02,-0.160940264000000E+03
0.649709010000000E+02,-0.160961200000000E+03
0.649646710000000E+02,-0.160978921000000E+03
0.649580630000000E+02,-0.160981102000000E+03
0.649495080000000E+02,-0.160979771000000E+03
0.649350070000000E+02,-0.160973961000000E+03
0.649327030000000E+02,-0.160975801000000E+03
0.649312060000000E+02,-0.160981065000000E+03
0.649316820000000E+02,-0.160987830000000E+03
0.649363816409420E+02,-0.161000106933893E+03
0.649363816409420E+02,-0.161004378095840E+03
0.649328223347210E+02,-0.161008649264685E+03
0.649369660000000E+02,-0.161022738000000E+03
0.649364960000000E+02,-0.161030081000000E+03
0.649198460000000E+02,-0.161038870000000E+03
0.649163470000000E+02,-0.161043962000000E+03
0.649139320000000E+02,-0.161053164000000E+03
0.649156890000000E+02,-0.161070735000000E+03
0.649228420000000E+02,-0.161090052000000E+03
0.649275800000000E+02,-0.161098474000000E+03
0.649297140000000E+02,-0.161109412000000E+03
0.649320174019503E+02,-0.161127631136527E+03
0.649406503979962E+02,-0.161138422384202E+03
END,END
