LAT,LON
0.307586880000000E+02,-0.880501990000000E+02
0.307593880000000E+02,-0.880495990000000E+02
0.307618880000000E+02,-0.880494990000000E+02
0.307640880000000E+02,-0.880511990000000E+02
0.307642880000000E+02,-0.880570990000000E+02
0.307728870000000E+02,-0.880561990000000E+02
0.307781870000000E+02,-0.880581990000000E+02
0.307781870000000E+02,-0.880605990000000E+02
0.307768870000000E+02,-0.880626990000000E+02
0.307773240000000E+02,-0.880645430000000E+02
0.307773240000000E+02,-0.880645430000000E+02
0.307787210000000E+02,-0.880594500000000E+02
0.307784620000000E+02,-0.880576290000000E+02
0.307727300000000E+02,-0.880556780000000E+02
0.307653730000000E+02,-0.880561060000000E+02
0.307644800000000E+02,-0.880508250000000E+02
0.307612980000000E+02,-0.880483260000000E+02
0.307531630000000E+02,-0.880481920000000E+02
0.307531700000000E+02,-0.880486670000000E+02
0.307531700000000E+02,-0.880486670000000E+02
0.307559880000000E+02,-0.880483990000000E+02
0.307570880000000E+02,-0.880488990000000E+02
0.307574880000000E+02,-0.880504990000000E+02
0.307586880000000E+02,-0.880501990000000E+02
END,END
0.307475880000000E+02,-0.880491990000000E+02
0.307429680000000E+02,-0.880486960000000E+02
0.307336280000000E+02,-0.880423130000000E+02
0.307334880000000E+02,-0.880406980000000E+02
0.307334880000000E+02,-0.880406980000000E+02
0.307278200000000E+02,-0.880409680000000E+02
0.307241230000000E+02,-0.880404640000000E+02
0.307173370000000E+02,-0.880387710000000E+02
0.307148080000000E+02,-0.880369700000000E+02
0.306877550000000E+02,-0.880336740000000E+02
0.306861410000000E+02,-0.880322250000000E+02
0.306841000000000E+02,-0.880290500000000E+02
0.306837650000000E+02,-0.880256320000000E+02
0.306843600000000E+02,-0.880251280000000E+02
0.306885900000000E+02,-0.880252050000000E+02
0.306899890000000E+02,-0.880245970000000E+02
0.306844900000000E+02,-0.880104970000000E+02
0.306844900000000E+02,-0.880104970000000E+02
0.306842362283267E+02,-0.880100458503587E+02
0.306842362283267E+02,-0.880100458503587E+02
0.306831900000000E+02,-0.880124440000000E+02
0.306743164013475E+02,-0.880216176076227E+02
0.306743164013475E+02,-0.880216176076227E+02
0.306743900000000E+02,-0.880215970000000E+02
0.306765900000000E+02,-0.880215970000000E+02
0.306780350000000E+02,-0.880221990000000E+02
0.306792790000000E+02,-0.880228550000000E+02
0.306822310000000E+02,-0.880260740000000E+02
0.306851900000000E+02,-0.880313970000000E+02
0.306862900000000E+02,-0.880346980000000E+02
0.306828800000000E+02,-0.880351080000000E+02
0.306762950000000E+02,-0.880336880000000E+02
0.306678900000000E+02,-0.880293970000000E+02
0.306662590000000E+02,-0.880265930000000E+02
0.306666551741025E+02,-0.880247747429464E+02
0.306666551741025E+02,-0.880247747429464E+02
0.306614900000000E+02,-0.880267060000000E+02
0.306537150000000E+02,-0.880345880000000E+02
0.306535914430438E+02,-0.880356383957104E+02
0.306535914430438E+02,-0.880356383957104E+02
0.306550250000000E+02,-0.880339330000000E+02
0.306564250000000E+02,-0.880332610000000E+02
0.306596250000000E+02,-0.880326200000000E+02
0.306641950000000E+02,-0.880327270000000E+02
0.306650540000000E+02,-0.880332760000000E+02
0.306652900000000E+02,-0.880344210000000E+02
0.306635880000000E+02,-0.880385720000000E+02
0.306615900000000E+02,-0.880405980000000E+02
0.306548760000000E+02,-0.880411200000000E+02
0.306534778758773E+02,-0.880366038651445E+02
0.306534778758773E+02,-0.880366038651445E+02
0.306525680000000E+02,-0.880443390000000E+02
0.306479198406540E+02,-0.880550309168803E+02
0.306479198406540E+02,-0.880550309168803E+02
0.306490910000000E+02,-0.880583980000000E+02
0.306504910000000E+02,-0.880593980000000E+02
0.306561900000000E+02,-0.880556980000000E+02
0.306610900000000E+02,-0.880496980000000E+02
0.306607900000000E+02,-0.880432980000000E+02
0.306662900000000E+02,-0.880361970000000E+02
0.306672900000000E+02,-0.880354970000000E+02
0.306696900000000E+02,-0.880347970000000E+02
0.306748900000000E+02,-0.880365980000000E+02
0.306751900000000E+02,-0.880383980000000E+02
0.306893480000000E+02,-0.880371820000000E+02
0.306893480000000E+02,-0.880371820000000E+02
0.306911890000000E+02,-0.880370980000000E+02
0.307067890000000E+02,-0.880395980000000E+02
0.307251890000000E+02,-0.880431980000000E+02
0.307264890000000E+02,-0.880483980000000E+02
0.307264890000000E+02,-0.880483980000000E+02
0.307273890000000E+02,-0.880465980000000E+02
0.307265890000000E+02,-0.880447980000000E+02
0.307267890000000E+02,-0.880436980000000E+02
0.307335880000000E+02,-0.880436980000000E+02
0.307402880000000E+02,-0.880474990000000E+02
0.307411880000000E+02,-0.880487990000000E+02
0.307444880000000E+02,-0.880495990000000E+02
0.307475880000000E+02,-0.880491990000000E+02
END,END
0.307240250000000E+02,-0.882869120000000E+02
0.307244840000000E+02,-0.882910760000000E+02
0.307207270000000E+02,-0.883042870000000E+02
0.307217580000000E+02,-0.883182380000000E+02
0.307191910000000E+02,-0.883245780000000E+02
0.307162570000000E+02,-0.883268050000000E+02
