LAT,LON
0.325077500000000E+02,-0.850550600000000E+02
0.324924660000000E+02,-0.850372500000000E+02
0.324875330000000E+02,-0.850354050000000E+02
0.324822380000000E+02,-0.850307970000000E+02
0.324751500000000E+02,-0.850298850000000E+02
0.324751500000000E+02,-0.850298850000000E+02
0.324755180000000E+02,-0.850392610000000E+02
0.324714540000000E+02,-0.850523170000000E+02
0.324678860000000E+02,-0.850708780000000E+02
0.324682060000000E+02,-0.850783980000000E+02
0.324699010000000E+02,-0.850878870000000E+02
0.324702210000000E+02,-0.850985110000000E+02
0.324638530000000E+02,-0.851205760000000E+02
0.324600960000000E+02,-0.851447240000000E+02
0.324602570000000E+02,-0.851462090000000E+02
0.324559300000000E+02,-0.851463700000000E+02
0.324562490000000E+02,-0.851483460000000E+02
0.324585640000000E+02,-0.851529370000000E+02
0.324579940000000E+02,-0.851606640000000E+02
0.324587510000000E+02,-0.851661490000000E+02
0.324622700000000E+02,-0.851668240000000E+02
0.324615240000000E+02,-0.851712810000000E+02
0.324570130000000E+02,-0.851867080000000E+02
0.324565320000000E+02,-0.851957860000000E+02
0.324565320000000E+02,-0.851957860000000E+02
0.324663110000000E+02,-0.852000830000000E+02
0.324685330000000E+02,-0.852020550000000E+02
0.324705940000000E+02,-0.852067570000000E+02
0.324707250000000E+02,-0.852026040000000E+02
0.324707200000000E+02,-0.852022400000000E+02
0.324709730000000E+02,-0.851653540000000E+02
0.324733420000000E+02,-0.851685760000000E+02
0.324812450000000E+02,-0.851727090000000E+02
0.324871320000000E+02,-0.851724370000000E+02
0.324907740000000E+02,-0.851748420000000E+02
0.324931340000000E+02,-0.851754090000000E+02
0.324966280000000E+02,-0.851746160000000E+02
0.324969810000000E+02,-0.851725430000000E+02
0.324996950000000E+02,-0.851710020000000E+02
0.325037160000000E+02,-0.851710860000000E+02
0.325069010000000E+02,-0.851722750000000E+02
0.325090310000000E+02,-0.851723560000000E+02
0.325079730000000E+02,-0.851663160000000E+02
0.325079730000000E+02,-0.851663160000000E+02
0.325071260000000E+02,-0.851533000000000E+02
0.325058660000000E+02,-0.851518400000000E+02
0.325025680000000E+02,-0.851500840000000E+02
0.325006180000000E+02,-0.851469230000000E+02
0.325004680000000E+02,-0.851399230000000E+02
0.325011670000000E+02,-0.851399880000000E+02
0.325027460000000E+02,-0.851360560000000E+02
0.325006600000000E+02,-0.851327060000000E+02
0.325011000000000E+02,-0.851108480000000E+02
0.325005400000000E+02,-0.851071360000000E+02
0.325144120000000E+02,-0.851035520000000E+02
0.325178680000000E+02,-0.850979040000000E+02
0.325139000000000E+02,-0.850917430000000E+02
0.324976760000000E+02,-0.850892470000000E+02
0.324952450000000E+02,-0.850878390000000E+02
0.324934210000000E+02,-0.850910230000000E+02
0.324930210000000E+02,-0.850947830000000E+02
0.324890050000000E+02,-0.850942390000000E+02
0.324888130000000E+02,-0.850860790000000E+02
0.324892900000000E+02,-0.850799930000000E+02
0.324934370000000E+02,-0.850688460000000E+02
0.324964130000000E+02,-0.850667660000000E+02
0.325002690000000E+02,-0.850605740000000E+02
0.325045720000000E+02,-0.850608140000000E+02
0.325076520000000E+02,-0.850608140000000E+02
0.325077400000000E+02,-0.850608140000000E+02
0.325077500000000E+02,-0.850550600000000E+02
END,END
