LAT,LON
0.343534150000000E+02,-0.941666300000000E+02
0.343528970000000E+02,-0.941497190000000E+02
0.343529290000000E+02,-0.940995600000000E+02
0.343521040000000E+02,-0.940314160000000E+02
0.343501020000000E+02,-0.939353710000000E+02
0.343501020000000E+02,-0.939353710000000E+02
0.343100870000000E+02,-0.939361570000000E+02
0.343118670000000E+02,-0.939257130000000E+02
0.343105340000000E+02,-0.939045420000000E+02
0.343116770000000E+02,-0.938999010000000E+02
0.343116770000000E+02,-0.938999010000000E+02
0.343083330000000E+02,-0.938992710000000E+02
0.343030860000000E+02,-0.938926770000000E+02
0.343020770000000E+02,-0.938893370000000E+02
0.343008770000000E+02,-0.938806760000000E+02
0.343008770000000E+02,-0.938806760000000E+02
0.343010630000000E+02,-0.938772490000000E+02
0.342993900000000E+02,-0.938729960000000E+02
0.342978330000000E+02,-0.938726640000000E+02
0.342973970000000E+02,-0.938740710000000E+02
0.342955420000000E+02,-0.938754930000000E+02
0.342924730000000E+02,-0.938755770000000E+02
0.342928400000000E+02,-0.938706180000000E+02
0.342943530000000E+02,-0.938688530000000E+02
0.342963690000000E+02,-0.938680260000000E+02
0.342979280000000E+02,-0.938646330000000E+02
0.342966020000000E+02,-0.938593610000000E+02
0.342959600000000E+02,-0.938586980000000E+02
0.342932800000000E+02,-0.938591930000000E+02
0.342891800000000E+02,-0.938593280000000E+02
0.342885160000000E+02,-0.938589690000000E+02
0.342857690000000E+02,-0.938528690000000E+02
0.342835710000000E+02,-0.938497490000000E+02
0.342820370000000E+02,-0.938494450000000E+02
0.342802490000000E+02,-0.938509710000000E+02
0.342803390000000E+02,-0.938575020000000E+02
0.342811160000000E+02,-0.938626620000000E+02
0.342802670000000E+02,-0.938647310000000E+02
0.342767830000000E+02,-0.938699710000000E+02
0.342767130000000E+02,-0.938743590000000E+02
0.342784810000000E+02,-0.938811830000000E+02
0.342768790000000E+02,-0.938837500000000E+02
0.342717730000000E+02,-0.938898230000000E+02
0.342687280000000E+02,-0.938920320000000E+02
0.342668040000000E+02,-0.938916190000000E+02
0.342615810000000E+02,-0.938918700000000E+02
0.342575730000000E+02,-0.938937760000000E+02
0.342542060000000E+02,-0.938941900000000E+02
0.342491870000000E+02,-0.938930640000000E+02
0.342491870000000E+02,-0.938930640000000E+02
0.342473120000000E+02,-0.939050920000000E+02
0.342471990000000E+02,-0.939106630000000E+02
0.342459860000000E+02,-0.939174760000000E+02
0.342476360000000E+02,-0.939221920000000E+02
0.342478770000000E+02,-0.939245860000000E+02
0.342505930000000E+02,-0.939245180000000E+02
0.342629850000000E+02,-0.939243400000000E+02
0.342630970000000E+02,-0.939327280000000E+02
0.342631540000000E+02,-0.939370060000000E+02
0.342684710000000E+02,-0.939369040000000E+02
0.343014980000000E+02,-0.939363260000000E+02
0.342997730000000E+02,-0.939374440000000E+02
0.343002540000000E+02,-0.939436270000000E+02
0.342996580000000E+02,-0.939448970000000E+02
0.342972990000000E+02,-0.939462490000000E+02
0.342969550000000E+02,-0.939470490000000E+02
0.343017420000000E+02,-0.939521010000000E+02
0.343057270000000E+02,-0.939543370000000E+02
0.343089330000000E+02,-0.939593890000000E+02
0.343126180000000E+02,-0.939722260000000E+02
0.343133270000000E+02,-0.939772500000000E+02
0.343154790000000E+02,-0.939771690000000E+02
0.343158680000000E+02,-0.939833520000000E+02
0.343150260000000E+02,-0.939904400000000E+02
0.343108480000000E+02,-0.939922090000000E+02
