LAT,LON
0.354451830000000E+02,-0.940827720000000E+02
0.354474500000000E+02,-0.940731140000000E+02
0.354499920000000E+02,-0.940669290000000E+02
0.354550080000000E+02,-0.940583650000000E+02
0.354563360000000E+02,-0.940548390000000E+02
0.354622670000000E+02,-0.940495480000000E+02
0.354635020000000E+02,-0.940478130000000E+02
0.354641890000000E+02,-0.940424940000000E+02
0.354667540000000E+02,-0.940425780000000E+02
0.354672350000000E+02,-0.940429980000000E+02
0.354680820000000E+02,-0.940447890000000E+02
0.354686365462891E+02,-0.940502651115234E+02
0.354673270000000E+02,-0.940554540000000E+02
0.354658390000000E+02,-0.940578890000000E+02
0.354641910000000E+02,-0.940585610000000E+02
0.354637560000000E+02,-0.940599320000000E+02
0.354656110000000E+02,-0.940596800000000E+02
0.354674420000000E+02,-0.940575250000000E+02
0.354697491208984E+02,-0.940536847494141E+02
0.354699693208984E+02,-0.940505941494141E+02
0.354710823208984E+02,-0.940524415494141E+02
0.354715410000000E+02,-0.940522900000000E+02
0.354704880000000E+02,-0.940553420000000E+02
0.354708540000000E+02,-0.940578330000000E+02
0.354736710000000E+02,-0.940601560000000E+02
0.354759610000000E+02,-0.940581690000000E+02
0.354788460000000E+02,-0.940571610000000E+02
0.354792360000000E+02,-0.940539970000000E+02
0.354801970000000E+02,-0.940535210000000E+02
0.354806100000000E+02,-0.940539970000000E+02
0.354798770000000E+02,-0.940569370000000E+02
0.354796710000000E+02,-0.940610520000000E+02
0.354819380000000E+02,-0.940624800000000E+02
0.354833589871094E+02,-0.940618422925781E+02
0.354852549871094E+02,-0.940639926925781E+02
0.354848973871094E+02,-0.940662774925781E+02
0.354858177871094E+02,-0.940689318925781E+02
0.354856395871094E+02,-0.940643118925781E+02
0.354836061871094E+02,-0.940616238925781E+02
0.354819610000000E+02,-0.940606600000000E+02
0.354822130000000E+02,-0.940583650000000E+02
0.354834260000000E+02,-0.940580570000000E+02
0.354831970000000E+02,-0.940595680000000E+02
0.354845490000000E+02,-0.940613320000000E+02
0.354866785017578E+02,-0.940618072126953E+02
0.354881210000000E+02,-0.940616120000000E+02
0.354842050000000E+02,-0.940601000000000E+02
0.354848920000000E+02,-0.940587000000000E+02
0.354847320000000E+02,-0.940575530000000E+02
0.354833810000000E+02,-0.940562090000000E+02
0.354821440000000E+02,-0.940573290000000E+02
0.354815940000000E+02,-0.940596520000000E+02
0.354809530000000E+02,-0.940594280000000E+02
0.354808840000000E+02,-0.940564890000000E+02
0.354815710000000E+02,-0.940551170000000E+02
0.354815480000000E+02,-0.940537450000000E+02
0.354810220000000E+02,-0.940526250000000E+02
0.354793960000000E+02,-0.940514780000000E+02
0.354798080000000E+02,-0.940489300000000E+02
0.354819830000000E+02,-0.940453170000000E+02
0.354822800000000E+02,-0.940414540000000E+02
0.354846390000000E+02,-0.940398850000000E+02
0.354858980000000E+02,-0.940406130000000E+02
0.354875710000000E+02,-0.940457080000000E+02
0.354894720000000E+02,-0.940483130000000E+02
0.354889450000000E+02,-0.940506650000000E+02
0.354897010000000E+02,-0.940516730000000E+02
0.354908690000000E+02,-0.940517000000000E+02
0.354939600000000E+02,-0.940495160000000E+02
0.354966160000000E+02,-0.940457910000000E+02
0.354991350000000E+02,-0.940438300000000E+02
0.355009700000000E+02,-0.940406200000000E+02
0.355004590000000E+02,-0.940348380000000E+02
0.355017980000000E+02,-0.940331860000000E+02
0.355044310000000E+02,-0.940323720000000E+02
0.355040870000000E+02,-0.940315320000000E+02
0.355010500000000E+02,-0.940333970000000E+02
0.355002490000000E+02,-0.940346170000000E+02
0.355000860000000E+02,-0.940360880000000E+02
0.354991870000000E+02,-0.940380730000000E+02
0.354992660000000E+02,-0.940409030000000E+02
0.354968980000000E+02,-0.940451930000000E+02
0.354931760000000E+02,-0.940495890000000E+02
0.354918010000000E+02,-0.940506760000000E+02
0.354898160000000E+02,-0.940512690000000E+02
0.354893180000000E+02,-0.940505500000000E+02
0.354897700000000E+02,-0.940475800000000E+02
0.354882350000000E+02,-0.940457640000000E+02
0.354873410000000E+02,-0.940432440000000E+02
0.354878220000000E+02,-0.940398280000000E+02
0.354869740000000E+02,-0.940382050000000E+02
0.354837220000000E+02,-0.940391010000000E+02
0.354813870000000E+02,-0.940408380000000E+02
0.354790100000000E+02,-0.940438200000000E+02
0.354785710000000E+02,-0.940467750000000E+02
0.354768310000000E+02,-0.940480350000000E+02
0.354763720000000E+02,-0.940474470000000E+02
0.354750900000000E+02,-0.940471110000000E+02
0.354738530000000E+02,-0.940475030000000E+02
0.354736250000000E+02,-0.940488190000000E+02
0.354762810000000E+02,-0.940534940000000E+02
0.354760520000000E+02,-0.940546130000000E+02
0.354753420000000E+02,-0.940545290000000E+02
0.354730290000000E+02,-0.940518700000000E+02
0.354719990000000E+02,-0.940488470000000E+02
0.354701430000000E+02,-0.940455160000000E+02
0.354709410526367E+02,-0.940438725882812E+02
