LAT,LON
0.339998540000000E+02,-0.111710670000000E+03
0.339998440000000E+02,-0.111648880000000E+03
0.339998440000000E+02,-0.111648880000000E+03
0.339987810000000E+02,-0.111650796000000E+03
0.339928500000000E+02,-0.111656656000000E+03
0.339903090000000E+02,-0.111664769000000E+03
0.339874920000000E+02,-0.111670682000000E+03
0.339864380000000E+02,-0.111671122000000E+03
0.339844000000000E+02,-0.111670683000000E+03
0.339787420000000E+02,-0.111673076000000E+03
0.339759940000000E+02,-0.111679400000000E+03
0.339745740000000E+02,-0.111681297000000E+03
0.339720310000000E+02,-0.111683002000000E+03
0.339685260000000E+02,-0.111687923000000E+03
0.339701760000000E+02,-0.111693121000000E+03
0.339668770000000E+02,-0.111697162000000E+03
0.339626160000000E+02,-0.111697574000000E+03
0.339632580000000E+02,-0.111693038000000E+03
0.339610810000000E+02,-0.111690205000000E+03
0.339523310000000E+02,-0.111682783000000E+03
0.339493980000000E+02,-0.111683141000000E+03
0.339445980000000E+02,-0.111682934000000E+03
0.339445980000000E+02,-0.111682934000000E+03
0.339481840000000E+02,-0.111685642000000E+03
0.339494900000000E+02,-0.111689792000000E+03
0.339490780000000E+02,-0.111691249000000E+03
0.339458930000000E+02,-0.111696636000000E+03
0.339442430000000E+02,-0.111700978000000E+03
0.339438540000000E+02,-0.111703699000000E+03
0.339323750000000E+02,-0.111715405000000E+03
0.339301060000000E+02,-0.111717163000000E+03
0.339277240000000E+02,-0.111717272000000E+03
0.339241050000000E+02,-0.111715703000000E+03
0.339233490000000E+02,-0.111716143000000E+03
0.339194300000000E+02,-0.111723067000000E+03
0.339180080000000E+02,-0.111727737000000E+03
0.339177320000000E+02,-0.111730594000000E+03
0.339127360000000E+02,-0.111737653000000E+03
0.339064110000000E+02,-0.111741660000000E+03
0.339026050000000E+02,-0.111749652000000E+03
0.339010480000000E+02,-0.111750699000000E+03
0.338987800000000E+02,-0.111751103000000E+03
0.338978170000000E+02,-0.111750226000000E+03
0.338897090000000E+02,-0.111748654000000E+03
0.338868460000000E+02,-0.111748350000000E+03
0.338848530000000E+02,-0.111748898000000E+03
0.338823560000000E+02,-0.111747989000000E+03
0.338732580000000E+02,-0.111741751000000E+03
0.338722880000000E+02,-0.111742875000000E+03
0.338713700000000E+02,-0.111745291000000E+03
0.338715980000000E+02,-0.111750698000000E+03
0.338708890000000E+02,-0.111754709000000E+03
0.338694020000000E+02,-0.111758389000000E+03
0.338685550000000E+02,-0.111759131000000E+03
0.338618670000000E+02,-0.111761414000000E+03
0.338596920000000E+02,-0.111766523000000E+03
0.338590760000000E+02,-0.111772344000000E+03
0.338571300000000E+02,-0.111775914000000E+03
0.338504650000000E+02,-0.111783659000000E+03
0.338475530000000E+02,-0.111786128000000E+03
0.338462970000000E+02,-0.111785198000000E+03
0.338443720000000E+02,-0.111782371000000E+03
0.338394000000000E+02,-0.111779298000000E+03
0.338370350000000E+02,-0.111778909000000E+03
0.338358990000000E+02,-0.111781103000000E+03
0.338350770000000E+02,-0.111786611000000E+03
0.338168500000000E+02,-0.111786787000000E+03
0.338152560000000E+02,-0.111784904000000E+03
0.338138950000000E+02,-0.111784665000000E+03
0.338138830000000E+02,-0.111788333000000E+03
0.338138770000000E+02,-0.111838043000000E+03
0.338381420000000E+02,-0.111829308000000E+03
0.338478470000000E+02,-0.111826291000000E+03
0.338509710000000E+02,-0.111813503000000E+03
0.338499630000000E+02,-0.111807847000000E+03
0.338481320000000E+02,-0.111804608000000E+03
0.338463900000000E+02,-0.111794202000000E+03
0.338488360000000E+02,-0.111786507000000E+03
0.338511990000000E+02,-0.111787035000000E+03
0.338544530000000E+02,-0.111790192000000E+03
0.338636160000000E+02,-0.111795820000000E+03
0.338698700000000E+02,-0.111796972000000E+03
0.338733060000000E+02,-0.111802629000000E+03
0.338746100000000E+02,-0.111809027000000E+03
0.338767130000000E+02,-0.111811964000000E+03
0.338802400000000E+02,-0.111814491000000E+03
