LAT,LON
0.334652420000000E+02,-0.112238009000000E+03
0.334623940000000E+02,-0.112238021000000E+03
0.334623940000000E+02,-0.112238021000000E+03
0.334619140000000E+02,-0.112254821000000E+03
0.334614500000000E+02,-0.112254821000000E+03
0.334615420000000E+02,-0.112250709000000E+03
0.334551420000000E+02,-0.112242509000000E+03
0.334516200000000E+02,-0.112240509000000E+03
0.334437390000000E+02,-0.112240443000000E+03
0.334438420000000E+02,-0.112238309000000E+03
0.334229430000000E+02,-0.112238808000000E+03
0.334210430000000E+02,-0.112255809000000E+03
0.334064430000000E+02,-0.112255209000000E+03
0.333953710000000E+02,-0.112254117000000E+03
0.333952760000000E+02,-0.112237221000000E+03
0.333899300000000E+02,-0.112237192000000E+03
0.333899300000000E+02,-0.112237192000000E+03
0.333873430000000E+02,-0.112254208000000E+03
0.333834430000000E+02,-0.112262109000000E+03
0.333832590000000E+02,-0.112271717000000E+03
0.333812590000000E+02,-0.112272517000000E+03
0.333812590000000E+02,-0.112272517000000E+03
0.333814670000000E+02,-0.112280405000000E+03
0.333793810000000E+02,-0.112288081000000E+03
0.333793810000000E+02,-0.112288081000000E+03
0.333812430000000E+02,-0.112289158000000E+03
0.333852430000000E+02,-0.112300610000000E+03
0.333815430000000E+02,-0.112306810000000E+03
0.333807430000000E+02,-0.112318411000000E+03
0.333830430000000E+02,-0.112323511000000E+03
0.333830430000000E+02,-0.112323511000000E+03
0.334355300000000E+02,-0.112323624000000E+03
0.334355420000000E+02,-0.112306311000000E+03
0.334496900000000E+02,-0.112306391000000E+03
0.334499140000000E+02,-0.112289703000000E+03
0.334616260000000E+02,-0.112289751000000E+03
0.334617380000000E+02,-0.112272422000000E+03
0.334647420000000E+02,-0.112272410000000E+03
0.334647420000000E+02,-0.112272410000000E+03
0.334652420000000E+02,-0.112238009000000E+03
END,END
