LAT,LON
0.340070110000000E+02,-0.118396110000000E+03
0.340058110000000E+02,-0.118398810000000E+03
0.339995110000000E+02,-0.118401110000000E+03
0.339946040000000E+02,-0.118404529000000E+03
0.339920120000000E+02,-0.118407610000000E+03
0.339882330000000E+02,-0.118413532000000E+03
0.339882330000000E+02,-0.118413532000000E+03
0.339788110000000E+02,-0.118425210000000E+03
0.339746110000000E+02,-0.118432011000000E+03
0.339746110000000E+02,-0.118432011000000E+03
0.339614218587762E+02,-0.118455751454203E+03
0.339614218587762E+02,-0.118455751454203E+03
0.339624613540333E+02,-0.118456408416360E+03
0.339624613540333E+02,-0.118456408416360E+03
0.339642110000000E+02,-0.118451611000000E+03
0.339752110000000E+02,-0.118432411000000E+03
0.339807220000000E+02,-0.118424000000000E+03
0.339807220000000E+02,-0.118424000000000E+03
0.339870110000000E+02,-0.118415910000000E+03
0.339870110000000E+02,-0.118415910000000E+03
0.339940120000000E+02,-0.118405610000000E+03
0.339968110000000E+02,-0.118403110000000E+03
0.339997110000000E+02,-0.118401510000000E+03
0.340058110000000E+02,-0.118399110000000E+03
0.340067110000000E+02,-0.118397810000000E+03
0.340070110000000E+02,-0.118396110000000E+03
END,END
0.339798130000000E+02,-0.118169503000000E+03
0.339797130000000E+02,-0.118168403000000E+03
0.339797130000000E+02,-0.118168403000000E+03
0.339760140000000E+02,-0.118168603000000E+03
0.339543140000000E+02,-0.118171903000000E+03
0.339543140000000E+02,-0.118171903000000E+03
0.339407140000000E+02,-0.118174303000000E+03
0.339324140000000E+02,-0.118175203000000E+03
0.339518140000000E+02,-0.118158903000000E+03
0.339518140000000E+02,-0.118158903000000E+03
0.339538140000000E+02,-0.118156403000000E+03
0.339538140000000E+02,-0.118156403000000E+03
0.339518140000000E+02,-0.118158603000000E+03
0.339518140000000E+02,-0.118158603000000E+03
0.339320140000000E+02,-0.118175203000000E+03
0.339183150000000E+02,-0.118176703000000E+03
0.339183150000000E+02,-0.118176703000000E+03
0.339184780000000E+02,-0.118177720000000E+03
0.339184780000000E+02,-0.118177720000000E+03
0.339306080000000E+02,-0.118176319000000E+03
0.339306080000000E+02,-0.118176319000000E+03
0.339565140000000E+02,-0.118172603000000E+03
0.339565140000000E+02,-0.118172603000000E+03
0.339798130000000E+02,-0.118169503000000E+03
END,END
0.338550160000000E+02,-0.118278805000000E+03
0.338536160000000E+02,-0.118275605000000E+03
0.338354170000000E+02,-0.118257704000000E+03
0.338354170000000E+02,-0.118257704000000E+03
0.338278090000000E+02,-0.118249864000000E+03
0.338241170000000E+02,-0.118242504000000E+03
0.338241170000000E+02,-0.118242504000000E+03
0.338162170000000E+02,-0.118238904000000E+03
0.338154170000000E+02,-0.118231803000000E+03
0.338140170000000E+02,-0.118229703000000E+03
0.338062170000000E+02,-0.118227803000000E+03
0.338063170000000E+02,-0.118228203000000E+03
0.338139170000000E+02,-0.118230003000000E+03
0.338152170000000E+02,-0.118232703000000E+03
0.338152170000000E+02,-0.118232703000000E+03
0.338159170000000E+02,-0.118239204000000E+03
0.338243170000000E+02,-0.118243304000000E+03
0.338277290000000E+02,-0.118250376000000E+03
0.338317170000000E+02,-0.118254804000000E+03
0.338534160000000E+02,-0.118275805000000E+03
0.338548160000000E+02,-0.118279005000000E+03
0.338548160000000E+02,-0.118279005000000E+03
0.338550160000000E+02,-0.118278805000000E+03
END,END
