LAT,LON
0.327908540000000E+02,-0.115701338000000E+03
0.327908550000000E+02,-0.115698342000000E+03
0.327931920000000E+02,-0.115698017000000E+03
0.327962840000000E+02,-0.115696390000000E+03
0.327963760000000E+02,-0.115690503000000E+03
0.327963760000000E+02,-0.115690503000000E+03
0.327962600000000E+02,-0.115676535000000E+03
0.327944970000000E+02,-0.115681228000000E+03
0.327846010000000E+02,-0.115680985000000E+03
0.327840510000000E+02,-0.115685812000000E+03
0.327842500000000E+02,-0.115696280000000E+03
0.327877390000000E+02,-0.115699752000000E+03
0.327908540000000E+02,-0.115701338000000E+03
END,END
