LAT,LON
0.396676840000000E+02,-0.104669855000000E+03
0.396677410000000E+02,-0.104662996000000E+03
0.396666200000000E+02,-0.104661733000000E+03
0.396656700000000E+02,-0.104661325000000E+03
0.396618650000000E+02,-0.104661633000000E+03
0.396544120000000E+02,-0.104656813000000E+03
0.396516420000000E+02,-0.104653883000000E+03
0.396496980000000E+02,-0.104649403000000E+03
0.396496740000000E+02,-0.104644790000000E+03
0.396440210000000E+02,-0.104635405000000E+03
0.396382810000000E+02,-0.104623015000000E+03
0.396246770000000E+02,-0.104622176000000E+03
0.396207660000000E+02,-0.104622722000000E+03
0.396019120000000E+02,-0.104619618000000E+03
0.396014850000000E+02,-0.104617931000000E+03
0.395967800000000E+02,-0.104615651000000E+03
0.395947780000000E+02,-0.104615831000000E+03
0.395935950000000E+02,-0.104617329000000E+03
0.395915800000000E+02,-0.104618218000000E+03
0.395897260000000E+02,-0.104617643000000E+03
0.395843720000000E+02,-0.104614158000000E+03
0.395777610000000E+02,-0.104614334000000E+03
0.395749230000000E+02,-0.104612601000000E+03
0.395690640000000E+02,-0.104607547000000E+03
0.395685240000000E+02,-0.104606188000000E+03
0.395682580000000E+02,-0.104600967000000E+03
0.395657330000000E+02,-0.104600873000000E+03
0.395657330000000E+02,-0.104600873000000E+03
0.395660880000000E+02,-0.104785230000000E+03
0.395660880000000E+02,-0.104785230000000E+03
0.395659880000000E+02,-0.104794130000000E+03
0.395659880000000E+02,-0.104794130000000E+03
0.395688000000000E+02,-0.104793535000000E+03
0.395781770000000E+02,-0.104797547000000E+03
0.395794820000000E+02,-0.104800593000000E+03
0.395827180000000E+02,-0.104803779000000E+03
0.395879240000000E+02,-0.104804215000000E+03
0.395915880000000E+02,-0.104808631000000E+03
0.395949880000000E+02,-0.104820431000000E+03
0.395950880000000E+02,-0.104822331000000E+03
0.395950880000000E+02,-0.104822331000000E+03
0.395984880000000E+02,-0.104821431000000E+03
0.396015880000000E+02,-0.104821531000000E+03
0.396054200000000E+02,-0.104826045000000E+03
0.396194880000000E+02,-0.104839832000000E+03
0.396205880000000E+02,-0.104840032000000E+03
0.396240880000000E+02,-0.104844032000000E+03
0.396245880000000E+02,-0.104848832000000E+03
0.396334880000000E+02,-0.104854232000000E+03
0.396334880000000E+02,-0.104854232000000E+03
0.396343880000000E+02,-0.104853632000000E+03
0.396346880000000E+02,-0.104851432000000E+03
0.396321880000000E+02,-0.104850932000000E+03
0.396321880000000E+02,-0.104847132000000E+03
0.396333880000000E+02,-0.104848832000000E+03
0.396362880000000E+02,-0.104848932000000E+03
0.396371880000000E+02,-0.104844032000000E+03
0.396320880000000E+02,-0.104839331000000E+03
0.396294880000000E+02,-0.104840631000000E+03
0.396270880000000E+02,-0.104840231000000E+03
0.396254880000000E+02,-0.104835131000000E+03
0.396205880000000E+02,-0.104833031000000E+03
0.396205880000000E+02,-0.104833031000000E+03
0.396153890000000E+02,-0.104832632000000E+03
0.396109890000000E+02,-0.104828532000000E+03
0.396125890000000E+02,-0.104822832000000E+03
0.396056890000000E+02,-0.104822732000000E+03
0.396047890000000E+02,-0.104821232000000E+03
0.396066830000000E+02,-0.104815224000000E+03
0.396108880000000E+02,-0.104807230000000E+03
0.396090880000000E+02,-0.104800730000000E+03
0.396113880000000E+02,-0.104795830000000E+03
0.396100130000000E+02,-0.104792785000000E+03
0.396105930000000E+02,-0.104778956000000E+03
0.396098390000000E+02,-0.104767311000000E+03
0.396077100000000E+02,-0.104758752000000E+03
0.396084980000000E+02,-0.104756775000000E+03
0.396122880000000E+02,-0.104755328000000E+03
0.396089880000000E+02,-0.104747528000000E+03
0.396052880000000E+02,-0.104734828000000E+03
0.396062580000000E+02,-0.104732125000000E+03
0.396062580000000E+02,-0.104730696000000E+03
0.396040300000000E+02,-0.104726713000000E+03
0.396022050000000E+02,-0.104725072000000E+03
0.396011880000000E+02,-0.104722827000000E+03
0.396022880000000E+02,-0.104716127000000E+03
0.396222050000000E+02,-0.104716065000000E+03
0.396288220000000E+02,-0.104712631000000E+03
0.396307660000000E+02,-0.104712297000000E+03
0.396326380000000E+02,-0.104712571000000E+03
0.396349850000000E+02,-0.104713879000000E+03
0.396351030000000E+02,-0.104714790000000E+03
0.396363830000000E+02,-0.104716013000000E+03
0.396386880000000E+02,-0.104715727000000E+03
0.396386880000000E+02,-0.104715727000000E+03
0.396386390000000E+02,-0.104679951000000E+03
0.396475910000000E+02,-0.104676916000000E+03
0.396493010000000E+02,-0.104676856000000E+03
0.396502650000000E+02,-0.104678621000000E+03
0.396517060000000E+02,-0.104678738000000E+03
0.396577750000000E+02,-0.104677279000000E+03
0.396629210000000E+02,-0.104674704000000E+03
0.396628670000000E+02,-0.104674100000000E+03
0.396637590000000E+02,-0.104673016000000E+03
0.396665460000000E+02,-0.104670308000000E+03
0.396676840000000E+02,-0.104669855000000E+03
END,END
