LAT,LON
0.397402420000000E+02,-0.103847598000000E+03
0.397401320000000E+02,-0.103797357000000E+03
0.397351880000000E+02,-0.103833517000000E+03
0.397344070000000E+02,-0.103845846000000E+03
0.397374050000000E+02,-0.103845818000000E+03
0.397402420000000E+02,-0.103847598000000E+03
END,END
0.391719840000000E+02,-0.105026169000000E+03
0.391727170000000E+02,-0.105029373000000E+03
0.391758530000000E+02,-0.105031548000000E+03
0.391797210000000E+02,-0.105030693000000E+03
0.391813920000000E+02,-0.105030957000000E+03
0.391830640000000E+02,-0.105033544000000E+03
0.391833850000000E+02,-0.105035985000000E+03
0.391832020000000E+02,-0.105036603000000E+03
0.391815540000000E+02,-0.105036545000000E+03
0.391799060000000E+02,-0.105037986000000E+03
0.391800210000000E+02,-0.105038810000000E+03
0.391896820000000E+02,-0.105049925000000E+03
0.391916960000000E+02,-0.105051660000000E+03
0.392030480000000E+02,-0.105050805000000E+03
0.392038720000000E+02,-0.105051246000000E+03
0.392054970000000E+02,-0.105053481000000E+03
0.392103720000000E+02,-0.105056982000000E+03
0.392201460000000E+02,-0.105059305000000E+03
0.392183380000000E+02,-0.105068750000000E+03
0.392208320000000E+02,-0.105070810000000E+03
0.392291400000000E+02,-0.105081730000000E+03
0.392311750000000E+02,-0.105089087000000E+03
0.392312890000000E+02,-0.105093384000000E+03
0.392352920000000E+02,-0.105101097000000E+03
0.392380600000000E+02,-0.105104395000000E+03
0.392374410000000E+02,-0.105107014000000E+03
0.392381270000000E+02,-0.105109545000000E+03
0.392388820000000E+02,-0.105110399000000E+03
0.392463880000000E+02,-0.105113937000000E+03
0.392486980000000E+02,-0.105117412000000E+03
0.392560980000000E+02,-0.105117888000000E+03
0.392602870000000E+02,-0.105116920000000E+03
0.392665370000000E+02,-0.105112538000000E+03
0.392686900000000E+02,-0.105109742000000E+03
0.392728330000000E+02,-0.105108067000000E+03
0.392791050000000E+02,-0.105107128000000E+03
0.392831580000000E+02,-0.105102772000000E+03
0.392838680000000E+02,-0.105100799000000E+03
0.392852870000000E+02,-0.105098973000000E+03
0.392919500000000E+02,-0.105092173000000E+03
0.392936440000000E+02,-0.105091849000000E+03
0.392987480000000E+02,-0.105092087000000E+03
0.393069880000000E+02,-0.105088467000000E+03
0.393157320000000E+02,-0.105086231000000E+03
0.393277010000000E+02,-0.105086972000000E+03
0.393322100000000E+02,-0.105088358000000E+03
0.393328970000000E+02,-0.105087975000000E+03
0.393347970000000E+02,-0.105082818000000E+03
0.393393980000000E+02,-0.105079901000000E+03
0.393458530000000E+02,-0.105077073000000E+03
0.393490570000000E+02,-0.105076838000000E+03
0.393503390000000E+02,-0.105074627000000E+03
0.393510260000000E+02,-0.105072151000000E+03
0.393484630000000E+02,-0.105067906000000E+03
0.393495160000000E+02,-0.105062128000000E+03
0.393496760000000E+02,-0.105054381000000E+03
0.393231400000000E+02,-0.105053746000000E+03
0.393078890000000E+02,-0.105052374000000E+03
0.393091410000000E+02,-0.105046013000000E+03
0.393105370000000E+02,-0.105043361000000E+03
0.393134670000000E+02,-0.105043625000000E+03
0.393141760000000E+02,-0.105044656000000E+03
0.393155410000000E+02,-0.105044568000000E+03
0.393140300000000E+02,-0.105037966000000E+03
0.393115190000000E+02,-0.105032371000000E+03
0.393070960000000E+02,-0.105031688000000E+03
0.393051100000000E+02,-0.105032492000000E+03
0.393040400000000E+02,-0.105032411000000E+03
0.393040690000000E+02,-0.105024940000000E+03
0.392836320000000E+02,-0.105025179000000E+03
0.392634630000000E+02,-0.105026577000000E+03
0.392634630000000E+02,-0.105026577000000E+03
0.392565430000000E+02,-0.105027057000000E+03
0.392573650000000E+02,-0.105019371000000E+03
0.392514120000000E+02,-0.105018841000000E+03
0.392514120000000E+02,-0.105003470000000E+03
0.392456640000000E+02,-0.105003470000000E+03
0.392450480000000E+02,-0.105006650000000E+03
0.392389730000000E+02,-0.105006831000000E+03
0.392390010000000E+02,-0.104988272000000E+03
0.392186880000000E+02,-0.104988293000000E+03
0.392172050000000E+02,-0.104990794000000E+03
0.392174780000000E+02,-0.104994914000000E+03
0.392161940000000E+02,-0.105000080000000E+03
0.392133330000000E+02,-0.105000167000000E+03
0.392084580000000E+02,-0.105002937000000E+03
0.392061500000000E+02,-0.105009441000000E+03
0.392037940000000E+02,-0.105013384000000E+03
0.391943640000000E+02,-0.105012391000000E+03
0.391911120000000E+02,-0.105010305000000E+03
0.391893030000000E+02,-0.105008277000000E+03
0.391877690000000E+02,-0.105007631000000E+03
0.391785600000000E+02,-0.105008914000000E+03
0.391750000000000E+02,-0.105012022000000E+03
0.391729190000000E+02,-0.105017052000000E+03
0.391735400000000E+02,-0.105025756000000E+03
0.391719840000000E+02,-0.105026169000000E+03
END,END
