LAT,LON
0.415663960000000E+02,-0.730548520000000E+02
0.415656960000000E+02,-0.730550520000000E+02
0.415625960000000E+02,-0.730541520000000E+02
0.415577960000000E+02,-0.730523520000000E+02
0.415583960000000E+02,-0.730504520000000E+02
0.415595960000000E+02,-0.730496520000000E+02
0.415599960000000E+02,-0.730386510000000E+02
0.415599960000000E+02,-0.730386510000000E+02
0.415598960000000E+02,-0.730371510000000E+02
0.415552970000000E+02,-0.730274510000000E+02
0.415552970000000E+02,-0.730274510000000E+02
0.415526280000000E+02,-0.730284280000000E+02
0.415526280000000E+02,-0.730284280000000E+02
0.415511960000000E+02,-0.730282510000000E+02
0.415519360000000E+02,-0.730350390000000E+02
0.415543960000000E+02,-0.730370510000000E+02
0.415542960000000E+02,-0.730384510000000E+02
0.415538960000000E+02,-0.730403510000000E+02
0.415510960000000E+02,-0.730394510000000E+02
0.415513760000000E+02,-0.730433270000000E+02
0.415513760000000E+02,-0.730433270000000E+02
0.415515960000000E+02,-0.730471520000000E+02
0.415504960000000E+02,-0.730497520000000E+02
0.415512960000000E+02,-0.730514520000000E+02
0.415567960000000E+02,-0.730562520000000E+02
0.415622960000000E+02,-0.730577520000000E+02
0.415622960000000E+02,-0.730577520000000E+02
0.415644960000000E+02,-0.730588000000000E+02
0.415654400000000E+02,-0.730587520000000E+02
0.415689960000000E+02,-0.730556520000000E+02
0.415663960000000E+02,-0.730548520000000E+02
END,END
