LAT,LON
0.389023110000000E+02,-0.770361990000000E+02
0.389011110000000E+02,-0.770361990000000E+02
0.389000070000000E+02,-0.770347810000000E+02
0.388987220000000E+02,-0.770347600000000E+02
0.388987220000000E+02,-0.770347600000000E+02
0.388987110000000E+02,-0.770390990000000E+02
0.388951110000000E+02,-0.770390990000000E+02
0.388951110000000E+02,-0.770381300000000E+02
0.388928000000000E+02,-0.770379450000000E+02
0.388919510000000E+02,-0.770391370000000E+02
0.388919510000000E+02,-0.770391370000000E+02
0.388919960000000E+02,-0.770460620000000E+02
0.388919960000000E+02,-0.770460620000000E+02
0.389033110000000E+02,-0.770462990000000E+02
0.389033110000000E+02,-0.770462990000000E+02
0.389033110000000E+02,-0.770445990000000E+02
0.389025816666667E+02,-0.770440250000000E+02
0.389022230000000E+02,-0.770428770000000E+02
0.389023110000000E+02,-0.770361990000000E+02
END,END
