LAT,LON
0.388607920000000E+02,-0.755179210000000E+02
0.388594110000000E+02,-0.755287160000000E+02
0.388624630000000E+02,-0.755322890000000E+02
0.388692330000000E+02,-0.755359730000000E+02
0.388791910000000E+02,-0.755353230000000E+02
0.388874340000000E+02,-0.755358630000000E+02
0.388874790000000E+02,-0.755443110000000E+02
0.388863580000000E+02,-0.755533310000000E+02
0.388874800000000E+02,-0.755565240000000E+02
0.388879610000000E+02,-0.755661000000000E+02
0.388938660000000E+02,-0.755651630000000E+02
0.388952620000000E+02,-0.755638450000000E+02
0.389004350000000E+02,-0.755556720000000E+02
0.389019220000000E+02,-0.755490820000000E+02
0.389047600000000E+02,-0.755438090000000E+02
0.389157380000000E+02,-0.755435740000000E+02
0.389168810000000E+02,-0.755156200000000E+02
0.389229490000000E+02,-0.755155290000000E+02
0.389274130000000E+02,-0.755171670000000E+02
0.389274520000000E+02,-0.755016360000000E+02
0.389315060000000E+02,-0.754913260000000E+02
0.389315060000000E+02,-0.754913260000000E+02
0.389239980000000E+02,-0.754904120000000E+02
0.389225100000000E+02,-0.754927250000000E+02
0.389200150000000E+02,-0.754925180000000E+02
0.389208000000000E+02,-0.754746460000000E+02
0.389152150000000E+02,-0.754740570000000E+02
0.389159700000000E+02,-0.754768400000000E+02
0.389162430000000E+02,-0.754811190000000E+02
0.389158030000000E+02,-0.754921340000000E+02
0.389054130000000E+02,-0.754894610000000E+02
0.389047960000000E+02,-0.754870000000000E+02
0.389035970000000E+02,-0.754848110000000E+02
0.389031440000000E+02,-0.754860560000000E+02
0.388997970000000E+02,-0.754877850000000E+02
0.388969440000000E+02,-0.754885760000000E+02
0.388953880000000E+02,-0.754876370000000E+02
0.388932360000000E+02,-0.754879870000000E+02
0.388895160000000E+02,-0.754903290000000E+02
0.388895160000000E+02,-0.754903290000000E+02
0.388953610000000E+02,-0.755095810000000E+02
0.388931480000000E+02,-0.755178030000000E+02
0.388880710000000E+02,-0.755297270000000E+02
0.388781920000000E+02,-0.755237860000000E+02
0.388701190000000E+02,-0.755159450000000E+02
0.388666630000000E+02,-0.755170600000000E+02
0.388653130000000E+02,-0.755170900000000E+02
0.388637440000000E+02,-0.755163810000000E+02
0.388607920000000E+02,-0.755179210000000E+02
END,END
