LAT,LON
0.391731880000000E+02,-0.755300190000000E+02
0.391732060000000E+02,-0.755324480000000E+02
0.391753120000000E+02,-0.755361520000000E+02
0.391793180000000E+02,-0.755350340000000E+02
0.391797990000000E+02,-0.755368270000000E+02
0.391795020000000E+02,-0.755400330000000E+02
0.391799140000000E+02,-0.755422670000000E+02
0.391822950000000E+02,-0.755436190000000E+02
0.391826590000000E+02,-0.755356500000000E+02
0.391802780000000E+02,-0.755318570000000E+02
0.391771880000000E+02,-0.755304470000000E+02
0.391741880000000E+02,-0.755299820000000E+02
0.391741880000000E+02,-0.755299820000000E+02
0.391761800000000E+02,-0.755290950000000E+02
0.391761800000000E+02,-0.755260370000000E+02
0.391755390000000E+02,-0.755258610000000E+02
0.391735930000000E+02,-0.755266560000000E+02
0.391714190000000E+02,-0.755260390000000E+02
0.391703410000000E+02,-0.755211290000000E+02
0.391683730000000E+02,-0.755207180000000E+02
0.391680990000000E+02,-0.755217770000000E+02
0.391705720000000E+02,-0.755272750000000E+02
0.391731880000000E+02,-0.755300190000000E+02
END,END
0.387888090000000E+02,-0.752534660000000E+02
0.387891290000000E+02,-0.752538460000000E+02
0.387902740000000E+02,-0.752529960000000E+02
0.387916450000000E+02,-0.752500280000000E+02
0.387922630000000E+02,-0.752496320000000E+02
0.387936830000000E+02,-0.752500860000000E+02
0.387945540000000E+02,-0.752522620000000E+02
0.387982150000000E+02,-0.752507670000000E+02
0.387988560000000E+02,-0.752489650000000E+02
0.387979410000000E+02,-0.752477650000000E+02
0.387974380000000E+02,-0.752457180000000E+02
0.388000940000000E+02,-0.752441700000000E+02
0.388020850000000E+02,-0.752441420000000E+02
0.388062300000000E+02,-0.752421560000000E+02
0.388065280000000E+02,-0.752411910000000E+02
0.388060930000000E+02,-0.752394350000000E+02
0.388051100000000E+02,-0.752382350000000E+02
0.388057970000000E+02,-0.752358370000000E+02
0.388070800000000E+02,-0.752342000000000E+02
0.388063940000000E+02,-0.752322090000000E+02
0.388076770000000E+02,-0.752294900000000E+02
0.388095310000000E+02,-0.752301340000000E+02
0.388102860000000E+02,-0.752293740000000E+02
0.388097850000000E+02,-0.752229090000000E+02
0.388083430000000E+02,-0.752225570000000E+02
0.388069460000000E+02,-0.752239900000000E+02
0.388061000000000E+02,-0.752231990000000E+02
0.388063750000000E+02,-0.752211520000000E+02
0.388058040000000E+02,-0.752178170000000E+02
0.388061700000000E+02,-0.752162960000000E+02
0.388073840000000E+02,-0.752157400000000E+02
0.388091920000000E+02,-0.752166190000000E+02
0.388101530000000E+02,-0.752156250000000E+02
0.388099940000000E+02,-0.752134010000000E+02
0.388083230000000E+02,-0.752117320000000E+02
0.388080260000000E+02,-0.752107670000000E+02
0.388085530000000E+02,-0.752072860000000E+02
0.388072480000000E+02,-0.752054720000000E+02
0.388042270000000E+02,-0.752061140000000E+02
0.388036540000000E+02,-0.752058220000000E+02
0.388028770000000E+02,-0.752038620000000E+02
0.388030370000000E+02,-0.751992110000000E+02
0.388066770000000E+02,-0.751921610000000E+02
0.388058300000000E+02,-0.751920150000000E+02
0.388010920000000E+02,-0.751842330000000E+02
0.387984830000000E+02,-0.751812790000000E+02
0.387970170000000E+02,-0.751757800000000E+02
0.387922780000000E+02,-0.751672690000000E+02
0.387901940000000E+02,-0.751611280000000E+02
0.387906740000000E+02,-0.751607480000000E+02
0.387912908692827E+02,-0.751608754523311E+02
0.387912908692827E+02,-0.751608754523311E+02
0.387912240000000E+02,-0.751607480000000E+02
0.387901930000000E+02,-0.751590220000000E+02
0.387822420000000E+02,-0.751340220000000E+02
0.387822420000000E+02,-0.751340220000000E+02
0.387832060000000E+02,-0.751399870000000E+02
0.387851770000000E+02,-0.751463900000000E+02
0.387901020000000E+02,-0.751592560000000E+02
0.387887740000000E+02,-0.751600170000000E+02
0.387872400000000E+02,-0.751580880000000E+02
0.387827760000000E+02,-0.751541710000000E+02
0.387800730000000E+02,-0.751484110000000E+02
0.387799350000000E+02,-0.751456030000000E+02
0.387788570000000E+02,-0.751411890000000E+02
0.387771160000000E+02,-0.751386170000000E+02
0.387763380000000E+02,-0.751381490000000E+02
0.387758570000000E+02,-0.751386170000000E+02
0.387767050000000E+02,-0.751403420000000E+02
0.387780560000000E+02,-0.751411310000000E+02
0.387786740000000E+02,-0.751420950000000E+02
0.387791570000000E+02,-0.751483230000000E+02
0.387823410000000E+02,-0.751547850000000E+02
0.387869430000000E+02,-0.751589650000000E+02
0.387898970000000E+02,-0.751632630000000E+02
0.387930570000000E+02,-0.751705160000000E+02
0.387961480000000E+02,-0.751756340000000E+02
0.387979560000000E+02,-0.751819520000000E+02
0.388009780000000E+02,-0.751851110000000E+02
0.388051210000000E+02,-0.751921910000000E+02
0.388052350000000E+02,-0.751931270000000E+02
0.388022590000000E+02,-0.751995910000000E+02
0.388022810000000E+02,-0.752044760000000E+02
0.388024870000000E+02,-0.752055000000000E+02
0.388038150000000E+02,-0.752067580000000E+02
0.388063550000000E+02,-0.752065540000000E+02
0.388076830000000E+02,-0.752070810000000E+02
0.388072930000000E+02,-0.752096840000000E+02
0.388075450000000E+02,-0.752115270000000E+02
0.388092610000000E+02,-0.752136640000000E+02
0.388094670000000E+02,-0.752147170000000E+02
0.388091230000000E+02,-0.752157120000000E+02
0.388067200000000E+02,-0.752150670000000E+02
0.388052770000000E+02,-0.752168510000000E+02
0.388057330000000E+02,-0.752242230000000E+02
0.388062590000000E+02,-0.752248670000000E+02
0.388068770000000E+02,-0.752248670000000E+02
0.388085720000000E+02,-0.752232300000000E+02
0.388092810000000E+02,-0.752234350000000E+02
0.388098060000000E+02,-0.752284670000000E+02
0.388091190000000E+02,-0.752294900000000E+02
0.388079980000000E+02,-0.752286710000000E+02
0.388070820000000E+02,-0.752290210000000E+02
0.388057070000000E+02,-0.752320040000000E+02
0.388044230000000E+02,-0.752382930000000E+02
0.388057730000000E+02,-0.752402840000000E+02
0.388058410000000E+02,-0.752415120000000E+02
0.388020400000000E+02,-0.752435570000000E+02
0.388003690000000E+02,-0.752433800000000E+02
0.387973240000000E+02,-0.752450160000000E+02
0.387968430000000E+02,-0.752463020000000E+02
0.387983520000000E+02,-0.752491650000000E+02
0.387978950000000E+02,-0.752504750000000E+02
0.387959720000000E+02,-0.752515290000000E+02
0.387948280000000E+02,-0.752515300000000E+02
0.387942310000000E+02,-0.752492950000000E+02
0.387925150000000E+02,-0.752488720000000E+02
0.387916450000000E+02,-0.752491920000000E+02
0.387888090000000E+02,-0.752534660000000E+02
END,END
0.387593380000000E+02,-0.752241040000000E+02
0.387566590000000E+02,-0.752163340000000E+02
0.387601140000000E+02,-0.752050170000000E+02
0.387601140000000E+02,-0.752050170000000E+02
0.387586760000000E+02,-0.752035590000000E+02
0.387540060000000E+02,-0.752016290000000E+02
0.387538450000000E+02,-0.752086150000000E+02
0.387561570000000E+02,-0.752090250000000E+02
0.387565920000000E+02,-0.752096970000000E+02
0.387556520000000E+02,-0.752140230000000E+02
0.387542780000000E+02,-0.752160990000000E+02
0.387532940000000E+02,-0.752165960000000E+02
0.387511870000000E+02,-0.752190790000000E+02
0.387475500000000E+02,-0.752248360000000E+02
0.387460610000000E+02,-0.752284600000000E+02
0.387460610000000E+02,-0.752284600000000E+02
0.387481490000000E+02,-0.752264820000000E+02
0.387481490000000E+02,-0.752264820000000E+02
0.387554910000000E+02,-0.752172980000000E+02
0.387570240000000E+02,-0.752193740000000E+02
0.387572300000000E+02,-0.752211580000000E+02
0.387593380000000E+02,-0.752241040000000E+02
END,END
0.386591300000000E+02,-0.751883850000000E+02
0.386597020000000E+02,-0.751841810000000E+02
0.386590840000000E+02,-0.751819030000000E+02
0.386578250000000E+02,-0.751805900000000E+02
0.386568180000000E+02,-0.751784880000000E+02
0.386555360000000E+02,-0.751741100000000E+02
0.386570690000000E+02,-0.751699930000000E+02
0.386576180000000E+02,-0.751698470000000E+02
0.386605490000000E+02,-0.751740790000000E+02
0.386649440000000E+02,-0.751818450000000E+02
0.386656770000000E+02,-0.751823990000000E+02
0.386668900000000E+02,-0.751826330000000E+02
0.386670270000000E+02,-0.751822820000000E+02
0.386670270000000E+02,-0.751822820000000E+02
0.386656540000000E+02,-0.751803850000000E+02
0.386614410000000E+02,-0.751714520000000E+02
0.386602500000000E+02,-0.751696130000000E+02
0.386588080000000E+02,-0.751685920000000E+02
0.386588530000000E+02,-0.751637750000000E+02
0.386600200000000E+02,-0.751628110000000E+02
0.386600430000000E+02,-0.751620810000000E+02
0.386544770000000E+02,-0.751488590000000E+02
0.386511110000000E+02,-0.751446280000000E+02
0.386497600000000E+02,-0.751441030000000E+02
0.386491200000000E+02,-0.751454170000000E+02
