LAT,LON
0.306330780000000E+02,-0.849034810000000E+02
0.306251930000000E+02,-0.849028230000000E+02
0.306206880000000E+02,-0.849057620000000E+02
0.306172300000000E+02,-0.849096840000000E+02
0.306136810000000E+02,-0.849171540000000E+02
0.306122620000000E+02,-0.849238030000000E+02
0.306110710000000E+02,-0.849270870000000E+02
0.306088490000000E+02,-0.849298160000000E+02
0.306063580000000E+02,-0.849313250000000E+02
0.306063580000000E+02,-0.849313250000000E+02
0.306021600000000E+02,-0.849336830000000E+02
0.305985860000000E+02,-0.849370730000000E+02
0.305943250000000E+02,-0.849449910000000E+02
0.305893080000000E+02,-0.849445930000000E+02
0.305871550000000E+02,-0.849430570000000E+02
0.305844050000000E+02,-0.849424750000000E+02
0.305814730000000E+02,-0.849436930000000E+02
0.305803960000000E+02,-0.849449640000000E+02
0.305788380000000E+02,-0.849482470000000E+02
0.305781050000000E+02,-0.849543630000000E+02
0.305787460000000E+02,-0.849576730000000E+02
0.305809670000000E+02,-0.849624130000000E+02
0.305802570000000E+02,-0.849647160000000E+02
0.305780340000000E+02,-0.849651660000000E+02
0.305718710000000E+02,-0.849645020000000E+02
0.305679080000000E+02,-0.849623310000000E+02
0.305657550000000E+02,-0.849604500000000E+02
0.305647010000000E+02,-0.849603970000000E+02
0.305595230000000E+02,-0.849647910000000E+02
0.305535640000000E+02,-0.849718570000000E+02
0.305517540000000E+02,-0.849733650000000E+02
0.305446740000000E+02,-0.849778620000000E+02
0.305311090000000E+02,-0.849845250000000E+02
0.305254490000000E+02,-0.849884920000000E+02
0.305201550000000E+02,-0.849911360000000E+02
0.305143590000000E+02,-0.849912380000000E+02
0.305050570000000E+02,-0.849901470000000E+02
0.304879910000000E+02,-0.849937320000000E+02
0.304833160000000E+02,-0.849964540000000E+02
0.304793480000000E+02,-0.850015760000000E+02
0.304771490000000E+02,-0.850030590000000E+02
0.304762560000000E+02,-0.850030590000000E+02
0.304749040000000E+02,-0.850023720000000E+02
