LAT,LON
0.254635890000000E+02,-0.804608780000000E+02
0.254692880000000E+02,-0.804527780000000E+02
0.254626890000000E+02,-0.804526780000000E+02
0.254628880000000E+02,-0.804280780000000E+02
0.254628880000000E+02,-0.804280780000000E+02
0.254555890000000E+02,-0.804280780000000E+02
0.254555890000000E+02,-0.804077770000000E+02
0.254483890000000E+02,-0.804078770000000E+02
0.254479890000000E+02,-0.804362780000000E+02
0.254448890000000E+02,-0.804361780000000E+02
0.254446890000000E+02,-0.804402780000000E+02
0.254479890000000E+02,-0.804402780000000E+02
0.254477890000000E+02,-0.804522780000000E+02
0.254477890000000E+02,-0.804522780000000E+02
0.254479890000000E+02,-0.804608780000000E+02
0.254625890000000E+02,-0.804608780000000E+02
0.254625890000000E+02,-0.804608780000000E+02
0.254635890000000E+02,-0.804608780000000E+02
END,END
