LAT,LON
0.278046700000000E+02,-0.811969730000000E+02
0.278043340000000E+02,-0.811837300000000E+02
0.278036920000000E+02,-0.811813320000000E+02
0.277840790000000E+02,-0.811386380000000E+02
0.277529010000000E+02,-0.810738340000000E+02
0.277334490000000E+02,-0.810233480000000E+02
0.277503060000000E+02,-0.810231360000000E+02
0.277569100000000E+02,-0.810254530000000E+02
0.277594550000000E+02,-0.810250660000000E+02
0.277632840000000E+02,-0.810234920000000E+02
0.277730530000000E+02,-0.810232570000000E+02
0.277767640000000E+02,-0.810117570000000E+02
0.277752030000000E+02,-0.810078900000000E+02
0.277740990000000E+02,-0.809994390000000E+02
0.277713040000000E+02,-0.809928640000000E+02
0.277696330000000E+02,-0.809867530000000E+02
0.277671570000000E+02,-0.809849220000000E+02
0.277639260000000E+02,-0.809778580000000E+02
0.277633080000000E+02,-0.809738690000000E+02
0.277580340000000E+02,-0.809722110000000E+02
0.277555820000000E+02,-0.809701600000000E+02
0.277555820000000E+02,-0.809701600000000E+02
0.277549380000000E+02,-0.809713330000000E+02
0.277498590000000E+02,-0.809744250000000E+02
0.277491110000000E+02,-0.809742180000000E+02
0.277455120000000E+02,-0.809707630000000E+02
0.277412250000000E+02,-0.809659690000000E+02
0.277369600000000E+02,-0.809681060000000E+02
0.277289340000000E+02,-0.809665070000000E+02
0.277217340000000E+02,-0.809641080000000E+02
0.277198320000000E+02,-0.809649320000000E+02
0.277274360000000E+02,-0.810080700000000E+02
0.277325540000000E+02,-0.810214160000000E+02
0.276897200000000E+02,-0.810218690000000E+02
0.276830030000000E+02,-0.810246540000000E+02
0.276786010000000E+02,-0.810273100000000E+02
0.276762590000000E+02,-0.810177280000000E+02
0.276763020000000E+02,-0.810100010000000E+02
0.276655460000000E+02,-0.809932490000000E+02
0.276637380000000E+02,-0.809827400000000E+02
0.276642890000000E+02,-0.809808860000000E+02
0.276667440000000E+02,-0.809774610000000E+02
0.276699800000000E+02,-0.809660270000000E+02
0.276767700000000E+02,-0.809522240000000E+02
0.276852550000000E+02,-0.809406840000000E+02
0.276876170000000E+02,-0.809402720000000E+02
0.276892450000000E+02,-0.809394480000000E+02
0.276923630000000E+02,-0.809349910000000E+02
0.276933260000000E+02,-0.809298140000000E+02
0.276957560000000E+02,-0.809227030000000E+02
0.276928440000000E+02,-0.809224720000000E+02
0.276837170000000E+02,-0.809171150000000E+02
0.276780750000000E+02,-0.809128920000000E+02
0.276638780000000E+02,-0.808970820000000E+02
0.276606660000000E+02,-0.808925510000000E+02
0.276423030000000E+02,-0.808752700000000E+02
0.276422890000000E+02,-0.809222730000000E+02
0.276422830000000E+02,-0.809419440000000E+02
0.276423200000000E+02,-0.809455030000000E+02
0.276423250000000E+02,-0.809666640000000E+02
0.276423250000000E+02,-0.809686980000000E+02
0.276423190000000E+02,-0.809825390000000E+02
0.276423200000000E+02,-0.809857180000000E+02
0.276419900000000E+02,-0.810229170000000E+02
0.276420190000000E+02,-0.810269110000000E+02
0.276420030000000E+02,-0.810270110000000E+02
0.276431810000000E+02,-0.811356070000000E+02
0.276431910000000E+02,-0.811367050000000E+02
0.276284470000000E+02,-0.811410770000000E+02
0.276284470000000E+02,-0.811410770000000E+02
0.276285160000000E+02,-0.811419260000000E+02
0.276294100000000E+02,-0.811426720000000E+02
0.276391560000000E+02,-0.811441100000000E+02
0.276426650000000E+02,-0.811427960000000E+02
0.276432380000000E+02,-0.811421780000000E+02
0.276432380000000E+02,-0.811421780000000E+02
0.276439250000000E+02,-0.811415850000000E+02
0.276444070000000E+02,-0.811411210000000E+02
0.276464930000000E+02,-0.811401940000000E+02
0.276471680000000E+02,-0.811376760000000E+02
0.276470380000000E+02,-0.811373140000000E+02
0.276452980000000E+02,-0.811372630000000E+02
0.276443950000000E+02,-0.811382020000000E+02
0.276441820000000E+02,-0.811376120000000E+02
0.276447150000000E+02,-0.811362220000000E+02
0.276447150000000E+02,-0.811362220000000E+02
0.276479350000000E+02,-0.811322620000000E+02
0.276505030000000E+02,-0.811313840000000E+02
0.276593080000000E+02,-0.811310450000000E+02
0.276615090000000E+02,-0.811318420000000E+02
0.276633490000000E+02,-0.811357610000000E+02
0.276633490000000E+02,-0.811357610000000E+02
0.276786430000000E+02,-0.811435800000000E+02
0.276898340000000E+02,-0.811471300000000E+02
0.276917140000000E+02,-0.811479800000000E+02
0.276919670000000E+02,-0.811490100000000E+02
0.276919670000000E+02,-0.811490100000000E+02
0.276965300000000E+02,-0.811475910000000E+02
0.276979060000000E+02,-0.811486470000000E+02
0.276997410000000E+02,-0.811491620000000E+02
0.277027900000000E+02,-0.811491610000000E+02
0.277044870000000E+02,-0.811472790000000E+02
0.277063900000000E+02,-0.811460160000000E+02
0.277104940000000E+02,-0.811460150000000E+02
0.277164120000000E+02,-0.811504440000000E+02
0.277186820000000E+02,-0.811532780000000E+02
0.277186350000000E+02,-0.811592400000000E+02
0.277186350000000E+02,-0.811592400000000E+02
0.277217770000000E+02,-0.811606720000000E+02
0.277243020000000E+02,-0.811619080000000E+02
0.277241420000000E+02,-0.811671650000000E+02
0.277262520000000E+02,-0.811688650000000E+02
0.277321680000000E+02,-0.811686320000000E+02
0.277347130000000E+02,-0.811666480000000E+02
0.277347130000000E+02,-0.811666480000000E+02
0.277347590000000E+02,-0.811649210000000E+02
0.277365930000000E+02,-0.811643540000000E+02
0.277421890000000E+02,-0.811651000000000E+02
0.277429910000000E+02,-0.811661820000000E+02
0.277428310000000E+02,-0.811706150000000E+02
0.277428310000000E+02,-0.811706150000000E+02
0.277434510000000E+02,-0.811720060000000E+02
0.277438400000000E+02,-0.811709760000000E+02
0.277447500000000E+02,-0.811706000000000E+02
0.277468490000000E+02,-0.811715500000000E+02
0.277472890000000E+02,-0.811725330000000E+02
0.277457200000000E+02,-0.811739130000000E+02
0.277458810000000E+02,-0.811748410000000E+02
0.277523270000000E+02,-0.811787060000000E+02
0.277555840000000E+02,-0.811790920000000E+02
0.277581520000000E+02,-0.811779580000000E+02
0.277592070000000E+02,-0.811770560000000E+02
0.277594130000000E+02,-0.811742720000000E+02
0.277585640000000E+02,-0.811738600000000E+02
0.277597800000000E+02,-0.811726220000000E+02
0.277608570000000E+02,-0.811727770000000E+02
0.277706030000000E+02,-0.811780860000000E+02
0.277741580000000E+02,-0.811809210000000E+02
0.277745940000000E+02,-0.811815140000000E+02
0.277744790000000E+02,-0.811825200000000E+02
0.277732410000000E+02,-0.811837060000000E+02
0.277732410000000E+02,-0.811837060000000E+02
0.277765880000000E+02,-0.811854070000000E+02
0.277792480000000E+02,-0.811856910000000E+02
0.277862650000000E+02,-0.811897120000000E+02
