LAT,LON
0.316994200000000E+02,-0.814918670000000E+02
0.316999650000000E+02,-0.814998810000000E+02
0.317247650000000E+02,-0.815533810000000E+02
0.317247650000000E+02,-0.815533810000000E+02
0.317302800000000E+02,-0.815652760000000E+02
0.317302800000000E+02,-0.815652760000000E+02
0.317334590000000E+02,-0.815282980000000E+02
0.317527530000000E+02,-0.815267170000000E+02
0.317526170000000E+02,-0.815329660000000E+02
0.317547040000000E+02,-0.815515510000000E+02
0.317612360000000E+02,-0.815649880000000E+02
0.317687300000000E+02,-0.815632450000000E+02
0.317704250000000E+02,-0.815556800000000E+02
0.317700350000000E+02,-0.815507980000000E+02
0.317708370000000E+02,-0.815475250000000E+02
0.317781460000000E+02,-0.815409790000000E+02
0.317781460000000E+02,-0.815409790000000E+02
0.317767250000000E+02,-0.815378140000000E+02
0.317782370000000E+02,-0.815338700000000E+02
0.317790840000000E+02,-0.815292020000000E+02
0.317763560000000E+02,-0.815268160000000E+02
0.317697560000000E+02,-0.815256650000000E+02
0.317648970000000E+02,-0.815230920000000E+02
0.317635670000000E+02,-0.815217510000000E+02
0.317595540000000E+02,-0.815119100000000E+02
0.317548670000000E+02,-0.814900250000000E+02
0.317536230000000E+02,-0.814589510000000E+02
0.317677440000000E+02,-0.814500700000000E+02
0.317804630000000E+02,-0.814400120000000E+02
0.317874980000000E+02,-0.814355320000000E+02
0.317861240000000E+02,-0.814324740000000E+02
0.317850490000000E+02,-0.814311840000000E+02
0.317671680000000E+02,-0.814370110000000E+02
0.317667590000000E+02,-0.814326090000000E+02
0.317655440000000E+02,-0.814278880000000E+02
0.317623130000000E+02,-0.814263590000000E+02
0.317607330000000E+02,-0.814262790000000E+02
0.317575090000000E+02,-0.814226500000000E+02
0.317858780000000E+02,-0.814094120000000E+02
0.317830720000000E+02,-0.814048410000000E+02
0.317808020000000E+02,-0.814021060000000E+02
0.317774330000000E+02,-0.813993170000000E+02
0.317746320000000E+02,-0.813987040000000E+02
0.317742480000000E+02,-0.814007670000000E+02
0.317768850000000E+02,-0.814099940000000E+02
0.317725770000000E+02,-0.814094320000000E+02
0.317702850000000E+02,-0.814098080000000E+02
0.317566760000000E+02,-0.814205930000000E+02
0.317557590000000E+02,-0.814214790000000E+02
0.317558230000000E+02,-0.814234540000000E+02
0.317491000000000E+02,-0.814266760000000E+02
0.317449790000000E+02,-0.814199020000000E+02
0.317452050000000E+02,-0.814183980000000E+02
0.317466020000000E+02,-0.814157420000000E+02
0.317472200000000E+02,-0.814098690000000E+02
0.317470820000000E+02,-0.814065710000000E+02
0.317474020000000E+02,-0.814059810000000E+02
0.317482470000000E+02,-0.814058090000000E+02
0.317482470000000E+02,-0.814058090000000E+02
0.317469890000000E+02,-0.814012070000000E+02
0.317460950000000E+02,-0.814015020000000E+02
0.317444680000000E+02,-0.814005370000000E+02
0.317437120000000E+02,-0.814018520000000E+02
0.317432080000000E+02,-0.814018520000000E+02
0.317423130000000E+02,-0.814008600000000E+02
0.317427940000000E+02,-0.813998940000000E+02
0.317414420000000E+02,-0.813979370000000E+02
0.317388980000000E+02,-0.813958470000000E+02
0.317385080000000E+02,-0.813948010000000E+02
0.317385990000000E+02,-0.813913420000000E+02
0.317381860000000E+02,-0.813911010000000E+02
0.317372240000000E+02,-0.813920670000000E+02
0.317362840000000E+02,-0.813915040000000E+02
0.317359850000000E+02,-0.813876970000000E+02
0.317344710000000E+02,-0.813845340000000E+02
0.317351630052246E+02,-0.813835240320312E+02
0.317362490052246E+02,-0.813835234320313E+02
0.317375410000000E+02,-0.813823330000000E+02
0.317370370000000E+02,-0.813819850000000E+02
0.317351810000000E+02,-0.813826300000000E+02
0.317341270000000E+02,-0.813818790000000E+02
0.317341490000000E+02,-0.813800560000000E+02
0.317353850000000E+02,-0.813766490000000E+02
0.317363010000000E+02,-0.813761120000000E+02
0.317369660000000E+02,-0.813763260000000E+02
0.317383190000000E+02,-0.813798390000000E+02
0.317395570000000E+02,-0.813796780000000E+02
0.317399460000000E+02,-0.813791410000000E+02
0.317397390000000E+02,-0.813774520000000E+02
0.317388450000000E+02,-0.813762990000000E+02
0.317388100000000E+02,-0.813748270000000E+02
0.317423060000000E+02,-0.813710800000000E+02
0.317402910000000E+02,-0.813676460000000E+02
0.317405660000000E+02,-0.813665470000000E+02
0.317417580000000E+02,-0.813662800000000E+02
0.317435220000000E+02,-0.813669240000000E+02
0.317441870000000E+02,-0.813667100000000E+02
0.317441870000000E+02,-0.813663610000000E+02
0.317403150000000E+02,-0.813650180000000E+02
0.317398800000000E+02,-0.813642670000000E+02
0.317401780000000E+02,-0.813629800000000E+02
0.317407510000000E+02,-0.813624440000000E+02
0.317455180000000E+02,-0.813622060000000E+02
0.317459540000000E+02,-0.813616960000000E+02
0.317412800000000E+02,-0.813589860000000E+02
0.317395740000000E+02,-0.813585310000000E+02
0.317395740000000E+02,-0.813585310000000E+02
0.317199890000000E+02,-0.813878110000000E+02
0.317118770000000E+02,-0.813885930000000E+02
0.317115860000000E+02,-0.813819020000000E+02
0.317055080000000E+02,-0.813809340000000E+02
0.317046890000000E+02,-0.813813010000000E+02
0.317046320000000E+02,-0.813823390000000E+02
0.317015310000000E+02,-0.813890720000000E+02
0.316977380000000E+02,-0.813880110000000E+02
0.316993610000000E+02,-0.813775300000000E+02
0.317001850000000E+02,-0.813769660000000E+02
0.317116300000000E+02,-0.813748270000000E+02
0.317147370000000E+02,-0.813709010000000E+02
0.317148120000000E+02,-0.813589180000000E+02
0.317101810000000E+02,-0.813627220000000E+02
0.317095870000000E+02,-0.813588880000000E+02
0.317070230000000E+02,-0.813514620000000E+02
0.317012710000000E+02,-0.813505480000000E+02
0.316981990000000E+02,-0.813516460000000E+02
0.316980830000000E+02,-0.813584530000000E+02
0.316993880000000E+02,-0.813615900000000E+02
0.316973240000000E+02,-0.813631970000000E+02
0.316925580000000E+02,-0.813636500000000E+02
0.316897390000000E+02,-0.813631120000000E+02
0.316796800000000E+02,-0.813587120000000E+02
0.316741550000000E+02,-0.813632910000000E+02
0.316721140000000E+02,-0.813800650000000E+02
0.316703960000000E+02,-0.813821560000000E+02
0.316694340000000E+02,-0.813848890000000E+02
0.316699860000000E+02,-0.813888280000000E+02
0.316716830000000E+02,-0.813914810000000E+02
0.316734240000000E+02,-0.813914800000000E+02
0.316777780000000E+02,-0.813890130000000E+02
0.316943690000000E+02,-0.813872620000000E+02
0.316958600000000E+02,-0.813911210000000E+02
0.316607750000000E+02,-0.813926370000000E+02
0.316539700000000E+02,-0.813947570000000E+02
0.316443840000000E+02,-0.813996670000000E+02
0.316443840000000E+02,-0.813996670000000E+02
0.316489320000000E+02,-0.814078600000000E+02
0.316475570000000E+02,-0.814093330000000E+02
0.316474430000000E+02,-0.814101640000000E+02
0.316497800000000E+02,-0.814142080000000E+02
0.316514990000000E+02,-0.814147970000000E+02
0.316521640000000E+02,-0.814156010000000E+02
0.316522100000000E+02,-0.814177710000000E+02
0.316490480000000E+02,-0.814249500000000E+02
0.316434170000000E+02,-0.814271270000000E+02
0.316410180000000E+02,-0.814295270000000E+02
0.316405180000000E+02,-0.814321270000000E+02
0.316413170000000E+02,-0.814344270000000E+02
0.316436170000000E+02,-0.814377280000000E+02
0.316538170000000E+02,-0.814420280000000E+02
0.316549170000000E+02,-0.814431280000000E+02
0.316565340000000E+02,-0.814472220000000E+02
0.316490940000000E+02,-0.814469110000000E+02
0.316490940000000E+02,-0.814454450000000E+02
0.316454050000000E+02,-0.814439170000000E+02
0.316370400000000E+02,-0.814434350000000E+02
0.316303580000000E+02,-0.814455970000000E+02
0.316127720000000E+02,-0.814430820000000E+02
0.315895810000000E+02,-0.814408720000000E+02
0.315888140000000E+02,-0.814445020000000E+02
0.315884240000000E+02,-0.814500970000000E+02
0.315887200000000E+02,-0.814619580000000E+02
0.315881680000000E+02,-0.814690520000000E+02
0.315849100000000E+02,-0.814808020000000E+02
0.315842200000000E+02,-0.814871730000000E+02
0.315848150000000E+02,-0.814892090000000E+02
0.315895110000000E+02,-0.814939770000000E+02
0.315911600000000E+02,-0.815002480000000E+02
0.315531930000000E+02,-0.815180730000000E+02
0.315535340000000E+02,-0.815193970000000E+02
0.315554540000000E+02,-0.815204070000000E+02
0.315557950000000E+02,-0.815222230000000E+02
0.315532420000000E+02,-0.815247300000000E+02
0.315509500000000E+02,-0.815236870000000E+02
0.315492080000000E+02,-0.815240630000000E+02
0.315468710000000E+02,-0.815269800000000E+02
0.315459320000000E+02,-0.815294160000000E+02
0.315443290000000E+02,-0.815316910000000E+02
0.315430910000000E+02,-0.815321460000000E+02
0.315420120000000E+02,-0.815252960000000E+02
0.315410270000000E+02,-0.815256450000000E+02
0.315346370000000E+02,-0.815356000000000E+02
0.315304190000000E+02,-0.815325510000000E+02
0.315297550000000E+02,-0.815325250000000E+02
0.315253320000000E+02,-0.815349070000000E+02
0.315210020000000E+02,-0.815401250000000E+02
0.315183430000000E+02,-0.815368080000000E+02
0.315161460000000E+02,-0.815353210000000E+02
0.314554070000000E+02,-0.815635580000000E+02
0.314570570000000E+02,-0.815650290000000E+02
0.314620280000000E+02,-0.815721680000000E+02
0.314625320000000E+02,-0.815743870000000E+02
0.314592550000000E+02,-0.815756160000000E+02
0.314576060000000E+02,-0.815790370000000E+02
0.314563900000000E+02,-0.815874590000000E+02
0.314635200000000E+02,-0.815912210000000E+02
0.314670440000000E+02,-0.815916330000000E+02
0.314692890000000E+02,-0.815970340000000E+02
0.314778580000000E+02,-0.816012090000000E+02
0.314785910000000E+02,-0.816034020000000E+02
0.314739580000000E+02,-0.816058790000000E+02
0.314713330000000E+02,-0.816054950000000E+02
0.314694930000000E+02,-0.816024890000000E+02
0.314699280000000E+02,-0.816048150000000E+02
0.314721030000000E+02,-0.816105650000000E+02
0.314721030000000E+02,-0.816105650000000E+02
0.314830540000000E+02,-0.816181390000000E+02
0.314853670000000E+02,-0.816252320000000E+02
0.314838560000000E+02,-0.816287970000000E+02
0.314845591549903E+02,-0.816326056053191E+02
0.314845591549903E+02,-0.816326056053191E+02
0.314875710000000E+02,-0.816384750000000E+02
0.314901390000000E+02,-0.816417910000000E+02
0.314953430000000E+02,-0.816470840000000E+02
0.314966950000000E+02,-0.816464950000000E+02
0.314984820000000E+02,-0.816440600000000E+02
0.315016780000000E+02,-0.816450200000000E+02
0.315032830000000E+02,-0.816467040000000E+02
0.315034220000000E+02,-0.816497270000000E+02
0.315044080000000E+02,-0.816527490000000E+02
0.315105740000000E+02,-0.816576950000000E+02
0.315159590000000E+02,-0.816563290000000E+02
0.315182270000000E+02,-0.816541610000000E+02
0.315193040000000E+02,-0.816539200000000E+02
0.315218240000000E+02,-0.816541870000000E+02
0.315231540000000E+02,-0.816550960000000E+02
0.315237950000000E+02,-0.816549890000000E+02
0.315265670000000E+02,-0.816523390000000E+02
0.315288360000000E+02,-0.816515630000000E+02
0.315302110000000E+02,-0.816526050000000E+02
0.315314960000000E+02,-0.816569660000000E+02
0.315310600000000E+02,-0.816569930000000E+02
0.315303950000000E+02,-0.816551470000000E+02
0.315286540000000E+02,-0.816585720000000E+02
0.315289070000000E+02,-0.816606320000000E+02
0.315310850000000E+02,-0.816649660000000E+02
0.315327120000000E+02,-0.816651270000000E+02
0.315321840000000E+02,-0.816631190000000E+02
0.315330550000000E+02,-0.816625570000000E+02
0.315358280000000E+02,-0.816615660000000E+02
0.315371570000000E+02,-0.816615130000000E+02
0.315390220000000E+02,-0.816622320000000E+02
0.315392470000000E+02,-0.816615130000000E+02
0.315399110696653E+02,-0.816593988931267E+02
0.315399110696653E+02,-0.816593988931267E+02
0.315507690000000E+02,-0.816248320000000E+02
0.315771180000000E+02,-0.815665300000000E+02
0.316029090000000E+02,-0.815510870000000E+02
0.316029090000000E+02,-0.815510870000000E+02
0.316242590000000E+02,-0.815383040000000E+02
0.316252170000000E+02,-0.815373290000000E+02
0.316616220000000E+02,-0.815158340000000E+02
0.316994200000000E+02,-0.814918670000000E+02
END,END
