LAT,LON
0.325248400000000E+02,-0.848601300000000E+02
0.325252760000000E+02,-0.848575620000000E+02
0.325277240000000E+02,-0.848542180000000E+02
0.325304270000000E+02,-0.848426180000000E+02
0.325314350000000E+02,-0.848402500000000E+02
0.325314350000000E+02,-0.848402500000000E+02
0.325175480000000E+02,-0.848308410000000E+02
0.325162040000000E+02,-0.848303450000000E+02
0.325136120000000E+02,-0.848319610000000E+02
0.325051640000000E+02,-0.848398180000000E+02
0.325001080000000E+02,-0.848408900000000E+02
0.324831170000000E+02,-0.848483290000000E+02
0.324808450000000E+02,-0.848484410000000E+02
0.324738060000000E+02,-0.848459930000000E+02
0.324628620000000E+02,-0.848448410000000E+02
0.324608300000000E+02,-0.848318170000000E+02
0.324621100000000E+02,-0.848255610000000E+02
0.324589900000000E+02,-0.848198000000000E+02
0.324581260000000E+02,-0.848100080000000E+02
0.324520140000000E+02,-0.847839920000000E+02
0.324473740000000E+02,-0.847698470000000E+02
0.324450380000000E+02,-0.847569510000000E+02
0.324433260000000E+02,-0.847568550000000E+02
0.324366710000000E+02,-0.847606630000000E+02
0.324354550000000E+02,-0.847623910000000E+02
0.324352310000000E+02,-0.847642310000000E+02
0.324331350000000E+02,-0.847662950000000E+02
0.324287510000000E+02,-0.847669350000000E+02
0.324223190000000E+02,-0.847703110000000E+02
0.324214550000000E+02,-0.847717990000000E+02
0.324210070000000E+02,-0.847721190000000E+02
0.324209110000000E+02,-0.847728550000000E+02
0.324213590000000E+02,-0.847741670000000E+02
0.324224150000000E+02,-0.847756070000000E+02
0.324219830000000E+02,-0.847769190000000E+02
0.324220150000000E+02,-0.847777350000000E+02
0.324225430000000E+02,-0.847784870000000E+02
0.324229270000000E+02,-0.847786150000000E+02
0.324244310000000E+02,-0.847780070000000E+02
0.324247510000000E+02,-0.847782950000000E+02
0.324247190000000E+02,-0.847787750000000E+02
0.324244150000000E+02,-0.847791590000000E+02
0.324237110000000E+02,-0.847790950000000E+02
0.324232790000000E+02,-0.847802790000000E+02
0.324224630000000E+02,-0.847804710000000E+02
0.324226550000000E+02,-0.847817030000000E+02
0.324217110000000E+02,-0.847824230000000E+02
0.324213430000000E+02,-0.847835750000000E+02
0.324210710000000E+02,-0.847835430000000E+02
0.324204320000000E+02,-0.847827430000000E+02
0.324198240000000E+02,-0.847827590000000E+02
0.324193760000000E+02,-0.847834470000000E+02
0.324196320000000E+02,-0.847843270000000E+02
0.324195360000000E+02,-0.847853990000000E+02
0.324175200000000E+02,-0.847861990000000E+02
0.324172640000000E+02,-0.847870310000000E+02
0.324176800000000E+02,-0.847878950000000E+02
0.324180960000000E+02,-0.847898470000000E+02
0.324176160000000E+02,-0.847909670000000E+02
0.324174560000000E+02,-0.847910310000000E+02
0.324168000000000E+02,-0.847901350000000E+02
0.324154560000000E+02,-0.847898150000000E+02
0.324149600000000E+02,-0.847903270000000E+02
0.324145760000000E+02,-0.847913510000000E+02
0.324137120000000E+02,-0.847922950000000E+02
0.324136160000000E+02,-0.847932710000000E+02
0.324142880000000E+02,-0.847951590000000E+02
0.324141280000000E+02,-0.847963430000000E+02
0.324143840000000E+02,-0.847973670000000E+02
0.324166240000000E+02,-0.847998790000000E+02
0.324172640000000E+02,-0.848026630000000E+02
0.324185280000000E+02,-0.848050150000000E+02
0.324191360000000E+02,-0.848058790000000E+02
0.324199840000000E+02,-0.848065040000000E+02
0.324209440000000E+02,-0.848066800000000E+02
0.324217760000000E+02,-0.848060560000000E+02
0.324222560000000E+02,-0.848065200000000E+02
0.324224000000000E+02,-0.848070320000000E+02
0.324220480000000E+02,-0.848081040000000E+02
0.324207360000000E+02,-0.848091120000000E+02
0.324202720000000E+02,-0.848107760000000E+02
0.324198720000000E+02,-0.848112080000000E+02
0.324191520000000E+02,-0.848113200000000E+02
0.324175200000000E+02,-0.848105200000000E+02
0.324160800000000E+02,-0.848110640000000E+02
0.324155040000000E+02,-0.848134320000000E+02
0.324143520000000E+02,-0.848140880000000E+02
0.324141440000000E+02,-0.848163760000000E+02
0.324127520000000E+02,-0.848182800000000E+02
0.324125760000000E+02,-0.848190000000000E+02
0.324130720000000E+02,-0.848215280000000E+02
0.324139520000000E+02,-0.848230320000000E+02
0.324137920000000E+02,-0.848240560000000E+02
0.324126560000000E+02,-0.848259760000000E+02
0.324127200000000E+02,-0.848272880000000E+02
0.324133920000000E+02,-0.848278320000000E+02
0.324139040000000E+02,-0.848286800000000E+02
0.324138720000000E+02,-0.848291760000000E+02
0.324132480000000E+02,-0.848298480000000E+02
0.324128480000000E+02,-0.848311600000000E+02
0.324129760000000E+02,-0.848316880000000E+02
0.324137760000000E+02,-0.848323760000000E+02
0.324140800000000E+02,-0.848331280000000E+02
0.324137280000000E+02,-0.848340720000000E+02
0.324123200000000E+02,-0.848340080000000E+02
0.324117120000000E+02,-0.848344560000000E+02
0.324113440000000E+02,-0.848351600000000E+02
0.324114560000000E+02,-0.848356720000000E+02
0.324129760000000E+02,-0.848375760000000E+02
0.324132320000000E+02,-0.848394480000000E+02
0.324129760000000E+02,-0.848444080000000E+02
0.324131360000000E+02,-0.848450800000000E+02
0.324144480000000E+02,-0.848468400000000E+02
0.324146560000000E+02,-0.848476400000000E+02
0.324144800000000E+02,-0.848486320000000E+02
0.324132320000000E+02,-0.848502800000000E+02
0.324124800000000E+02,-0.848509040000000E+02
0.324122400000000E+02,-0.848516400000000E+02
0.324122880000000E+02,-0.848526800000000E+02
0.324142880000000E+02,-0.848556560000000E+02
0.324141280000000E+02,-0.848592240000000E+02
0.324131680000000E+02,-0.848643120000000E+02
0.324136800000000E+02,-0.848659920000000E+02
0.324108320000000E+02,-0.848697840000000E+02
0.324106720000000E+02,-0.848703280000000E+02
0.324110400000000E+02,-0.848718810000000E+02
0.324120800000000E+02,-0.848726330000000E+02
0.324125760000000E+02,-0.848733690000000E+02
0.324125920000000E+02,-0.848738330000000E+02
0.324124160000000E+02,-0.848748090000000E+02
0.324110080000000E+02,-0.848774010000000E+02
0.324105120000000E+02,-0.848816890000000E+02
0.324101920000000E+02,-0.848822010000000E+02
0.324081440000000E+02,-0.848829370000000E+02
0.324064750000000E+02,-0.848840810000000E+02
0.324064750000000E+02,-0.848840810000000E+02
0.324070880000000E+02,-0.848838330000000E+02
0.324079040000000E+02,-0.848831930000000E+02
0.324097280000000E+02,-0.848827930000000E+02
0.324104640000000E+02,-0.848822010000000E+02
0.324107040000000E+02,-0.848818010000000E+02
0.324108160000000E+02,-0.848812730000000E+02
0.324111840000000E+02,-0.848779290000000E+02
0.324119200000000E+02,-0.848759770000000E+02
0.324127680000000E+02,-0.848746970000000E+02
0.324128640000000E+02,-0.848735610000000E+02
0.324127360000000E+02,-0.848730810000000E+02
0.324125280000000E+02,-0.848727290000000E+02
0.324115680000000E+02,-0.848719290000000E+02
0.324111680000000E+02,-0.848714170000000E+02
0.324108960000000E+02,-0.848705200000000E+02
0.324109280000000E+02,-0.848700400000000E+02
0.324139360000000E+02,-0.848659440000000E+02
0.324138400000000E+02,-0.848655440000000E+02
0.324134880000000E+02,-0.848649680000000E+02
0.324132960000000E+02,-0.848640560000000E+02
0.324136800000000E+02,-0.848629680000000E+02
0.324141600000000E+02,-0.848603440000000E+02
0.324144160000000E+02,-0.848577680000000E+02
0.324144640000000E+02,-0.848554320000000E+02
0.324141440000000E+02,-0.848547440000000E+02
0.324126880000000E+02,-0.848532080000000E+02
0.324123200000000E+02,-0.848519600000000E+02
0.324125280000000E+02,-0.848510480000000E+02
0.324142560000000E+02,-0.848493360000000E+02
0.324146400000000E+02,-0.848486640000000E+02
0.324148960000000E+02,-0.848486160000000E+02
0.324133760000000E+02,-0.848506480000000E+02
0.324129120000000E+02,-0.848510160000000E+02
0.324126720000000E+02,-0.848513840000000E+02
0.324126080000000E+02,-0.848520880000000E+02
0.324128480000000E+02,-0.848530320000000E+02
0.324135520000000E+02,-0.848539120000000E+02
0.324143360000000E+02,-0.848546000000000E+02
0.324146560000000E+02,-0.848551920000000E+02
0.324147360000000E+02,-0.848585840000000E+02
0.324141280000000E+02,-0.848615760000000E+02
0.324140000000000E+02,-0.848653360000000E+02
0.324141280000000E+02,-0.848659280000000E+02
0.324125120000000E+02,-0.848682640000000E+02
0.324113600000000E+02,-0.848694640000000E+02
0.324111200000000E+02,-0.848698160000000E+02
0.324109920000000E+02,-0.848704080000000E+02
0.324113600000000E+02,-0.848712730000000E+02
0.324126720000000E+02,-0.848727930000000E+02
0.324129760000000E+02,-0.848737050000000E+02
0.324128960000000E+02,-0.848747450000000E+02
0.324116480000000E+02,-0.848767930000000E+02
0.324113600000000E+02,-0.848776890000000E+02
0.324112000000000E+02,-0.848788090000000E+02
0.324111200000000E+02,-0.848808890000000E+02
0.324111200000000E+02,-0.848808890000000E+02
0.324190080000000E+02,-0.848820090000000E+02
0.324237280000000E+02,-0.848801370000000E+02
0.324261280000000E+02,-0.848781370000000E+02
0.324270560000000E+02,-0.848818810000000E+02
0.324272320000000E+02,-0.848873530000000E+02
0.324288430000000E+02,-0.848922290000000E+02
0.324288430000000E+02,-0.848922290000000E+02
0.324383430000000E+02,-0.848934290000000E+02
0.324387430000000E+02,-0.848990290000000E+02
0.324552460000000E+02,-0.848983140000000E+02
0.324553420000000E+02,-0.848768290000000E+02
0.324549420000000E+02,-0.848697290000000E+02
