LAT,LON
0.222061960000000E+02,-0.159377969000000E+03
0.222056140000000E+02,-0.159381157000000E+03
0.222063130000000E+02,-0.159385788000000E+03
0.222056210000000E+02,-0.159386690000000E+03
0.222028410000000E+02,-0.159386893000000E+03
0.222028410000000E+02,-0.159386893000000E+03
0.222044340000000E+02,-0.159388489000000E+03
0.222041580000000E+02,-0.159392828000000E+03
0.222006230000000E+02,-0.159398136000000E+03
0.222020320000000E+02,-0.159404367000000E+03
0.222046320000000E+02,-0.159406723000000E+03
0.222046320000000E+02,-0.159406723000000E+03
0.222048730000000E+02,-0.159402037000000E+03
0.222062720000000E+02,-0.159396061000000E+03
0.222102590000000E+02,-0.159395349000000E+03
0.222146890000000E+02,-0.159395914000000E+03
0.222176480000000E+02,-0.159393449000000E+03
0.222179270000000E+02,-0.159389019000000E+03
0.222199170000000E+02,-0.159388052000000E+03
0.222200090000000E+02,-0.159385977000000E+03
0.222200090000000E+02,-0.159385977000000E+03
0.222192683377352E+02,-0.159383304345690E+03
0.222149060000000E+02,-0.159367563000000E+03
0.222148310000000E+02,-0.159359842000000E+03
0.222177440000000E+02,-0.159357227000000E+03
0.222176690000000E+02,-0.159353795000000E+03
0.222156480289840E+02,-0.159350740131134E+03
0.222144552314351E+02,-0.159348937116610E+03
0.222085190000000E+02,-0.159339964000000E+03
0.221893078605198E+02,-0.159318407901139E+03
0.221868170000000E+02,-0.159315613000000E+03
0.221806409618051E+02,-0.159314277907360E+03
0.221703734976557E+02,-0.159312058358939E+03
0.221676900414089E+02,-0.159311478268180E+03
0.221633883006727E+02,-0.159310548348025E+03
0.221555550000000E+02,-0.159308855000000E+03
0.221555504594953E+02,-0.159308846362329E+03
0.221508691324966E+02,-0.159299940796744E+03
0.221497480000000E+02,-0.159297808000000E+03
0.221445470000000E+02,-0.159295875000000E+03
0.221303900000000E+02,-0.159295271000000E+03
0.221138150000000E+02,-0.159297143000000E+03
0.221101459703761E+02,-0.159299409759563E+03
0.221098106111999E+02,-0.159299616947484E+03
0.221098106111999E+02,-0.159299616947484E+03
0.221140680000000E+02,-0.159298311000000E+03
0.221146100000000E+02,-0.159299131000000E+03
0.221142000000000E+02,-0.159302926000000E+03
0.221155600000000E+02,-0.159304356000000E+03
0.221208540000000E+02,-0.159303413000000E+03
0.221202030000000E+02,-0.159306474000000E+03
0.221183040000000E+02,-0.159307149000000E+03
0.221196910000000E+02,-0.159309462000000E+03
0.221227730000000E+02,-0.159312277000000E+03
0.221233690000000E+02,-0.159313861000000E+03
0.221248820000000E+02,-0.159324555000000E+03
0.221247720000000E+02,-0.159328696000000E+03
0.221247720000000E+02,-0.159328696000000E+03
0.221282620000000E+02,-0.159329145000000E+03
0.221296860000000E+02,-0.159330773000000E+03
0.221317170000000E+02,-0.159337297000000E+03
0.221354270000000E+02,-0.159342046000000E+03
0.221366320000000E+02,-0.159341172000000E+03
0.221380460000000E+02,-0.159338671000000E+03
0.221397280000000E+02,-0.159333275000000E+03
0.221376890000000E+02,-0.159324798000000E+03
0.221379640000000E+02,-0.159321687000000E+03
0.221387060000000E+02,-0.159319453000000E+03
0.221449320000000E+02,-0.159317296000000E+03
0.221498840000000E+02,-0.159318475000000E+03
0.221549490000000E+02,-0.159317671000000E+03
0.221587150000000E+02,-0.159318360000000E+03
0.221640990000000E+02,-0.159320866000000E+03
0.221742270000000E+02,-0.159328536000000E+03
0.221787320000000E+02,-0.159328423000000E+03
0.221801290000000E+02,-0.159328853000000E+03
0.221839030000000E+02,-0.159338163000000E+03
0.221839630000000E+02,-0.159341430000000E+03
0.221834400000000E+02,-0.159343444000000E+03
0.221855110000000E+02,-0.159344910000000E+03
0.221935820000000E+02,-0.159348686000000E+03
0.221935820000000E+02,-0.159348686000000E+03
0.221935760000000E+02,-0.159347852000000E+03
0.221941860000000E+02,-0.159347453000000E+03
0.221951630000000E+02,-0.159347737000000E+03
0.222052710000000E+02,-0.159361357000000E+03
0.222065620000000E+02,-0.159361899000000E+03
0.222072500000000E+02,-0.159365283000000E+03
0.222057540000000E+02,-0.159369164000000E+03
0.222057540000000E+02,-0.159369164000000E+03
0.222061960000000E+02,-0.159377969000000E+03
END,END
