LAT,LON
0.424880810000000E+02,-0.946578470000000E+02
0.424737870000000E+02,-0.946583480000000E+02
0.424737870000000E+02,-0.946583480000000E+02
0.424738580000000E+02,-0.946939980000000E+02
0.424497770000000E+02,-0.946939950000000E+02
0.424498210000000E+02,-0.947087870000000E+02
0.424425480000000E+02,-0.947088460000000E+02
0.424424280000000E+02,-0.947281750000000E+02
0.424278370000000E+02,-0.947281650000000E+02
0.424280490000000E+02,-0.947860580000000E+02
0.424280490000000E+02,-0.947860580000000E+02
0.424739930000000E+02,-0.947865660000000E+02
0.424739030000000E+02,-0.947966360000000E+02
0.424739030000000E+02,-0.947966360000000E+02
0.425027830000000E+02,-0.947965950000000E+02
0.425031220000000E+02,-0.947770940000000E+02
0.425031220000000E+02,-0.947770940000000E+02
0.425029320000000E+02,-0.947375780000000E+02
0.424887700000000E+02,-0.947368980000000E+02
0.424910230000000E+02,-0.947342030000000E+02
0.424924180000000E+02,-0.947335550000000E+02
0.424929210000000E+02,-0.947335870000000E+02
0.424945670000000E+02,-0.947364620000000E+02
0.424978370000000E+02,-0.947365880000000E+02
0.425012870000000E+02,-0.947318580000000E+02
0.425026160000000E+02,-0.947249060000000E+02
0.425035540000000E+02,-0.947235460000000E+02
0.425053610000000E+02,-0.947228980000000E+02
0.425058420000000E+02,-0.947219710000000E+02
0.425049960000000E+02,-0.947187260000000E+02
0.425023210000000E+02,-0.947166230000000E+02
0.425016130000000E+02,-0.947116770000000E+02
0.425018650000000E+02,-0.947098540000000E+02
0.425042900000000E+02,-0.947073520000000E+02
0.425127530000000E+02,-0.947023160000000E+02
0.425133930000000E+02,-0.947026870000000E+02
0.425138730000000E+02,-0.947045730000000E+02
0.425154510000000E+02,-0.947052840000000E+02
0.425164110000000E+02,-0.947050990000000E+02
0.425164810000000E+02,-0.946982040000000E+02
0.425023700000000E+02,-0.946980160000000E+02
0.425022790000000E+02,-0.946784530000000E+02
0.424880380000000E+02,-0.946783350000000E+02
0.424880810000000E+02,-0.946578470000000E+02
END,END
