LAT,LON
0.425018470000000E+02,-0.963844850000000E+02
0.424910950000000E+02,-0.963913070000000E+02
0.424886660000000E+02,-0.963912950000000E+02
0.424886660000000E+02,-0.963912950000000E+02
0.424832950000000E+02,-0.963907070000000E+02
0.424824950000000E+02,-0.963911070000000E+02
0.424750950000000E+02,-0.963845070000000E+02
0.424615940000000E+02,-0.963798070000000E+02
0.424562070000000E+02,-0.963788140000000E+02
0.424562070000000E+02,-0.963788140000000E+02
0.424515940000000E+02,-0.963782070000000E+02
0.424454940000000E+02,-0.963787070000000E+02
0.424430940000000E+02,-0.963795070000000E+02
0.424338940000000E+02,-0.963844070000000E+02
0.424225940000000E+02,-0.963964080000000E+02
0.424107940000000E+02,-0.964104080000000E+02
0.424074860000000E+02,-0.964122220000000E+02
0.424034940000000E+02,-0.964135090000000E+02
0.424002940000000E+02,-0.964129090000000E+02
0.423966900000000E+02,-0.964108330000000E+02
0.423909100000000E+02,-0.964064770000000E+02
0.423888150000000E+02,-0.964064560000000E+02
0.423860780000000E+02,-0.964082120000000E+02
0.423860780000000E+02,-0.964082120000000E+02
0.423860584178578E+02,-0.964113799553893E+02
0.423860584178578E+02,-0.964113799553893E+02
0.423894730718885E+02,-0.964130448528068E+02
0.423929981061243E+02,-0.964147635687713E+02
0.423934420000000E+02,-0.964149800000000E+02
0.423943720911472E+02,-0.964150518065115E+02
0.424002940000000E+02,-0.964155090000000E+02
0.424078940000000E+02,-0.964136090000000E+02
0.424108940000000E+02,-0.964118080000000E+02
0.424324940000000E+02,-0.963876080000000E+02
0.424372940000000E+02,-0.963843070000000E+02
0.424463940000000E+02,-0.963807070000000E+02
0.424514940000000E+02,-0.963801070000000E+02
0.424616940000000E+02,-0.963813070000000E+02
0.424730940000000E+02,-0.963854070000000E+02
0.424744950000000E+02,-0.963860070000000E+02
0.424840950000000E+02,-0.963961070000000E+02
0.424875950000000E+02,-0.964094080000000E+02
0.424889800000000E+02,-0.964238920000000E+02
0.424894950000000E+02,-0.964434080000000E+02
0.424894950000000E+02,-0.964434080000000E+02
0.424924780000000E+02,-0.964563480000000E+02
0.424907880000000E+02,-0.964625500000000E+02
0.424918950000000E+02,-0.964744090000000E+02
0.424935950000000E+02,-0.964765090000000E+02
0.424977950000000E+02,-0.964769090000000E+02
0.425000950000000E+02,-0.964747090000000E+02
0.425035370000000E+02,-0.964733390000000E+02
0.425095890000000E+02,-0.964774540000000E+02
0.425096786213254E+02,-0.964775656650472E+02
0.425111380000000E+02,-0.964793840000000E+02
0.425103450000000E+02,-0.964835920000000E+02
0.425124410000000E+02,-0.964900890000000E+02
0.425172820000000E+02,-0.964929700000000E+02
0.425203310000000E+02,-0.964908020000000E+02
0.425203310000000E+02,-0.964908020000000E+02
0.425172970000000E+02,-0.964928950000000E+02
0.425124950000000E+02,-0.964900090000000E+02
0.425104950000000E+02,-0.964836090000000E+02
0.425112950000000E+02,-0.964793090000000E+02
0.425103950000000E+02,-0.964778090000000E+02
0.425055950000000E+02,-0.964740090000000E+02
0.425038950000000E+02,-0.964731090000000E+02
0.425014950000000E+02,-0.964732090000000E+02
0.424974950000000E+02,-0.964767090000000E+02
0.424953050000000E+02,-0.964766690000000E+02
0.424912530000000E+02,-0.964643220000000E+02
0.424927570000000E+02,-0.964570390000000E+02
0.424908950000000E+02,-0.964403080000000E+02
0.424908950000000E+02,-0.964403080000000E+02
0.424908950000000E+02,-0.964339080000000E+02
0.424894950000000E+02,-0.964198080000000E+02
0.424891950000000E+02,-0.964090080000000E+02
0.424855950000000E+02,-0.963961070000000E+02
0.424855950000000E+02,-0.963961070000000E+02
0.424831950000000E+02,-0.963919070000000E+02
0.424840950000000E+02,-0.963915070000000E+02
0.424886520000000E+02,-0.963923120000000E+02
0.424909950000000E+02,-0.963921070000000E+02
0.425018690000000E+02,-0.963850700000000E+02
0.425018690000000E+02,-0.963850700000000E+02
0.425120940000000E+02,-0.963782070000000E+02
0.425018470000000E+02,-0.963844850000000E+02
END,END
