LAT,LON
0.448082010000000E+02,-0.114812076000000E+03
0.447991030000000E+02,-0.114805271000000E+03
0.447987600000000E+02,-0.114804276000000E+03
0.447989650000000E+02,-0.114800584000000E+03
0.447983250000000E+02,-0.114798850000000E+03
0.447970910000000E+02,-0.114797727000000E+03
0.447946220000000E+02,-0.114797374000000E+03
0.447851600000000E+02,-0.114804952000000E+03
0.447832850000000E+02,-0.114804438000000E+03
0.447766800000000E+02,-0.114805851000000E+03
0.447649540000000E+02,-0.114813168000000E+03
0.447576620000000E+02,-0.114814580000000E+03
0.447493970000000E+02,-0.114818135000000E+03
0.447477280000000E+02,-0.114819867000000E+03
0.447401400000000E+02,-0.114817365000000E+03
0.447348820000000E+02,-0.114814832000000E+03
0.447263330000000E+02,-0.114808676000000E+03
0.447200240000000E+02,-0.114802810000000E+03
0.447183090000000E+02,-0.114800630000000E+03
0.447129360000000E+02,-0.114793483000000E+03
0.447134610000000E+02,-0.114789124000000E+03
0.447160440000000E+02,-0.114787776000000E+03
0.447137330000000E+02,-0.114781814000000E+03
0.447133450000000E+02,-0.114781269000000E+03
0.447100980000000E+02,-0.114780149000000E+03
0.447070800000000E+02,-0.114777395000000E+03
0.447056850000000E+02,-0.114773357000000E+03
0.447023460000000E+02,-0.114768969000000E+03
0.447007450000000E+02,-0.114767689000000E+03
0.446980920000000E+02,-0.114763716000000E+03
0.446957360000000E+02,-0.114760546000000E+03
0.446941110000000E+02,-0.114756414000000E+03
0.446840320000000E+02,-0.114747691000000E+03
0.446788900000000E+02,-0.114746500000000E+03
0.446770850000000E+02,-0.114745569000000E+03
0.446743450000000E+02,-0.114740761000000E+03
0.446696380000000E+02,-0.114736625000000E+03
0.446614330000000E+02,-0.114735434000000E+03
0.446603580000000E+02,-0.114735881000000E+03
0.446557160000000E+02,-0.114741161000000E+03
0.446541390000000E+02,-0.114741672000000E+03
0.446527900000000E+02,-0.114741031000000E+03
0.446524290000000E+02,-0.114730143000000E+03
0.446506270000000E+02,-0.114717077000000E+03
0.446504680000000E+02,-0.114711506000000E+03
0.446513140000000E+02,-0.114709777000000E+03
0.446551090000000E+02,-0.114705807000000E+03
0.446564350000000E+02,-0.114702029000000E+03
0.446549970000000E+02,-0.114695496000000E+03
0.446587260000000E+02,-0.114680556000000E+03
0.446594990000000E+02,-0.114673111000000E+03
0.446609320000000E+02,-0.114665427000000E+03
0.446610740000000E+02,-0.114661358000000E+03
0.446524680000000E+02,-0.114628924000000E+03
0.446521250000000E+02,-0.114628412000000E+03
0.446483070000000E+02,-0.114627295000000E+03
0.446451350000000E+02,-0.114620083000000E+03
0.446430340000000E+02,-0.114616466000000E+03
0.446361350000000E+02,-0.114606854000000E+03
0.446335760000000E+02,-0.114604803000000E+03
0.446310850000000E+02,-0.114604417000000E+03
0.446250430000000E+02,-0.114599984000000E+03
0.446216160000000E+02,-0.114596214000000E+03
0.446174160000000E+02,-0.114595814000000E+03
0.446117160000000E+02,-0.114596014000000E+03
0.446072740000000E+02,-0.114596942000000E+03
0.446046160000000E+02,-0.114599414000000E+03
0.446031160000000E+02,-0.114601514000000E+03
0.445986150000000E+02,-0.114604214000000E+03
0.445964460000000E+02,-0.114603679000000E+03
0.445950890000000E+02,-0.114602533000000E+03
0.445926160000000E+02,-0.114597713000000E+03
